County,Atcheson,%,Culberson,%,Combeau,%,Hickley,%,Total,Winner
Anderson,481,17.83%,2025,75.06%,4,0.15%,188,6.97%,2698,2
Andrews,0,0.00%,72,98.63%,0,0.00%,1,1.37%,73,2
Angelina,52,2.90%,1373,76.53%,27,1.51%,342,19.06%,1794,2
Aransas,26,12.04%,182,84.26%,2,0.93%,6,2.78%,216,2
Archer,47,9.33%,415,82.34%,4,0.79%,38,7.54%,504,2
Armstrong,33,8.21%,356,88.56%,5,1.24%,8,1.99%,402,2
Atascosa,70,8.88%,677,85.91%,6,0.76%,35,4.44%,788,2
Austin,250,14.96%,1412,84.50%,0,0.00%,9,0.54%,1671,2
Bailey,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Bandera,159,21.12%,546,72.51%,3,0.40%,45,5.98%,753,2
Bastrop,443,23.24%,1436,75.34%,5,0.26%,22,1.15%,1906,2
Baylor,28,3.35%,727,86.96%,4,0.48%,77,9.21%,836,2
Bee,105,16.30%,510,79.19%,6,0.93%,23,3.57%,644,2
Bell,222,5.21%,3825,89.83%,36,0.85%,175,4.11%,4258,2
Bexar,3226,25.55%,9207,72.93%,48,0.38%,143,1.13%,12624,2
Blanco,164,18.45%,703,79.08%,4,0.45%,18,2.02%,889,2
Borden,0,0.00%,105,99.06%,0,0.00%,1,0.94%,106,2
Bosque,142,7.80%,1600,87.91%,5,0.27%,73,4.01%,1820,2
Bowie,350,13.32%,1988,75.68%,9,0.34%,280,10.66%,2627,2
Brazoria,530,30.96%,1062,62.03%,37,2.16%,83,4.85%,1712,2
Brazos,228,17.27%,1082,81.97%,6,0.45%,4,0.30%,1320,2
Brewster,37,14.02%,219,82.95%,0,0.00%,8,3.03%,264,2
Briscoe,3,1.06%,259,91.20%,0,0.00%,22,7.75%,284,2
Brooks,58,34.73%,106,63.47%,2,1.20%,1,0.60%,167,2
Brown,153,6.79%,1991,88.41%,7,0.31%,101,4.48%,2252,2
Burleson,249,17.35%,1163,81.05%,2,0.14%,21,1.46%,1435,2
Burnet,87,8.22%,940,88.76%,8,0.76%,24,2.27%,1059,2
Caldwell,171,11.47%,1299,87.12%,2,0.13%,19,1.27%,1491,2
Calhoun,65,11.90%,413,75.64%,4,0.73%,64,11.72%,546,2
Callahan,48,4.32%,974,87.59%,13,1.17%,77,6.92%,1112,2
Cameron,361,21.12%,1310,76.65%,12,0.70%,26,1.52%,1709,2
Camp,198,20.56%,732,76.01%,1,0.10%,32,3.32%,963,2
Carson,58,14.01%,347,83.82%,4,0.97%,5,1.21%,414,2
