County,Flanagan,%,Sheppard,%,Smith,%,Total,Winner
Anderson,245,16.34%,1241,82.79%,13,0.87%,1499,2
Andrews,0,0.00%,40,100.00%,0,0.00%,40,2
Angelina,27,3.68%,697,95.09%,9,1.23%,733,2
Aransas,5,3.21%,151,96.79%,0,0.00%,156,2
Archer,8,2.56%,304,97.44%,0,0.00%,312,2
Armstrong,10,5.46%,172,93.99%,1,0.55%,183,2
Atascosa,10,3.06%,317,96.94%,0,0.00%,327,2
Austin,305,26.43%,826,71.58%,23,1.99%,1154,2
Bailey,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Bandera,58,13.49%,362,84.19%,10,2.33%,430,2
Bastrop,175,18.31%,781,81.69%,0,0.00%,956,2
Baylor,11,2.78%,380,95.96%,5,1.26%,396,2
Bee,61,9.34%,587,89.89%,5,0.77%,653,2
Bell,142,5.99%,2215,93.46%,13,0.55%,2370,2
Bexar,1433,30.52%,3224,68.67%,38,0.81%,4695,2
Blanco,111,18.23%,495,81.28%,3,0.49%,609,2
Borden,0,0.00%,29,100.00%,0,0.00%,29,2
Bosque,162,13.88%,1002,85.86%,3,0.26%,1167,2
Bowie,56,4.51%,1179,94.93%,7,0.56%,1242,2
Brazoria,267,33.33%,521,65.04%,13,1.62%,801,2
Brazos,242,21.15%,900,78.67%,2,0.17%,1144,2
Brewster,3,2.63%,111,97.37%,0,0.00%,114,2
Briscoe,1,0.86%,114,98.28%,1,0.86%,116,2
Brooks,4,5.41%,70,94.59%,0,0.00%,74,2
Brown,45,4.75%,894,94.40%,8,0.84%,947,2
Burleson,109,15.66%,587,84.34%,0,0.00%,696,2
Burnet,66,11.74%,493,87.72%,3,0.53%,562,2
Caldwell,80,12.08%,581,87.76%,1,0.15%,662,2
Calhoun,14,5.15%,255,93.75%,3,1.10%,272,2
Callahan,18,3.17%,547,96.30%,3,0.53%,568,2
Cameron,79,9.08%,791,90.92%,0,0.00%,870,2
Camp,78,17.14%,375,82.42%,2,0.44%,455,2
Carson,19,10.67%,159,89.33%,0,0.00%,178,2
Cass,218,16.78%,1072,82.53%,9,0.69%,1299,2
Castro,19,12.03%,138,87.34%,1,0.63%,158,2
Chambers,32,19.88%,129,80.12%,0,0.00%,161,2
Cherokee,141,8.78%,1444,89.91%,21,1.31%,1606,2
Childress,10,2.55%,381,97.19%,1,0.26%,392,2
Clay,0,0.00%,811,100.00%,0,0.00%,811,2
Cochran,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Coke,5,2.67%,180,96.26%,2,1.07%,187,2
Coleman,36,4.18%,815,94.66%,10,1.16%,861,2
Collin,286,11.34%,2215,87.86%,20,0.79%,2521,2
Collingsworth,19,5.92%,300,93.46%,2,0.62%,321,2
Colorado,165,19.55%,653,77.37%,26,3.08%,844,2
Comal,268,39.70%,386,57.19%,21,3.11%,675,2
Comanche,158,13.91%,953,83.89%,25,2.20%,1136,2
Concho,19,8.41%,206,91.15%,1,0.44%,226,2
Cooke,124,8.77%,1285,90.88%,5,0.35%,1414,2
Coryell,48,4.55%,998,94.60%,9,0.85%,1055,2
Cottle,0,0.00%,169,100.00%,0,0.00%,169,2
Crane,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Crockett,2,6.25%,30,93.75%,0,0.00%,32,2
Crosby,7,2.17%,312,96.89%,3,0.93%,322,2
Culberson,1,2.33%,42,97.67%,0,0.00%,43,2
Dallam,24,13.41%,151,84.36%,4,2.23%,179,2
Dallas,389,8.60%,4115,91.02%,17,0.38%,4521,2
Dawson,5,3.21%,148,94.87%,3,1.92%,156,2
Deaf Smith,24,12.06%,175,87.94%,0,0.00%,199,2
Delta,26,4.20%,593,95.80%,0,0.00%,619,2
Denton,252,13.19%,1659,86.81%,0,0.00%,1911,2
DeWitt,79,12.64%,542,86.72%,4,0.64%,625,2
Dickens,8,3.25%,237,96.34%,1,0.41%,246,2
Dimmit,18,14.17%,109,85.83%,0,0.00%,127,2
Donley,11,3.50%,303,96.50%,0,0.00%,314,2
