County,Peddy,%,Mayfield,%,Total,Winner
Anderson,569,22.46%,1964,77.54%,2533,2
Andrews,9,15.79%,48,84.21%,57,2
Angelina,1182,35.00%,2195,65.00%,3377,2
Aransas,47,16.67%,235,83.33%,282,2
Archer,333,39.83%,503,60.17%,836,2
Armstrong,61,14.84%,350,85.16%,411,2
Atascosa,284,38.27%,458,61.73%,742,2
Austin,2152,82.90%,444,17.10%,2596,1
Bailey,26,23.85%,83,76.15%,109,2
Bandera,280,45.23%,339,54.77%,619,2
Bastrop,790,38.56%,1259,61.44%,2049,2
Baylor,263,35.40%,480,64.60%,743,2
Bee,508,34.91%,947,65.09%,1455,2
Bell,1037,25.45%,3038,74.55%,4075,2
Bexar,7030,46.30%,8154,53.70%,15184,2
Blanco,464,43.28%,608,56.72%,1072,2
Borden,12,17.65%,56,82.35%,68,2
Bosque,1052,47.56%,1160,52.44%,2212,2
Bowie,482,24.22%,1508,75.78%,1990,2
Brazoria,543,32.53%,1126,67.47%,1669,2
Brazos,270,19.37%,1124,80.63%,1394,2
Brewster,79,29.70%,187,70.30%,266,2
Briscoe,93,29.52%,222,70.48%,315,2
Brooks,51,43.22%,67,56.78%,118,2
Brown,908,45.29%,1097,54.71%,2005,2
Burleson,472,33.93%,919,66.07%,1391,2
Burnet,305,30.75%,687,69.25%,992,2
Caldwell,519,31.47%,1130,68.53%,1649,2
Calhoun,243,34.57%,460,65.43%,703,2
Callahan,0,#DIV/0!,0,#DIV/0!,0,#N/A
Cameron,608,37.35%,1020,62.65%,1628,2
Camp,204,28.02%,524,71.98%,728,2
Carson,286,44.27%,360,55.73%,646,2
Cass,474,38.79%,748,61.21%,1222,2
Castro,143,59.58%,97,40.42%,240,1
Chambers,112,39.02%,175,60.98%,287,2
Cherokee,715,27.53%,1882,72.47%,2597,2
Childress,574,40.45%,845,59.55%,1419,2
Clay,510,29.88%,1197,70.12%,1707,2
Cochran,0,#DIV/0!,0,#DIV/0!,0,#N/A
Coke,234,44.07%,297,55.93%,531,2
Coleman,783,39.53%,1198,60.47%,1981,2
Collin,1631,25.34%,4806,74.66%,6437,2
Collingsworth,375,41.16%,536,58.84%,911,2
Colorado,1315,59.18%,907,40.82%,2222,1
Comal,1224,84.36%,227,15.64%,1451,1
Comanche,1007,46.38%,1164,53.62%,2171,2
Concho,230,45.54%,275,54.46%,505,2
Cooke,993,29.40%,2384,70.60%,3377,2
Coryell,624,31.33%,1368,68.67%,1992,2
Cottle,281,42.07%,387,57.93%,668,2
Crane,0,#DIV/0!,0,#DIV/0!,0,#N/A
Crockett,31,33.70%,61,66.30%,92,2
Crosby,366,43.06%,484,56.94%,850,2
Culberson,24,30.00%,56,70.00%,80,2
Dallam,188,27.73%,490,72.27%,678,2
Dallas,5510,26.02%,15668,73.98%,21178,2
Dawson,87,30.21%,201,69.79%,288,2
Deaf Smith,172,41.15%,246,58.85%,418,2
Delta,422,26.23%,1187,73.77%,1609,2
Denton,915,27.89%,2366,72.11%,3281,2
DeWitt,1852,62.80%,1097,37.20%,2949,1
Dickens,193,31.90%,412,68.10%,605,2
Dimmit,41,25.63%,119,74.38%,160,2
Donley,262,23.00%,877,77.00%,1139,2
Duval,98,18.32%,437,81.68%,535,2
Eastland,1441,38.03%,2348,61.97%,3789,2
Ector,45,39.47%,69,60.53%,114,2
Edwards,62,27.80%,161,72.20%,223,2
Ellis,1115,22.90%,3755,77.10%,4870,2
El Paso,2373,29.47%,5679,70.53%,8052,2
Erath,819,38.80%,1292,61.20%,2111,2
Falls,886,43.26%,1162,56.74%,2048,2
Fannin,424,10.79%,3507,89.21%,3931,2
Fayette,4364,88.81%,550,11.19%,4914,1
Fisher,325,31.74%,699,68.26%,1024,2
Floyd,441,49.33%,453,50.67%,894,2
Foard,220,41.67%,308,58.33%,528,2
Fort Bend,741,54.77%,612,45.23%,1353,1
Franklin,110,18.15%,496,81.85%,606,2
Freestone,511,22.88%,1722,77.12%,2233,2
Frio,109,10.99%,883,89.01%,992,2
Gaines,25,14.71%,145,85.29%,170,2
Galveston,2185,54.00%,1861,46.00%,4046,1
Garza,163,36.63%,282,63.37%,445,2
Gillespie,0,#DIV/0!,0,#DIV/0!,0,#N/A
Glasscock,37,34.26%,71,65.74%,108,2
Goliad,765,53.95%,653,46.05%,1418,1
Gonzales,671,38.81%,1058,61.19%,1729,2
Gray,322,45.22%,390,54.78%,712,2
Grayson,1561,24.87%,4715,75.13%,6276,2
Gregg,165,16.68%,824,83.32%,989,2
Grimes,350,26.58%,967,73.42%,1317,2
Guadalupe,1986,80.54%,480,19.46%,2466,1
Hale,500,34.53%,948,65.47%,1448,2
Hall,177,15.17%,990,84.83%,1167,2
Hamilton,628,44.86%,772,55.14%,1400,2
Hansford,0,#DIV/0!,0,#DIV/0!,0,#N/A
Hardeman,262,22.66%,894,77.34%,1156,2
Hardin,146,12.26%,1045,87.74%,1191,2
Harris,5964,29.87%,14003,70.13%,19967,2
Harrison,657,35.08%,1216,64.92%,1873,2
Hartley,38,25.33%,112,74.67%,150,2
