County,Kennerly,%,Sheppard,%,Total,Winner
Anderson,488,10.60%,4117,89.40%,4605,2
Andrews,7,9.59%,66,90.41%,73,2
Angelina,275,5.81%,4462,94.19%,4737,2
Aransas,61,22.02%,216,77.98%,277,2
Archer,83,6.63%,1168,93.37%,1251,2
Armstrong,50,9.28%,489,90.72%,539,2
Atascosa,249,16.77%,1236,83.23%,1485,2
Austin,361,9.89%,3288,90.11%,3649,2
Bailey,60,21.43%,220,78.57%,280,2
Bandera,384,38.06%,625,61.94%,1009,2
Bastrop,426,12.22%,3059,87.78%,3485,2
Baylor,98,7.56%,1198,92.44%,1296,2
Bee,560,20.62%,2156,79.38%,2716,2
Bell,1454,15.87%,7710,84.13%,9164,2
Bexar,8324,31.90%,17772,68.10%,26096,2
Blanco,278,24.60%,852,75.40%,1130,2
Borden,9,6.92%,121,93.08%,130,2
Bosque,272,8.61%,2887,91.39%,3159,2
Bowie,502,11.47%,3874,88.53%,4376,2
Brazoria,960,29.83%,2258,70.17%,3218,2
Brazos,239,9.59%,2252,90.41%,2491,2
Brewster,81,15.58%,439,84.42%,520,2
Briscoe,34,7.46%,422,92.54%,456,2
Brooks,53,18.34%,236,81.66%,289,2
Brown,244,6.29%,3635,93.71%,3879,2
Burleson,170,6.21%,2569,93.79%,2739,2
Burnet,223,10.50%,1901,89.50%,2124,2
Caldwell,285,10.24%,2497,89.76%,2782,2
Calhoun,159,16.61%,798,83.39%,957,2
Callahan,176,8.80%,1823,91.20%,1999,2
Cameron,0,0.00%,2668,100.00%,2668,2
Camp,144,10.23%,1264,89.77%,1408,2
Carson,187,18.55%,821,81.45%,1008,2
Cass,839,25.82%,2410,74.18%,3249,2
Castro,0,0.00%,324,100.00%,324,2
Chambers,164,27.52%,432,72.48%,596,2
Cherokee,398,7.42%,4964,92.58%,5362,2
Childress,110,8.05%,1256,91.95%,1366,2
Clay,205,9.79%,1888,90.21%,2093,2
Cochran,2,2.22%,88,97.78%,90,2
Coke,63,7.69%,756,92.31%,819,2
Coleman,448,12.56%,3118,87.44%,3566,2
Collin,1690,17.97%,7715,82.03%,9405,2
Collingsworth,145,12.79%,989,87.21%,1134,2
Colorado,564,17.29%,2698,82.71%,3262,2
Comal,731,36.05%,1297,63.95%,2028,2
