County,Kennerly,%,Connally,%,Rust,%,Curran,%,Total,Winner
Anderson,332,9.45%,3177,90.38%,0,0.00%,6,0.17%,3515,2
Andrews,13,15.29%,72,84.71%,0,0.00%,0,0.00%,85,2
Angelina,333,9.45%,3188,90.47%,0,0.00%,3,0.09%,3524,2
Aransas,77,25.93%,220,74.07%,0,0.00%,0,0.00%,297,2
Archer,216,17.90%,991,82.10%,0,0.00%,0,0.00%,1207,2
Armstrong,75,10.82%,617,89.03%,1,0.14%,0,0.00%,693,2
Atascosa,330,20.52%,1277,79.42%,0,0.00%,1,0.06%,1608,2
Austin,234,8.92%,2388,91.04%,0,0.00%,1,0.04%,2623,2
Bailey,152,27.99%,388,71.45%,1,0.18%,2,0.37%,543,2
Bandera,688,62.38%,414,37.53%,1,0.09%,0,0.00%,1103,1
Bastrop,283,12.08%,2059,87.92%,0,0.00%,0,0.00%,2342,2
Baylor,108,8.36%,1182,91.49%,0,0.00%,2,0.15%,1292,2
Bee,639,32.69%,1312,67.11%,1,0.05%,3,0.15%,1955,2
Bell,345,5.70%,5703,94.22%,1,0.02%,4,0.07%,6053,2
Bexar,9372,26.75%,25625,73.15%,9,0.03%,27,0.08%,35033,2
Blanco,404,34.83%,752,64.83%,1,0.09%,3,0.26%,1160,2
Borden,13,7.43%,161,92.00%,0,0.00%,1,0.57%,175,2
Bosque,519,19.93%,2083,79.99%,0,0.00%,2,0.08%,2604,2
Bowie,883,17.49%,4148,82.17%,0,0.00%,17,0.34%,5048,2
Brazoria,904,38.19%,1458,61.60%,0,0.00%,5,0.21%,2367,2
Brazos,140,6.36%,2061,93.64%,0,0.00%,0,0.00%,2201,2
Brewster,140,21.84%,499,77.85%,1,0.16%,1,0.16%,641,2
Briscoe,78,12.36%,549,87.00%,0,0.00%,4,0.63%,631,2
Brooks,83,17.01%,405,82.99%,0,0.00%,0,0.00%,488,2
Brown,545,13.77%,3414,86.23%,0,0.00%,0,0.00%,3959,2
