County,Haesly,%,Sheppard,%,Smith,%,Berry,%,Total,Winner
Anderson,125,5.88%,1992,93.74%,7,0.33%,1,0.05%,2125,2
Andrews,2,2.60%,74,96.10%,1,1.30%,0,0.00%,77,2
Angelina,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Aransas,16,9.64%,150,90.36%,0,0.00%,0,0.00%,166,2
Archer,67,9.63%,627,90.09%,2,0.29%,0,0.00%,696,2
Armstrong,23,5.82%,371,93.92%,1,0.25%,0,0.00%,395,2
Atascosa,78,7.46%,961,91.96%,5,0.48%,1,0.10%,1045,2
Austin,144,11.93%,1057,87.57%,3,0.25%,3,0.25%,1207,2
Bailey,17,3.00%,548,96.82%,1,0.18%,0,0.00%,566,2
Bandera,288,32.88%,585,66.78%,2,0.23%,1,0.11%,876,2
Bastrop,105,9.97%,944,89.65%,4,0.38%,0,0.00%,1053,2
Baylor,25,5.87%,397,93.19%,4,0.94%,0,0.00%,426,2
Bee,257,16.54%,1252,80.57%,18,1.16%,27,1.74%,1554,2
Bell,134,5.48%,2308,94.32%,4,0.16%,1,0.04%,2447,2
Bexar,4004,16.79%,19719,82.70%,85,0.36%,37,0.16%,23845,2
Blanco,342,30.37%,781,69.36%,0,0.00%,3,0.27%,1126,2
Borden,3,3.19%,91,96.81%,0,0.00%,0,0.00%,94,2
Bosque,199,15.39%,1091,84.38%,2,0.15%,1,0.08%,1293,2
Bowie,91,4.84%,1779,94.58%,11,0.58%,0,0.00%,1881,2
Brazoria,312,21.30%,1148,78.36%,4,0.27%,1,0.07%,1465,2
Brazos,24,2.37%,986,97.53%,1,0.10%,0,0.00%,1011,2
Brewster,15,4.14%,347,95.86%,0,0.00%,0,0.00%,362,2
Briscoe,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Brooks,4,1.26%,313,98.74%,0,0.00%,0,0.00%,317,2
Brown,134,8.39%,1459,91.30%,2,0.13%,3,0.19%,1598,2
Burleson,53,5.21%,964,94.79%,0,0.00%,0,0.00%,1017,2
Burnet,75,9.89%,682,89.97%,0,0.00%,1,0.13%,758,2
Caldwell,110,8.43%,1194,91.49%,0,0.00%,1,0.08%,1305,2
Calhoun,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Callahan,75,8.52%,805,91.48%,0,0.00%,0,0.00%,880,2
Cameron,684,18.10%,3088,81.74%,4,0.11%,2,0.05%,3778,2
Camp,32,8.84%,330,91.16%,0,0.00%,0,0.00%,362,2
Carson,71,15.64%,383,84.36%,0,0.00%,0,0.00%,454,2
Cass,223,15.89%,1172,83.54%,3,0.21%,5,0.36%,1403,2
Castro,42,12.03%,306,87.68%,1,0.29%,0,0.00%,349,2
Chambers,84,15.73%,449,84.08%,1,0.19%,0,0.00%,534,2
Cherokee,206,9.62%,1932,90.24%,3,0.14%,0,0.00%,2141,2
Childress,37,5.16%,680,94.84%,0,0.00%,0,0.00%,717,2
Clay,92,9.95%,830,89.73%,3,0.32%,0,0.00%,925,2
Cochran,4,1.33%,296,98.34%,1,0.33%,0,0.00%,301,2
Coke,26,5.30%,462,94.09%,3,0.61%,0,0.00%,491,2
Coleman,139,9.52%,1318,90.27%,3,0.21%,0,0.00%,1460,2
Collin,497,15.93%,2614,83.81%,7,0.22%,1,0.03%,3119,2
Collingsworth,50,9.06%,502,90.94%,0,0.00%,0,0.00%,552,2
Colorado,139,14.98%,782,84.27%,7,0.75%,0,0.00%,928,2
Comal,633,28.68%,1566,70.96%,5,0.23%,3,0.14%,2207,2
Comanche,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Concho,40,8.46%,433,91.54%,0,0.00%,0,0.00%,473,2
Cooke,201,9.81%,1844,90.00%,4,0.20%,0,0.00%,2049,2
Coryell,135,11.62%,1024,88.12%,3,0.26%,0,0.00%,1162,2
Cottle,14,3.71%,358,94.96%,4,1.06%,1,0.27%,377,2
Crane,21,8.61%,222,90.98%,1,0.41%,0,0.00%,244,2
Crockett,4,2.01%,194,97.49%,1,0.50%,0,0.00%,199,2
Crosby,14,2.30%,595,97.70%,0,0.00%,0,0.00%,609,2
Culberson,3,1.91%,154,98.09%,0,0.00%,0,0.00%,157,2
Dallam,47,4.34%,1026,94.74%,9,0.83%,1,0.09%,1083,2
Dallas,1387,13.23%,9057,86.39%,38,0.36%,2,0.02%,10484,2
Dawson,50,8.77%,518,90.88%,2,0.35%,0,0.00%,570,2
Deaf Smith,49,12.44%,345,87.56%,0,0.00%,0,0.00%,394,2
Delta,32,3.75%,820,96.13%,1,0.12%,0,0.00%,853,2
Denton,160,8.45%,1722,90.92%,12,0.63%,0,0.00%,1894,2
DeWitt,300,17.05%,1458,82.84%,1,0.06%,1,0.06%,1760,2
Dickens,43,8.51%,461,91.29%,1,0.20%,0,0.00%,505,2
Dimmit,30,11.95%,220,87.65%,1,0.40%,0,0.00%,251,2
Donley,41,7.12%,534,92.71%,1,0.17%,0,0.00%,576,2
Duval,118,6.35%,1741,93.65%,0,0.00%,0,0.00%,1859,2
Eastland,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Ector,7,3.80%,177,96.20%,0,0.00%,0,0.00%,184,2
Edwards,147,23.52%,476,76.16%,2,0.32%,0,0.00%,625,2
Ellis,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
El Paso,551,11.24%,4336,88.44%,11,0.22%,5,0.10%,4903,2
Erath,200,12.98%,1336,86.70%,5,0.32%,0,0.00%,1541,2
Falls,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Fannin,240,11.15%,1911,88.80%,1,0.05%,0,0.00%,2152,2
Fayette,251,10.56%,2121,89.19%,2,0.08%,4,0.17%,2378,2
Fisher,43,6.72%,596,93.13%,1,0.16%,0,0.00%,640,2
Floyd,62,8.09%,702,91.64%,2,0.26%,0,0.00%,766,2
Foard,35,10.00%,315,90.00%,0,0.00%,0,0.00%,350,2
Fort Bend,50,4.35%,1096,95.30%,4,0.35%,0,0.00%,1150,2
Franklin,63,15.95%,330,83.54%,2,0.51%,0,0.00%,395,2
Freestone,187,13.78%,1168,86.07%,2,0.15%,0,0.00%,1357,2
Frio,24,4.55%,503,95.45%,0,0.00%,0,0.00%,527,2
Gaines,9,4.15%,204,94.01%,4,1.84%,0,0.00%,217,2
Galveston,645,19.28%,2683,80.19%,10,0.30%,8,0.24%,3346,2
Garza,55,15.58%,297,84.14%,1,0.28%,0,0.00%,353,2
Gillespie,1564,59.18%,1064,40.26%,6,0.23%,9,0.34%,2643,1
Glasscock,9,9.28%,87,89.69%,1,1.03%,0,0.00%,97,2
Goliad,492,39.36%,750,60.00%,5,0.40%,3,0.24%,1250,2
Gonzales,129,5.65%,2155,94.31%,1,0.04%,0,0.00%,2285,2
Gray,0,0.00%,2177,100.00%,0,0.00%,0,0.00%,2177,2
Grayson,654,12.28%,4660,87.50%,12,0.23%,0,0.00%,5326,2
Gregg,94,8.58%,1001,91.42%,0,0.00%,0,0.00%,1095,2
Grimes,33,4.06%,779,95.82%,1,0.12%,0,0.00%,813,2
Guadalupe,2105,55.37%,1682,44.24%,13,0.34%,2,0.05%,3802,1
Hale,163,15.01%,921,84.81%,2,0.18%,0,0.00%,1086,2
Hall,47,6.35%,691,93.38%,2,0.27%,0,0.00%,740,2
Hamilton,120,12.86%,811,86.92%,1,0.11%,1,0.11%,933,2
Hansford,42,5.14%,769,94.12%,3,0.37%,3,0.37%,817,2
Hardeman,43,5.83%,695,94.17%,0,0.00%,0,0.00%,738,2
Hardin,26,3.97%,626,95.57%,3,0.46%,0,0.00%,655,2
Harris,1003,9.03%,10046,90.47%,41,0.37%,14,0.13%,11104,2
Harrison,25,2.21%,1103,97.61%,0,0.00%,2,0.18%,1130,2
Hartley,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Haskell,43,4.94%,823,94.49%,4,0.46%,1,0.11%,871,2
Hays,26,2.82%,896,97.07%,1,0.11%,0,0.00%,923,2
Hemphill,46,6.02%,717,93.85%,1,0.13%,0,0.00%,764,2
Henderson,264,14.57%,1541,85.04%,7,0.39%,0,0.00%,1812,2
Hidalgo,3485,38.85%,5449,60.74%,25,0.28%,12,0.13%,8971,2
Hill,189,7.45%,2344,92.43%,3,0.12%,0,0.00%,2536,2
Hockley,31,6.58%,437,92.78%,3,0.64%,0,0.00%,471,2
Hood,68,14.44%,403,85.56%,0,0.00%,0,0.00%,471,2
Hopkins,132,6.97%,1754,92.56%,6,0.32%,3,0.16%,1895,2
Houston,160,11.56%,1219,88.08%,5,0.36%,0,0.00%,1384,2
Howard,36,3.11%,1118,96.55%,3,0.26%,1,0.09%,1158,2
Hudspeth,54,30.86%,76,43.43%,15,8.57%,30,17.14%,175,2
Hunt,229,8.83%,2359,90.94%,3,0.12%,3,0.12%,2594,2
Hutchinson,54,4.19%,1236,95.81%,0,0.00%,0,0.00%,1290,2
Irion,7,3.87%,172,95.03%,2,1.10%,0,0.00%,181,2
Jack,112,15.09%,626,84.37%,3,0.40%,1,0.13%,742,2
Jackson,48,9.45%,456,89.76%,3,0.59%,1,0.20%,508,2
Jasper,20,2.76%,703,97.10%,1,0.14%,0,0.00%,724,2
Jeff Davis,5,2.56%,189,96.92%,1,0.51%,0,0.00%,195,2
Jefferson,401,13.01%,2674,86.76%,7,0.23%,0,0.00%,3082,2
Jim Hogg,84,18.79%,363,81.21%,0,0.00%,0,0.00%,447,2
Jim Wells,43,4.17%,984,95.53%,2,0.19%,1,0.10%,1030,2
Johnson,271,14.41%,1607,85.48%,1,0.05%,1,0.05%,1880,2
Jones,92,7.29%,1163,92.16%,6,0.48%,1,0.08%,1262,2
Karnes,119,9.12%,1183,90.65%,2,0.15%,1,0.08%,1305,2
Kaufman,186,9.18%,1840,90.77%,1,0.05%,0,0.00%,2027,2
Kendall,676,60.09%,442,39.29%,1,0.09%,6,0.53%,1125,1
Kenedy,3,3.49%,83,96.51%,0,0.00%,0,0.00%,86,2
Kent,7,3.57%,189,96.43%,0,0.00%,0,0.00%,196,2
Kerr,377,20.40%,1456,78.79%,13,0.70%,2,0.11%,1848,2
Kimble,17,6.42%,248,93.58%,0,0.00%,0,0.00%,265,2
King,0,0.00%,67,100.00%,0,0.00%,0,0.00%,67,2
Kinney,85,20.33%,325,77.75%,1,0.24%,7,1.67%,418,2
Kleberg,26,4.55%,545,95.45%,0,0.00%,0,0.00%,571,2
Knox,39,6.61%,551,93.39%,0,0.00%,0,0.00%,590,2
Lamar,108,5.48%,1860,94.37%,3,0.15%,0,0.00%,1971,2
Lamb,52,10.48%,438,88.31%,4,0.81%,2,0.40%,496,2
Lampasas,75,10.27%,655,89.73%,0,0.00%,0,0.00%,730,2
La Salle,70,15.22%,390,84.78%,0,0.00%,0,0.00%,460,2
Lavaca,194,10.34%,1676,89.34%,6,0.32%,0,0.00%,1876,2
Lee,245,22.69%,833,77.13%,2,0.19%,0,0.00%,1080,2
Leon,116,12.64%,791,86.17%,11,1.20%,0,0.00%,918,2
Liberty,66,8.54%,698,90.30%,9,1.16%,0,0.00%,773,2
Limestone,72,3.45%,2014,96.41%,2,0.10%,1,0.05%,2089,2
Lipscomb,293,31.40%,634,67.95%,6,0.64%,0,0.00%,933,2
Live Oak,49,7.73%,578,91.17%,6,0.95%,1,0.16%,634,2
Llano,30,4.50%,637,95.50%,0,0.00%,0,0.00%,667,2
Loving,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Lubbock,136,9.88%,1237,89.83%,4,0.29%,0,0.00%,1377,2
Lynn,51,7.75%,604,91.79%,1,0.15%,2,0.30%,658,2
Madison,65,8.90%,665,91.10%,0,0.00%,0,0.00%,730,2
Marion,47,13.20%,309,86.80%,0,0.00%,0,0.00%,356,2
Martin,32,10.81%,264,89.19%,0,0.00%,0,0.00%,296,2
Mason,40,10.78%,331,89.22%,0,0.00%,0,0.00%,371,2
Matagorda,159,19.41%,655,79.98%,5,0.61%,0,0.00%,819,2
Maverick,42,16.28%,215,83.33%,1,0.39%,0,0.00%,258,2
McCulloch,96,9.64%,897,90.06%,2,0.20%,1,0.10%,996,2
McLennan,354,6.98%,4702,92.67%,17,0.34%,1,0.02%,5074,2
McMullen,4,2.65%,147,97.35%,0,0.00%,0,0.00%,151,2
Medina,708,35.51%,1280,64.19%,1,0.05%,5,0.25%,1994,2
Menard,25,8.65%,262,90.66%,1,0.35%,1,0.35%,289,2
Midland,18,4.07%,424,95.93%,0,0.00%,0,0.00%,442,2
Milam,161,8.87%,1647,90.69%,6,0.33%,2,0.11%,1816,2
Mills,152,21.23%,558,77.93%,6,0.84%,0,0.00%,716,2
Mitchell,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Montague,146,13.35%,938,85.74%,9,0.82%,1,0.09%,1094,2
Montgomery,30,1.96%,1496,97.84%,2,0.13%,1,0.07%,1529,2
Moore,8,5.44%,138,93.88%,1,0.68%,0,0.00%,147,2
Morris,24,4.87%,469,95.13%,0,0.00%,0,0.00%,493,2
Motley,16,5.65%,267,94.35%,0,0.00%,0,0.00%,283,2
Nacogdoches,57,4.26%,1276,95.44%,4,0.30%,0,0.00%,1337,2
Navarro,244,7.16%,3162,92.84%,0,0.00%,0,0.00%,3406,2
Newton,20,4.62%,413,95.38%,0,0.00%,0,0.00%,433,2
Nolan,78,8.55%,833,91.34%,1,0.11%,0,0.00%,912,2
Nueces,247,7.79%,2921,92.12%,2,0.06%,1,0.03%,3171,2
Ochiltree,28,7.65%,336,91.80%,2,0.55%,0,0.00%,366,2
Oldham,5,2.87%,169,97.13%,0,0.00%,0,0.00%,174,2
