County,Goen,%,Connally,%,Starr,%,Keel,%,Total,Winner
Anderson,33,1.24%,2625,98.57%,5,0.19%,0,0.00%,2663,2
Andrews,0,0.00%,189,99.47%,1,0.53%,0,0.00%,190,2
Angelina,14,0.66%,2083,98.81%,11,0.52%,0,0.00%,2108,2
Aransas,14,8.54%,139,84.76%,11,6.71%,0,0.00%,164,2
Archer,2,1.39%,139,96.53%,3,2.08%,0,0.00%,144,2
Armstrong,9,0.98%,905,98.48%,5,0.54%,0,0.00%,919,2
Atascosa,5,0.97%,511,99.03%,0,0.00%,0,0.00%,516,2
Austin,13,1.12%,1139,98.27%,6,0.52%,1,0.09%,1159,2
Bailey,33,2.16%,1495,97.71%,2,0.13%,0,0.00%,1530,2
Bandera,16,3.17%,484,95.84%,5,0.99%,0,0.00%,505,2
Bastrop,109,9.91%,979,89.00%,10,0.91%,2,0.18%,1100,2
Baylor,32,2.18%,1428,97.41%,5,0.34%,1,0.07%,1466,2
Bee,38,2.23%,1664,97.54%,3,0.18%,1,0.06%,1706,2
Bell,35,0.53%,6533,99.33%,9,0.14%,0,0.00%,6577,2
Bexar,824,4.49%,17404,94.82%,99,0.54%,27,0.15%,18354,2
Blanco,115,9.44%,1098,90.15%,5,0.41%,0,0.00%,1218,2
Borden,0,0.00%,123,100.00%,0,0.00%,0,0.00%,123,2
Bosque,55,3.24%,1640,96.64%,2,0.12%,0,0.00%,1697,2
Bowie,50,1.31%,3759,98.27%,16,0.42%,0,0.00%,3825,2
Brazoria,63,6.50%,903,93.19%,2,0.21%,1,0.10%,969,2
Brazos,15,1.10%,1344,98.90%,0,0.00%,0,0.00%,1359,2
Brewster,6,0.92%,646,98.63%,1,0.15%,2,0.31%,655,2
Briscoe,0,0.00%,413,100.00%,0,0.00%,0,0.00%,413,2
Brooks,8,1.27%,621,98.73%,0,0.00%,0,0.00%,629,2
Brown,26,1.43%,1779,98.12%,5,0.28%,3,0.17%,1813,2
Burleson,17,1.55%,1081,98.45%,0,0.00%,0,0.00%,1098,2
Burnet,31,3.16%,951,96.84%,0,0.00%,0,0.00%,982,2
Caldwell,0,0.00%,1452,100.00%,0,0.00%,0,0.00%,1452,2
Calhoun,9,0.98%,906,98.48%,5,0.54%,0,0.00%,920,2
Callahan,6,0.67%,890,99.33%,0,0.00%,0,0.00%,896,2
Cameron,191,5.56%,3239,94.35%,2,0.06%,1,0.03%,3433,2
Camp,8,1.04%,760,98.96%,0,0.00%,0,0.00%,768,2
Carson,29,2.30%,1227,97.23%,5,0.40%,1,0.08%,1262,2
Cass,40,2.46%,1583,97.24%,5,0.31%,0,0.00%,1628,2
Castro,5,1.00%,496,99.00%,0,0.00%,0,0.00%,501,2
Chambers,9,2.60%,336,97.11%,1,0.29%,0,0.00%,346,2
Cherokee,43,1.60%,2632,98.10%,8,0.30%,0,0.00%,2683,2
Childress,25,2.30%,1048,96.50%,12,1.10%,1,0.09%,1086,2
Clay,10,0.81%,1227,98.95%,3,0.24%,0,0.00%,1240,2
Cochran,4,0.92%,425,97.93%,5,1.15%,0,0.00%,434,2
Coke,10,1.59%,606,96.65%,11,1.75%,0,0.00%,627,2
Coleman,24,0.97%,2425,98.38%,16,0.65%,0,0.00%,2465,2
Collin,101,3.13%,3121,96.57%,10,0.31%,0,0.00%,3232,2
Collingsworth,14,1.54%,895,98.24%,2,0.22%,0,0.00%,911,2
Colorado,61,4.47%,1300,95.31%,3,0.22%,0,0.00%,1364,2
Comal,56,5.25%,1007,94.47%,3,0.28%,0,0.00%,1066,2
Comanche,36,2.25%,1556,97.19%,7,0.44%,2,0.12%,1601,2
Concho,6,1.08%,552,98.92%,0,0.00%,0,0.00%,558,2
Cooke,77,10.94%,619,87.93%,8,1.14%,0,0.00%,704,2
Coryell,26,1.65%,1550,98.16%,3,0.19%,0,0.00%,1579,2
Cottle,8,1.21%,648,98.33%,3,0.46%,0,0.00%,659,2
Crane,1,0.24%,421,99.53%,1,0.24%,0,0.00%,423,2
Crockett,0,0.00%,139,100.00%,0,0.00%,0,0.00%,139,2
Crosby,4,0.39%,1010,99.61%,0,0.00%,0,0.00%,1014,2
Culberson,1,0.87%,114,99.13%,0,0.00%,0,0.00%,115,2
Dallam,17,2.07%,794,96.71%,9,1.10%,1,0.12%,821,2
Dallas,876,3.11%,27162,96.28%,162,0.57%,11,0.04%,28211,2
Dawson,7,0.89%,773,98.47%,5,0.64%,0,0.00%,785,2
Deaf Smith,25,4.19%,569,95.31%,3,0.50%,0,0.00%,597,2
Delta,17,1.08%,1549,98.85%,1,0.06%,0,0.00%,1567,2
Denton,72,2.40%,2919,97.20%,12,0.40%,0,0.00%,3003,2
DeWitt,37,2.90%,1235,96.86%,2,0.16%,1,0.08%,1275,2
Dickens,0,0.00%,1646,100.00%,0,0.00%,0,0.00%,1646,2
Dimmit,28,4.74%,562,95.09%,1,0.17%,0,0.00%,591,2
Donley,11,1.28%,845,98.03%,5,0.58%,1,0.12%,862,2
Duval,3,0.10%,3006,99.90%,0,0.00%,0,0.00%,3009,2
Eastland,71,2.99%,2224,93.72%,41,1.73%,37,1.56%,2373,2
Ector,2,0.99%,201,99.01%,0,0.00%,0,0.00%,203,2
Edwards,7,1.14%,606,98.38%,3,0.49%,0,0.00%,616,2
Ellis,46,1.57%,2874,98.29%,4,0.14%,0,0.00%,2924,2
El Paso,158,3.03%,5034,96.70%,12,0.23%,2,0.04%,5206,2
Erath,29,1.62%,1744,97.48%,14,0.78%,2,0.11%,1789,2
Falls,0,0.00%,2053,100.00%,0,0.00%,0,0.00%,2053,2
Fannin,79,2.83%,2710,96.96%,5,0.18%,1,0.04%,2795,2
Fayette,119,3.51%,3268,96.37%,4,0.12%,0,0.00%,3391,2
Fisher,10,0.92%,1071,98.53%,3,0.28%,3,0.28%,1087,2
Floyd,22,2.00%,1077,97.82%,2,0.18%,0,0.00%,1101,2
Foard,12,2.29%,506,96.75%,5,0.96%,0,0.00%,523,2
Fort Bend,14,0.97%,1432,98.90%,2,0.14%,0,0.00%,1448,2
Franklin,29,4.43%,623,95.26%,2,0.31%,0,0.00%,654,2
Freestone,31,2.07%,1462,97.79%,2,0.13%,0,0.00%,1495,2
Frio,7,1.13%,614,98.71%,1,0.16%,0,0.00%,622,2
Gaines,1,0.37%,268,99.63%,0,0.00%,0,0.00%,269,2
Galveston,166,3.75%,4248,96.04%,8,0.18%,1,0.02%,4423,2
Garza,0,0.00%,455,100.00%,0,0.00%,0,0.00%,455,2
Gillespie,937,34.04%,1783,64.77%,24,0.87%,9,0.33%,2753,2
Glasscock,1,0.79%,123,97.62%,2,1.59%,0,0.00%,126,2
Goliad,185,13.83%,1142,85.35%,6,0.45%,5,0.37%,1338,2
Gonzales,20,1.36%,1451,98.37%,2,0.14%,2,0.14%,1475,2
Gray,31,1.61%,1865,97.03%,23,1.20%,3,0.16%,1922,2
Grayson,156,2.93%,5149,96.82%,12,0.23%,1,0.02%,5318,2
Gregg,23,1.02%,2234,98.81%,4,0.18%,0,0.00%,2261,2
Grimes,9,0.73%,1222,99.03%,3,0.24%,0,0.00%,1234,2
Guadalupe,1061,25.85%,3038,74.01%,3,0.07%,3,0.07%,4105,2
Hale,30,1.92%,1523,97.32%,12,0.77%,0,0.00%,1565,2
