County,Bailey,%,Connally,%,Fisher,%,Total,Winner,
Anderson,2254,33.61%,4220,62.93%,232,3.46%,6706,2,
Andrews,72,31.44%,145,63.32%,12,5.24%,229,2,
Angelina,1886,31.61%,3240,54.31%,840,14.08%,5966,2,
Aransas,127,32.48%,254,64.96%,10,2.56%,391,2,
Archer,897,41.09%,1208,55.34%,78,3.57%,2183,2,
Armstrong,274,26.35%,754,72.50%,12,1.15%,1040,2,
Atascosa,1350,53.81%,1081,43.08%,78,3.11%,2509,1,
Austin,1613,48.41%,1602,48.08%,117,3.51%,3332,1,
Bailey,421,35.08%,743,61.92%,36,3.00%,1200,2,
Bandera,169,44.01%,205,53.39%,10,2.60%,384,2,
Bastrop,1670,44.71%,1945,52.07%,120,3.21%,3735,2,
Baylor,709,33.65%,1315,62.41%,83,3.94%,2107,2,
Bee,768,32.32%,1569,66.04%,39,1.64%,2376,2,
Bell,2833,28.56%,6851,69.08%,234,2.36%,9918,2,
Bexar,15592,44.57%,18245,52.15%,1148,3.28%,34985,2,
Blanco,225,44.64%,258,51.19%,21,4.17%,504,2,
Borden,109,28.99%,265,70.48%,2,0.53%,376,2,
Bosque,2051,44.28%,2448,52.85%,133,2.87%,4632,2,
Bowie,3025,42.86%,3756,53.22%,277,3.92%,7058,2,
Brazoria,728,43.41%,911,54.32%,38,2.27%,1677,2,
Brazos,882,24.82%,2575,72.47%,96,2.70%,3553,2,
Brewster,463,35.56%,811,62.29%,28,2.15%,1302,2,
Briscoe,489,40.58%,671,55.68%,45,3.73%,1205,2,
Brooks,494,54.77%,392,43.46%,16,1.77%,902,1,
Brown,1828,30.38%,3931,65.33%,258,4.29%,6017,2,
Burleson,1153,37.92%,1684,55.38%,204,6.71%,3041,2,
Burnet,672,27.80%,1625,67.23%,120,4.96%,2417,2,
Caldwell,1613,37.54%,2527,58.81%,157,3.65%,4297,2,
Calhoun,292,30.29%,638,66.18%,34,3.53%,964,2,
Callahan,1228,44.09%,1470,52.78%,87,3.12%,2785,2,
Cameron,1735,21.41%,6034,74.47%,334,4.12%,8103,2,
Camp,625,31.09%,1276,63.48%,109,5.42%,2010,2,
Carson,798,45.44%,917,52.22%,41,2.33%,1756,2,
Cass,1302,35.43%,2242,61.01%,131,3.56%,3675,2,
Castro,460,36.48%,769,60.98%,32,2.54%,1261,2,
Chambers,481,41.79%,613,53.26%,57,4.95%,1151,2,
Cherokee,1399,24.49%,3951,69.17%,362,6.34%,5712,2,
Childress,940,30.58%,2053,66.79%,81,2.64%,3074,2,
Clay,1213,39.26%,1778,57.54%,99,3.20%,3090,2,
Cochran,222,39.50%,315,56.05%,25,4.45%,562,2,
Coke,420,17.77%,1869,79.09%,74,3.13%,2363,2,
Coleman,1540,33.86%,2833,62.29%,175,3.85%,4548,2,
Collin,3863,48.14%,3887,48.44%,274,3.41%,8024,2,
Collingsworth,1169,39.06%,1761,58.84%,63,2.10%,2993,2,
Colorado,1312,43.56%,1624,53.92%,76,2.52%,3012,2,
Comal,1768,74.47%,537,22.62%,69,2.91%,2374,1,
Comanche,1632,37.64%,2515,58.00%,189,4.36%,4336,2,
