County,Watson,%,Sheppard,%,Wilson,%,Starr,%,Total,Winner
Anderson,124,3.07%,3917,96.91%,0,0.00%,1,0.02%,4042,2
Andrews,10,3.28%,295,96.72%,0,0.00%,0,0.00%,305,2
Angelina,120,2.80%,4160,97.11%,0,0.00%,4,0.09%,4284,2
Aransas,40,14.55%,229,83.27%,4,1.45%,2,0.73%,275,2
Archer,83,4.57%,1726,95.10%,6,0.33%,0,0.00%,1815,2
Armstrong,20,2.14%,914,97.75%,1,0.11%,0,0.00%,935,2
Atascosa,1,0.05%,2175,99.95%,0,0.00%,0,0.00%,2176,2
Austin,127,6.53%,1817,93.37%,0,0.00%,2,0.10%,1946,2
Bailey,96,9.74%,871,88.34%,18,1.83%,1,0.10%,986,2
Bandera,312,28.11%,785,70.72%,10,0.90%,3,0.27%,1110,2
Bastrop,85,3.28%,2508,96.65%,0,0.00%,2,0.08%,2595,2
Baylor,58,3.46%,1618,96.48%,0,0.00%,1,0.06%,1677,2
Bee,212,10.30%,1837,89.22%,7,0.34%,3,0.15%,2059,2
Bell,192,3.03%,6136,96.83%,9,0.14%,0,0.00%,6337,2
Bexar,7258,14.89%,41314,84.74%,145,0.30%,36,0.07%,48753,2
Blanco,221,15.76%,1177,83.95%,3,0.21%,1,0.07%,1402,2
Borden,13,5.33%,230,94.26%,0,0.00%,1,0.41%,244,2
Bosque,191,7.30%,2419,92.43%,2,0.08%,5,0.19%,2617,2
Bowie,268,4.85%,5240,94.88%,8,0.14%,7,0.13%,5523,2
Brazoria,199,8.82%,2037,90.29%,18,0.80%,2,0.09%,2256,2
Brazos,45,1.64%,2700,98.32%,0,0.00%,1,0.04%,2746,2
Brewster,66,6.61%,933,93.39%,0,0.00%,0,0.00%,999,2
Briscoe,29,3.19%,878,96.59%,2,0.22%,0,0.00%,909,2
Brooks,70,14.34%,418,85.66%,0,0.00%,0,0.00%,488,2
Brown,244,5.41%,4243,94.10%,18,0.40%,4,0.09%,4509,2
Burleson,65,3.80%,1647,96.20%,0,0.00%,0,0.00%,1712,2
Burnet,60,3.49%,1658,96.45%,0,0.00%,1,0.06%,1719,2
Caldwell,106,3.23%,3156,96.28%,16,0.49%,0,0.00%,3278,2
Calhoun,51,6.58%,723,93.29%,0,0.00%,1,0.13%,775,2
Callahan,141,7.05%,1853,92.70%,0,0.00%,5,0.25%,1999,2
Cameron,1366,16.80%,6704,82.44%,56,0.69%,6,0.07%,8132,2
Camp,49,4.79%,973,95.11%,1,0.10%,0,0.00%,1023,2
Carson,93,5.39%,1634,94.61%,0,0.00%,0,0.00%,1727,2
Cass,115,4.36%,2523,95.64%,0,0.00%,0,0.00%,2638,2
Castro,52,4.99%,985,94.44%,5,0.48%,1,0.10%,1043,2
Chambers,69,6.03%,1073,93.79%,1,0.09%,1,0.09%,1144,2
Cherokee,131,3.06%,4139,96.82%,3,0.07%,2,0.05%,4275,2
