County,Shannon,%,Connally,%,Brooks,%,Total,Winner
Anderson,167,2.76%,5887,97.23%,1,0.02%,6055,2
Andrews,10,2.14%,458,97.86%,0,0.00%,468,2
Angelina,134,2.04%,6433,97.94%,1,0.02%,6568,2
Aransas,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Archer,72,3.33%,2093,96.67%,0,0.00%,2165,2
Armstrong,15,1.53%,963,98.47%,0,0.00%,978,2
Atascosa,83,3.51%,2281,96.41%,2,0.08%,2366,2
Austin,136,4.89%,2647,95.08%,1,0.04%,2784,2
Bailey,62,4.52%,1310,95.48%,0,0.00%,1372,2
Bandera,135,10.41%,1160,89.44%,2,0.15%,1297,2
Bastrop,67,2.22%,2952,97.78%,0,0.00%,3019,2
Baylor,32,1.76%,1787,98.24%,0,0.00%,1819,2
Bee,76,2.73%,2708,97.24%,1,0.04%,2785,2
Bell,198,2.32%,8320,97.66%,1,0.01%,8519,2
Bexar,9809,17.38%,46566,82.51%,63,0.11%,56438,2
Blanco,171,10.63%,1436,89.25%,2,0.12%,1609,2
Borden,7,1.65%,416,98.35%,0,0.00%,423,2
Bosque,120,3.27%,3555,96.73%,0,0.00%,3675,2
Bowie,308,3.84%,7707,96.16%,0,0.00%,8015,2
Brazoria,236,5.14%,4351,94.86%,0,0.00%,4587,2
Brazos,119,2.49%,4664,97.51%,0,0.00%,4783,2
Brewster,52,4.04%,1235,95.96%,0,0.00%,1287,2
Briscoe,22,2.06%,1045,97.85%,1,0.09%,1068,2
Brooks,27,2.96%,883,96.71%,3,0.33%,913,2
Brown,132,2.53%,5082,97.43%,2,0.04%,5216,2
Burleson,73,3.11%,2271,96.89%,0,0.00%,2344,2
Burnet,58,2.36%,2394,97.59%,1,0.04%,2453,2
Caldwell,84,2.01%,4091,97.99%,0,0.00%,4175,2
Calhoun,28,2.76%,986,97.24%,0,0.00%,1014,2
Callahan,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Cameron,845,8.87%,8674,91.08%,4,0.04%,9523,2
Camp,45,2.91%,1501,97.09%,0,0.00%,1546,2
Carson,108,5.33%,1918,94.67%,0,0.00%,2026,2
Cass,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Castro,38,3.09%,1191,96.91%,0,0.00%,1229,2
Chambers,59,3.91%,1451,96.09%,0,0.00%,1510,2
Cherokee,142,2.32%,5970,97.64%,2,0.03%,6114,2
Childress,74,2.40%,3010,97.60%,0,0.00%,3084,2
Clay,93,3.33%,2703,96.67%,0,0.00%,2796,2
Cochran,28,3.15%,860,96.85%,0,0.00%,888,2
Coke,15,1.40%,1057,98.33%,3,0.28%,1075,2
Coleman,125,3.31%,3653,96.69%,0,0.00%,3778,2
Collin,401,4.77%,8009,95.22%,1,0.01%,8411,2
Collingsworth,75,3.25%,2233,96.75%,0,0.00%,2308,2
Colorado,216,7.61%,2623,92.39%,0,0.00%,2839,2
Comal,300,11.90%,2214,87.86%,6,0.24%,2520,2
Comanche,77,2.00%,3770,97.97%,1,0.03%,3848,2
Concho,51,3.43%,1436,96.57%,0,0.00%,1487,2
Cooke,363,6.21%,5486,93.79%,0,0.00%,5849,2
Coryell,82,2.32%,3445,97.68%,0,0.00%,3527,2
Cottle,71,4.06%,1678,95.94%,0,0.00%,1749,2
Crane,25,2.80%,867,97.20%,0,0.00%,892,2
Crockett,31,5.73%,510,94.27%,0,0.00%,541,2
Crosby,41,2.06%,1953,97.94%,0,0.00%,1994,2
Culberson,15,3.98%,362,96.02%,0,0.00%,377,2
Dallam,110,5.47%,1899,94.48%,1,0.05%,2010,2
Dallas,8273,12.56%,57569,87.39%,36,0.05%,65878,2
Dawson,76,2.39%,3102,97.61%,0,0.00%,3178,2
Deaf Smith,125,7.27%,1595,92.73%,0,0.00%,1720,2
Delta,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Denton,302,4.13%,7012,95.87%,0,0.00%,7314,2
DeWitt,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Dickens,47,2.37%,1939,97.63%,0,0.00%,1986,2
Dimmit,78,7.22%,1003,92.78%,0,0.00%,1081,2
Donley,5,0.27%,1842,99.73%,0,0.00%,1847,2
Duval,52,1.53%,3353,98.47%,0,0.00%,3405,2
Eastland,305,4.38%,6658,95.59%,2,0.03%,6965,2
Ector,0,0.00%,3116,100.00%,0,0.00%,3116,2
Edwards,35,4.70%,710,95.30%,0,0.00%,745,2
Ellis,171,2.01%,8341,97.99%,0,0.00%,8512,2
El Paso,1215,7.56%,14857,92.41%,5,0.03%,16077,2
Erath,162,3.62%,4314,96.38%,0,0.00%,4476,2
Falls,234,4.70%,4749,95.30%,0,0.00%,4983,2
Fannin,301,3.66%,7931,96.31%,3,0.04%,8235,2
Fayette,340,6.74%,4702,93.24%,1,0.02%,5043,2
Fisher,41,1.65%,2448,98.35%,0,0.00%,2489,2
Floyd,79,3.30%,2308,96.29%,10,0.42%,2397,2
Foard,42,3.68%,1100,96.32%,0,0.00%,1142,2
Fort Bend,120,3.10%,3750,96.90%,0,0.00%,3870,2
Franklin,70,3.88%,1732,96.12%,0,0.00%,1802,2
Freestone,138,3.47%,3841,96.53%,0,0.00%,3979,2
Frio,52,4.16%,1197,95.76%,1,0.08%,1250,2
Gaines,60,3.52%,1646,96.48%,0,0.00%,1706,2
Galveston,842,6.17%,12806,93.79%,6,0.04%,13654,2
Garza,22,1.79%,1203,98.12%,1,0.08%,1226,2
Gillespie,1315,39.75%,1984,59.98%,9,0.27%,3308,2
Glasscock,6,1.85%,318,98.15%,0,0.00%,324,2
Goliad,222,15.68%,1194,84.32%,0,0.00%,1416,2
Gonzales,89,2.39%,3634,97.61%,0,0.00%,3723,2
Gray,403,7.31%,5109,92.67%,1,0.02%,5513,2
Grayson,604,4.32%,13365,95.67%,1,0.01%,13970,2
Gregg,940,8.58%,10002,91.33%,9,0.08%,10951,2
Grimes,44,1.77%,2443,98.23%,0,0.00%,2487,2
Guadalupe,1084,22.47%,3736,77.45%,4,0.08%,4824,2
Hale,185,4.30%,4118,95.70%,0,0.00%,4303,2
Hall,56,2.28%,2396,97.72%,0,0.00%,2452,2
Hamilton,84,2.92%,2794,97.08%,0,0.00%,2878,2
Hansford,46,5.25%,830,94.75%,0,0.00%,876,2
Hardeman,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Hardin,59,1.82%,3179,98.18%,0,0.00%,3238,2
Harris,4936,5.25%,89065,94.73%,23,0.02%,94024,2
Harrison,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Hartley,37,5.58%,626,94.42%,0,0.00%,663,2
Haskell,114,3.40%,3242,96.60%,0,0.00%,3356,2
Hays,79,2.77%,2772,97.23%,0,0.00%,2851,2
Hemphill,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Henderson,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Hidalgo,1182,9.56%,11178,90.44%,0,0.00%,12360,2
Hill,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Hockley,64,2.40%,2605,97.60%,0,0.00%,2669,2
Hood,61,4.06%,1441,95.94%,0,0.00%,1502,2
Hopkins,152,2.82%,5245,97.18%,0,0.00%,5397,2
Houston,120,3.00%,3885,97.00%,0,0.00%,4005,2
Howard,96,2.00%,4714,97.98%,1,0.02%,4811,2
Hudspeth,11,2.25%,478,97.75%,0,0.00%,489,2
Hunt,365,4.01%,8668,95.29%,63,0.69%,9096,2
Hutchinson,312,7.55%,3818,92.42%,1,0.02%,4131,2
Irion,11,1.76%,611,97.60%,4,0.64%,626,2
Jack,96,4.10%,2247,95.90%,0,0.00%,2343,2
Jackson,57,3.15%,1750,96.79%,1,0.06%,1808,2
Jasper,56,2.34%,2336,97.66%,0,0.00%,2392,2
Jeff Davis,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Jefferson,1166,4.69%,23677,95.25%,16,0.06%,24859,2
Jim Hogg,32,3.41%,906,96.59%,0,0.00%,938,2
Jim Wells,98,3.29%,2882,96.68%,1,0.03%,2981,2
Johnson,166,2.72%,5945,97.28%,0,0.00%,6111,2
Jones,63,1.50%,4132,98.50%,0,0.00%,4195,2
Karnes,69,2.62%,2563,97.38%,0,0.00%,2632,2
Kaufman,186,3.37%,5335,96.61%,1,0.02%,5522,2
Kendall,552,32.70%,1133,67.12%,3,0.18%,1688,2
Kenedy,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Kent,10,1.25%,790,98.75%,0,0.00%,800,2
Kerr,728,23.75%,2337,76.25%,0,0.00%,3065,2
Kimble,49,3.66%,1288,96.34%,0,0.00%,1337,2
King,3,1.04%,284,98.61%,1,0.35%,288,2
Kinney,62,10.47%,529,89.36%,1,0.17%,592,2
Kleberg,49,2.36%,2024,97.64%,0,0.00%,2073,2
Knox,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Lamar,167,1.96%,8345,98.03%,1,0.01%,8513,2
Lamb,166,4.40%,3604,95.60%,0,0.00%,3770,2
Lampasas,56,2.48%,2201,97.52%,0,0.00%,2257,2
La Salle,13,1.58%,808,98.42%,0,0.00%,821,2
Lavaca,189,4.87%,3693,95.13%,0,0.00%,3882,2
Lee,154,7.48%,1904,92.52%,0,0.00%,2058,2
Leon,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Liberty,157,3.96%,3808,96.04%,0,0.00%,3965,2
Limestone,77,1.44%,5282,98.54%,1,0.02%,5360,2
Lipscomb,171,14.32%,1023,85.68%,0,0.00%,1194,2
Live Oak,14,1.04%,1334,98.96%,0,0.00%,1348,2
Llano,39,2.25%,1695,97.69%,1,0.06%,1735,2
Loving,2,1.69%,116,98.31%,0,0.00%,118,2
Lubbock,292,3.10%,9124,96.86%,4,0.04%,9420,2
Lynn,86,2.98%,2799,97.02%,0,0.00%,2885,2
Madison,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Marion,94,7.31%,1192,92.69%,0,0.00%,1286,2
Martin,34,2.85%,1158,97.07%,1,0.08%,1193,2
Mason,109,6.94%,1459,92.87%,3,0.19%,1571,2
Matagorda,145,5.60%,2446,94.40%,0,0.00%,2591,2
Maverick,48,4.17%,1101,95.74%,1,0.09%,1150,2
McCulloch,640,3.56%,17314,96.44%,0,0.00%,17954,2
McLennan,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
McMullen,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Medina,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Menard,48,3.40%,1364,96.60%,0,0.00%,1412,2
Midland,116,4.48%,2476,95.52%,0,0.00%,2592,2
Milam,121,2.30%,5128,97.64%,3,0.06%,5252,2
Mills,50,2.58%,1885,97.42%,0,0.00%,1935,2
Mitchell,58,2.13%,2657,97.76%,3,0.11%,2718,2
Montague,117,3.00%,3779,96.90%,4,0.10%,3900,2
Montgomery,81,2.15%,3687,97.85%,0,0.00%,3768,2
Moore,54,4.46%,1156,95.38%,2,0.17%,1212,2
