County,Dies,%,Johnson,%,Mann,%,O'Daniel,%,Total,Winner
Anderson,502,15.57%,696,21.58%,915,28.37%,1112,34.48%,3225,4
Andrews,35,16.83%,54,25.96%,43,20.67%,76,36.54%,208,4
Angelina,1445,44.04%,375,11.43%,323,9.84%,1138,34.68%,3281,1
Aransas,17,7.36%,86,37.23%,40,17.32%,88,38.10%,231,4
Archer,43,4.11%,379,36.23%,214,20.46%,410,39.20%,1046,4
Armstrong,22,5.91%,115,30.91%,64,17.20%,171,45.97%,372,4
Atascosa,233,16.06%,438,30.19%,195,13.44%,585,40.32%,1451,4
Austin,98,4.82%,329,16.18%,797,39.18%,810,39.82%,2034,4
Bailey,67,11.55%,115,19.83%,149,25.69%,249,42.93%,580,4
Bandera,210,33.65%,81,12.98%,95,15.22%,238,38.14%,624,4
Bastrop,41,1.49%,1654,60.21%,230,8.37%,822,29.92%,2747,2
Baylor,29,3.08%,283,30.04%,300,31.85%,330,35.03%,942,4
Bee,200,14.07%,395,27.80%,431,30.33%,395,27.80%,1421,3
Bell,491,9.19%,1896,35.49%,1198,22.43%,1757,32.89%,5342,2
Bexar,2335,10.56%,10257,46.40%,3274,14.81%,6238,28.22%,22104,2
Blanco,16,1.49%,654,60.95%,124,11.56%,279,26.00%,1073,2
Borden,29,15.43%,46,24.47%,47,25.00%,66,35.11%,188,4
Bosque,132,6.14%,672,31.24%,631,29.34%,716,33.29%,2151,4
Bowie,683,17.64%,766,19.78%,803,20.74%,1620,41.84%,3872,4
Brazoria,401,13.49%,987,33.21%,532,17.90%,1052,35.40%,2972,4
Brazos,309,12.36%,612,24.49%,981,39.26%,597,23.89%,2499,3
Brewster,69,14.62%,245,51.91%,83,17.58%,75,15.89%,472,2
Briscoe,25,4.60%,112,20.63%,180,33.15%,226,41.62%,543,4
Brooks,36,10.34%,188,54.02%,28,8.05%,96,27.59%,348,2
Brown,290,9.57%,756,24.95%,1106,36.50%,878,28.98%,3030,3
Burleson,67,3.48%,950,49.38%,230,11.95%,677,35.19%,1924,2
Burnet,45,2.43%,1326,71.64%,144,7.78%,336,18.15%,1851,2
Caldwell,179,6.62%,1203,44.47%,649,23.99%,674,24.92%,2705,2
Calhoun,0,0.00%,154,27.45%,136,24.24%,271,48.31%,561,4
Callahan,141,8.34%,581,34.36%,436,25.78%,533,31.52%,1691,2
Cameron,1170,28.40%,1355,32.90%,601,14.59%,993,24.11%,4119,2
Camp,113,12.01%,80,8.50%,392,41.66%,356,37.83%,941,3
Carson,89,13.57%,161,24.54%,208,31.71%,198,30.18%,656,3
Cass,293,11.87%,456,18.47%,720,29.16%,1000,40.50%,2469,4
Castro,16,3.34%,102,21.29%,167,34.86%,194,40.50%,479,4
Chambers,216,29.43%,200,27.25%,114,15.53%,204,27.79%,734,1
Cherokee,420,12.22%,414,12.05%,1281,37.27%,1322,38.46%,3437,4
Childress,68,4.65%,328,22.45%,516,35.32%,549,37.58%,1461,4
Clay,147,9.25%,437,27.50%,371,23.35%,634,39.90%,1589,4
Cochran,53,11.96%,101,22.80%,95,21.44%,194,43.79%,443,4
Coke,54,8.35%,283,43.74%,98,15.15%,212,32.77%,647,2
Coleman,188,7.88%,692,29.01%,565,23.69%,940,39.41%,2385,4
Collin,509,9.24%,894,16.23%,2031,36.88%,2073,37.64%,5507,4
Collingsworth,36,3.22%,204,18.26%,321,28.74%,556,49.78%,1117,4
Colorado,177,8.39%,416,19.72%,672,31.86%,844,40.02%,2109,4
Comal,128,7.13%,319,17.76%,808,44.99%,541,30.12%,1796,3
Comanche,247,9.66%,533,20.85%,674,26.37%,1102,43.11%,2556,4
Concho,31,3.92%,373,47.16%,148,18.71%,239,30.21%,791,2
Cooke,472,12.82%,685,18.61%,1170,31.78%,1354,36.78%,3681,4
Coryell,79,3.29%,770,32.06%,640,26.64%,913,38.01%,2402,4
Cottle,59,7.27%,173,21.31%,262,32.27%,318,39.16%,812,4
Crane,37,11.21%,158,47.88%,91,27.58%,44,13.33%,330,2
Crockett,16,6.96%,82,35.65%,87,37.83%,45,19.57%,230,3
Crosby,103,10.71%,143,14.86%,329,34.20%,387,40.23%,962,4
Culberson,19,13.48%,100,70.92%,8,5.67%,14,9.93%,141,2
Dallam,34,4.40%,211,27.30%,230,29.75%,298,38.55%,773,4
Dallas,3524,12.85%,5404,19.70%,12572,45.84%,5925,21.60%,27425,3
Dawson,323,20.42%,266,16.81%,418,26.42%,575,36.35%,1582,4
Deaf Smith,46,6.70%,144,20.96%,212,30.86%,285,41.48%,687,4
Delta,118,7.40%,291,18.26%,605,37.95%,580,36.39%,1594,3
Denton,273,6.36%,1036,24.12%,1687,39.28%,1299,30.24%,4295,3
DeWitt,249,9.83%,599,23.64%,690,27.23%,996,39.31%,2534,4
Dickens,64,7.01%,170,18.62%,348,38.12%,331,36.25%,913,3
Dimmit,53,9.67%,129,23.54%,127,23.18%,239,43.61%,548,4
Donley,52,5.76%,211,23.37%,265,29.35%,375,41.53%,903,4
Duval,11,0.68%,1506,93.14%,35,2.16%,65,4.02%,1617,2
Eastland,397,9.96%,1143,28.68%,1016,25.49%,1430,35.88%,3986,4
Ector,118,13.85%,285,33.45%,259,30.40%,190,22.30%,852,2
Edwards,61,13.12%,151,32.47%,93,20.00%,160,34.41%,465,4
Ellis,883,14.87%,1429,24.06%,1751,29.48%,1877,31.60%,5940,4
El Paso,630,14.72%,2588,60.47%,555,12.97%,507,11.85%,4280,2
Erath,255,8.64%,692,23.44%,895,30.32%,1110,37.60%,2952,4
Falls,118,4.04%,845,28.94%,851,29.14%,1106,37.88%,2920,4
Fannin,320,6.22%,1126,21.87%,1343,26.09%,2359,45.82%,5148,4
Fayette,204,5.38%,953,25.11%,984,25.93%,1654,43.58%,3795,4
Fisher,105,7.16%,494,33.67%,375,25.56%,493,33.61%,1467,2
Floyd,109,8.76%,186,14.95%,382,30.71%,567,45.58%,1244,4
Foard,0,0.00%,144,27.96%,152,29.51%,219,42.52%,515,4
Fort Bend,296,11.09%,938,35.16%,450,16.87%,984,36.88%,2668,4
Franklin,47,3.97%,110,9.30%,470,39.73%,556,47.00%,1183,4
Freestone,418,19.27%,404,18.63%,686,31.63%,661,30.47%,2169,3
Frio,129,22.16%,181,31.10%,95,16.32%,177,30.41%,582,2
Gaines,66,10.48%,156,24.76%,164,26.03%,244,38.73%,630,4
Galveston,960,17.60%,2596,47.58%,654,11.99%,1246,22.84%,5456,2
Garza,131,20.63%,115,18.11%,147,23.15%,242,38.11%,635,4
Gillespie,37,1.93%,166,8.64%,916,47.66%,803,41.78%,1922,3
Glasscock,23,13.61%,44,26.04%,73,43.20%,29,17.16%,169,3
Goliad,103,17.88%,123,21.35%,157,27.26%,193,33.51%,576,4
Gonzales,362,13.89%,605,23.22%,712,27.32%,927,35.57%,2606,4
Gray,143,11.08%,227,17.58%,409,31.68%,512,39.66%,1291,4
Grayson,648,7.67%,3212,38.04%,1902,22.52%,2682,31.76%,8444,2
Gregg,702,16.20%,710,16.39%,1679,38.76%,1241,28.65%,4332,3
Grimes,125,7.98%,518,33.06%,420,26.80%,504,32.16%,1567,2
Guadalupe,177,7.89%,276,12.30%,561,25.01%,1229,54.79%,2243,4
Hale,157,7.69%,408,19.98%,700,34.28%,777,38.05%,2042,4
Hall,56,4.84%,276,23.88%,294,25.43%,530,45.85%,1156,4
Hamilton,119,6.23%,382,20.00%,664,34.76%,745,39.01%,1910,4
Hansford,17,5.50%,66,21.36%,110,35.60%,116,37.54%,309,4
Hardeman,64,6.07%,230,21.80%,408,38.67%,353,33.46%,1055,3
Hardin,1037,56.60%,187,10.21%,71,3.88%,537,29.31%,1832,1
