County,Lawson,%,O'Daniel,%,Somerville,%,Total,Winner
Anderson,23,1.45%,1561,98.55%,0,0.00%,1584,2
Andrews,3,1.16%,256,98.84%,0,0.00%,259,2
Angelina,22,2.11%,1020,97.70%,2,0.19%,1044,2
Aransas,8,5.93%,124,91.85%,3,2.22%,135,2
Archer,22,4.59%,457,95.41%,0,0.00%,479,2
Armstrong,6,2.58%,227,97.42%,0,0.00%,233,2
Atascosa,20,3.16%,612,96.84%,0,0.00%,632,2
Austin,28,3.06%,886,96.94%,0,0.00%,914,2
Bailey,11,5.70%,182,94.30%,0,0.00%,193,2
Bandera,44,4.28%,984,95.63%,1,0.10%,1029,2
Bastrop,16,2.20%,712,97.80%,0,0.00%,728,2
Baylor,1,0.27%,372,99.73%,0,0.00%,373,2
Bee,25,4.48%,532,95.34%,1,0.18%,558,2
Bell,23,1.39%,1633,98.55%,1,0.06%,1657,2
Bexar,1221,14.30%,7126,83.48%,189,2.21%,8536,2
Blanco,48,4.83%,942,94.86%,3,0.30%,993,2
Borden,0,0.00%,96,100.00%,0,0.00%,96,2
Bosque,33,3.58%,885,96.09%,3,0.33%,921,2
Bowie,24,1.71%,1379,98.22%,1,0.07%,1404,2
Brazoria,36,4.61%,739,94.62%,6,0.77%,781,2
Brazos,35,4.22%,793,95.66%,1,0.12%,829,2
Brewster,14,5.30%,249,94.32%,1,0.38%,264,2
Briscoe,1,0.43%,231,99.14%,1,0.43%,233,2
Brooks,6,2.82%,204,95.77%,3,1.41%,213,2
Brown,24,2.30%,1017,97.60%,1,0.10%,1042,2
Burleson,7,1.05%,658,98.95%,0,0.00%,665,2
Burnet,18,3.16%,550,96.66%,1,0.18%,569,2
Caldwell,15,0.63%,2352,99.37%,0,0.00%,2367,2
Calhoun,4,1.32%,298,98.35%,1,0.33%,303,2
Callahan,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Cameron,98,3.48%,2681,95.21%,37,1.31%,2816,2
Camp,4,0.75%,527,99.06%,1,0.19%,532,2
Carson,19,4.96%,362,94.52%,2,0.52%,383,2
Cass,17,1.71%,977,98.29%,0,0.00%,994,2
Castro,7,2.65%,257,97.35%,0,0.00%,264,2
Chambers,8,2.73%,285,97.27%,0,0.00%,293,2
Cherokee,30,2.17%,1352,97.76%,1,0.07%,1383,2
Childress,17,3.12%,528,96.88%,0,0.00%,545,2
Clay,17,2.11%,787,97.89%,0,0.00%,804,2
Cochran,5,2.60%,185,96.35%,2,1.04%,192,2
Coke,3,0.99%,299,99.01%,0,0.00%,302,2
Coleman,15,1.32%,1117,98.59%,1,0.09%,1133,2
Collin,50,2.44%,1999,97.56%,0,0.00%,2049,2
Collingsworth,17,3.23%,507,96.20%,3,0.57%,527,2
Colorado,31,5.07%,578,94.60%,2,0.33%,611,2
Comal,55,7.28%,697,92.20%,4,0.53%,756,2
Comanche,27,2.35%,1117,97.05%,7,0.61%,1151,2
Concho,18,4.76%,359,94.97%,1,0.26%,378,2
Cooke,52,3.62%,1380,96.17%,3,0.21%,1435,2
Coryell,27,3.35%,778,96.41%,2,0.25%,807,2
Cottle,15,5.45%,260,94.55%,0,0.00%,275,2
Crane,12,4.23%,271,95.42%,1,0.35%,284,2
Crockett,2,1.50%,130,97.74%,1,0.75%,133,2
Crosby,2,0.44%,450,99.56%,0,0.00%,452,2
Culberson,0,0.00%,81,100.00%,0,0.00%,81,2
Dallam,13,3.98%,305,93.27%,9,2.75%,327,2
Dallas,1125,10.36%,9108,83.86%,628,5.78%,10861,2
Dawson,12,2.04%,575,97.96%,0,0.00%,587,2
Deaf Smith,10,2.78%,349,96.94%,1,0.28%,360,2
Delta,6,1.13%,524,98.87%,0,0.00%,530,2
Denton,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
DeWitt,28,3.24%,834,96.64%,1,0.12%,863,2
Dickens,11,2.48%,429,96.84%,3,0.68%,443,2
Dimmit,11,4.00%,264,96.00%,0,0.00%,275,2
Donley,11,2.99%,354,96.20%,3,0.82%,368,2
Duval,0,0.00%,2126,100.00%,0,0.00%,2126,2
Eastland,49,2.63%,1810,97.05%,6,0.32%,1865,2
Ector,23,4.11%,531,94.99%,5,0.89%,559,2
Edwards,5,2.63%,184,96.84%,1,0.53%,190,2
Ellis,48,2.71%,1720,97.23%,1,0.06%,1769,2
El Paso,361,17.92%,1603,79.55%,51,2.53%,2015,2
Erath,34,2.94%,1124,97.06%,0,0.00%,1158,2
Falls,20,1.55%,1258,97.67%,10,0.78%,1288,2
Fannin,50,2.73%,1783,97.22%,1,0.05%,1834,2
Fayette,64,4.13%,1483,95.80%,1,0.06%,1548,2
Fisher,10,1.00%,991,98.71%,3,0.30%,1004,2
Floyd,14,2.43%,561,97.23%,2,0.35%,577,2
Foard,3,0.97%,303,98.38%,2,0.65%,308,2
Fort Bend,19,1.97%,944,97.93%,1,0.10%,964,2
Franklin,6,0.78%,760,99.22%,0,0.00%,766,2
Freestone,18,1.55%,1145,98.45%,0,0.00%,1163,2
Frio,8,2.50%,312,97.50%,0,0.00%,320,2
Gaines,5,1.16%,427,98.84%,0,0.00%,432,2
Galveston,265,7.74%,3106,90.77%,51,1.49%,3422,2
Garza,13,4.85%,255,95.15%,0,0.00%,268,2
Gillespie,453,19.08%,1914,80.62%,7,0.29%,2374,2
Glasscock,1,1.47%,67,98.53%,0,0.00%,68,2
Goliad,60,7.25%,767,92.63%,1,0.12%,828,2
Gonzales,15,1.60%,917,97.97%,4,0.43%,936,2
Gray,72,4.28%,1602,95.30%,7,0.42%,1681,2
Grayson,183,5.82%,2934,93.32%,27,0.86%,3144,2
Gregg,146,10.88%,1163,86.66%,33,2.46%,1342,2
Grimes,3,0.52%,569,99.48%,0,0.00%,572,2
Guadalupe,466,15.61%,2507,83.96%,13,0.44%,2986,2
Hale,24,2.39%,981,97.51%,1,0.10%,1006,2
Hall,5,0.95%,520,98.86%,1,0.19%,526,2
Hamilton,0,0.00%,730,96.69%,25,3.31%,755,2
Hansford,5,2.86%,165,94.29%,5,2.86%,175,2
Hardeman,12,2.86%,408,97.14%,0,0.00%,420,2
Hardin,9,1.46%,606,98.54%,0,0.00%,615,2
Harris,1074,3.47%,29693,95.98%,170,0.55%,30937,2
Harrison,4,0.66%,597,99.17%,1,0.17%,602,2
Hartley,1,0.59%,169,99.41%,0,0.00%,170,2
Haskell,3,0.31%,979,99.69%,0,0.00%,982,2
Hays,10,1.15%,855,98.73%,1,0.12%,866,2
Hemphill,14,5.71%,230,93.88%,1,0.41%,245,2
Henderson,42,2.90%,1403,97.03%,1,0.07%,1446,2
Hidalgo,112,3.76%,2832,95.16%,32,1.08%,2976,2
Hill,25,1.46%,1683,98.36%,3,0.18%,1711,2
Hockley,14,2.72%,500,97.28%,0,0.00%,514,2
Hood,14,3.97%,339,96.03%,0,0.00%,353,2
Hopkins,43,2.99%,1397,97.01%,0,0.00%,1440,2
Houston,12,1.09%,1088,98.91%,0,0.00%,1100,2
Howard,20,3.00%,641,96.10%,6,0.90%,667,2
Hudspeth,2,3.23%,60,96.77%,0,0.00%,62,2
Hunt,30,1.27%,2319,98.56%,4,0.17%,2353,2
Hutchinson,89,16.57%,443,82.50%,5,0.93%,537,2
Irion,2,1.02%,193,98.47%,1,0.51%,196,2
Jack,20,3.60%,534,96.22%,1,0.18%,555,2
Jackson,11,2.47%,434,97.31%,1,0.22%,446,2
Jasper,6,1.24%,477,98.76%,0,0.00%,483,2
Jeff Davis,0,0.00%,212,99.53%,1,0.47%,213,2
Jefferson,176,6.81%,2373,91.87%,34,1.32%,2583,2
Jim Hogg,17,7.05%,224,92.95%,0,0.00%,241,2
Jim Wells,15,2.44%,597,97.07%,3,0.49%,615,2
Johnson,42,3.47%,1167,96.53%,0,0.00%,1209,2
Jones,22,1.74%,1236,97.63%,8,0.63%,1266,2
Karnes,17,1.75%,953,98.25%,0,0.00%,970,2
Kaufman,36,2.23%,1579,97.65%,2,0.12%,1617,2
Kendall,257,20.69%,982,79.07%,3,0.24%,1242,2
Kenedy,1,1.04%,95,98.96%,0,0.00%,96,2
Kent,1,0.37%,268,99.63%,0,0.00%,269,2
Kerr,66,11.52%,500,87.26%,7,1.22%,573,2
Kimble,7,2.01%,341,97.99%,0,0.00%,348,2
King,0,0.00%,84,100.00%,0,0.00%,84,2
Kinney,26,13.47%,141,73.06%,26,13.47%,193,2
Kleberg,10,2.84%,332,94.32%,10,2.84%,352,2
Knox,9,1.76%,494,96.48%,9,1.76%,512,2
Lamar,19,1.19%,1562,98.12%,11,0.69%,1592,2
Lamb,15,2.85%,511,97.15%,0,0.00%,526,2
Lampasas,16,3.00%,518,97.00%,0,0.00%,534,2
La Salle,1,0.36%,280,99.64%,0,0.00%,281,2
Lavaca,31,2.43%,1240,97.18%,5,0.39%,1276,2
Lee,17,2.44%,681,97.56%,0,0.00%,698,2
Leon,12,1.94%,606,97.74%,2,0.32%,620,2
Liberty,10,0.51%,1962,99.49%,0,0.00%,1972,2
Limestone,19,1.25%,1492,98.35%,6,0.40%,1517,2
Lipscomb,48,13.41%,308,86.03%,2,0.56%,358,2
Live Oak,2,0.59%,336,99.41%,0,0.00%,338,2
Llano,9,0.98%,909,98.91%,1,0.11%,919,2
Loving,2,4.76%,40,95.24%,0,0.00%,42,2
Lubbock,81,5.79%,1310,93.57%,9,0.64%,1400,2
Lynn,7,1.57%,438,98.43%,0,0.00%,445,2
Madison,9,1.61%,550,98.39%,0,0.00%,559,2
Marion,114,3.99%,2692,94.13%,54,1.89%,2860,2
Martin,1,0.43%,229,99.57%,0,0.00%,230,2
Mason,8,2.03%,386,97.72%,1,0.25%,395,2
Matagorda,11,4.03%,262,95.97%,0,0.00%,273,2
Maverick,3,2.40%,119,95.20%,3,2.40%,125,2
McCulloch,17,5.86%,273,94.14%,0,0.00%,290,2
McLennan,19,2.82%,654,97.18%,0,0.00%,673,2
McMullen,10,4.52%,210,95.02%,1,0.45%,221,2
Medina,121,7.00%,1601,92.60%,7,0.40%,1729,2
Menard,5,1.55%,317,98.14%,1,0.31%,323,2
Midland,25,4.90%,482,94.51%,3,0.59%,510,2
Milam,38,2.52%,1466,97.21%,4,0.27%,1508,2
Mills,8,1.71%,460,98.29%,0,0.00%,468,2
Mitchell,8,1.00%,791,99.00%,0,0.00%,799,2
Montague,21,1.90%,1080,97.91%,2,0.18%,1103,2
Montgomery,21,1.74%,1185,98.26%,0,0.00%,1206,2
Moore,8,4.30%,178,95.70%,0,0.00%,186,2
Morris,7,1.80%,382,98.20%,0,0.00%,389,2
Motley,1,0.44%,225,99.56%,0,0.00%,226,2
Nacogdoches,17,1.52%,1097,98.39%,1,0.09%,1115,2
Navarro,22,0.94%,2306,98.80%,6,0.26%,2334,2
Newton,8,1.62%,484,97.98%,2,0.40%,494,2
Nolan,37,3.30%,1084,96.70%,0,0.00%,1121,2
Nueces,126,5.71%,2037,92.26%,45,2.04%,2208,2
Ochiltree,15,5.07%,279,94.26%,2,0.68%,296,2
Oldham,11,7.05%,144,92.31%,1,0.64%,156,2
Orange,12,1.82%,647,97.88%,2,0.30%,661,2
Palo Pinto,19,1.97%,945,97.83%,2,0.21%,966,2
Panola,6,0.79%,749,99.21%,0,0.00%,755,2
Parker,30,2.45%,1187,97.14%,5,0.41%,1222,2
Parmer,40,12.74%,274,87.26%,0,0.00%,314,2
Pecos,21,4.92%,406,95.08%,0,0.00%,427,2
Polk,8,1.32%,596,98.35%,2,0.33%,606,2
Potter,158,12.26%,1107,85.88%,24,1.86%,1289,2
Presidio,4,1.36%,291,98.64%,0,0.00%,295,2
Rains,3,0.85%,350,99.15%,0,0.00%,353,2
Randall,19,4.87%,366,93.85%,5,1.28%,390,2
