County,Allred,%,O'Daniel,%,Total,Winner
Anderson,3325,49.54%,3387,50.46%,6712,2
Andrews,112,34.36%,214,65.64%,326,2
Angelina,2585,37.96%,4224,62.04%,6809,2
Aransas,311,42.96%,413,57.04%,724,2
Archer,797,38.12%,1294,61.88%,2091,2
Armstrong,394,52.46%,357,47.54%,751,1
Atascosa,729,32.53%,1512,67.47%,2241,2
Austin,897,31.39%,1961,68.61%,2858,2
Bailey,290,30.27%,668,69.73%,958,2
Bandera,286,33.65%,564,66.35%,850,2
Bastrop,1306,49.60%,1327,50.40%,2633,2
Baylor,816,43.57%,1057,56.43%,1873,2
Bee,1086,44.99%,1328,55.01%,2414,2
Bell,3084,45.18%,3742,54.82%,6826,2
Bexar,11235,52.10%,10330,47.90%,21565,1
Blanco,469,46.25%,545,53.75%,1014,2
Borden,0,#DIV/0!,0,#DIV/0!,0,#N/A
Bosque,1739,42.41%,2361,57.59%,4100,2
Bowie,2112,38.35%,3395,61.65%,5507,2
Brazoria,2156,52.14%,1979,47.86%,4135,1
Brazos,2204,54.37%,1850,45.63%,4054,1
Brewster,522,67.35%,253,32.65%,775,1
Briscoe,490,44.42%,613,55.58%,1103,2
Brooks,391,63.37%,226,36.63%,617,1
Brown,2450,49.53%,2496,50.47%,4946,2
Burleson,1171,52.09%,1077,47.91%,2248,1
Burnet,1049,50.02%,1048,49.98%,2097,1
Caldwell,1506,48.27%,1614,51.73%,3120,2
Calhoun,357,36.65%,617,63.35%,974,2
Callahan,1184,45.45%,1421,54.55%,2605,2
Cameron,3313,50.44%,3255,49.56%,6568,1
Camp,529,35.17%,975,64.83%,1504,2
Carson,817,51.64%,765,48.36%,1582,1
Cass,1861,40.62%,2720,59.38%,4581,2
Castro,410,43.20%,539,56.80%,949,2
Chambers,473,46.56%,543,53.44%,1016,2
Cherokee,2044,37.63%,3388,62.37%,5432,2
Childress,1478,48.79%,1551,51.21%,3029,2
Clay,1309,39.16%,2034,60.84%,3343,2
Cochran,493,38.52%,787,61.48%,1280,2
Coke,361,42.93%,480,57.07%,841,2
Coleman,1889,42.33%,2574,57.67%,4463,2
Collin,2950,36.60%,5110,63.40%,8060,2
Collingsworth,739,33.59%,1461,66.41%,2200,2
Colorado,1013,35.72%,1823,64.28%,2836,2
Comal,1013,41.98%,1400,58.02%,2413,2
Comanche,1704,38.42%,2731,61.58%,4435,2
Concho,558,47.41%,619,52.59%,1177,2
Cooke,1898,43.52%,2463,56.48%,4361,2
Coryell,1518,41.67%,2125,58.33%,3643,2
