County,Sells,%,Connally,%,Total,Winner
Anderson,79,4.79%,1571,95.21%,1650,2
Andrews,12,4.43%,259,95.57%,271,2
Angelina,81,6.00%,1270,94.00%,1351,2
Aransas,36,15.93%,190,84.07%,226,2
Archer,28,4.69%,569,95.31%,597,2
Armstrong,22,7.67%,265,92.33%,287,2
Atascosa,121,10.75%,1005,89.25%,1126,2
Austin,104,9.28%,1017,90.72%,1121,2
Bailey,72,19.05%,306,80.95%,378,2
Bandera,106,23.98%,336,76.02%,442,2
Bastrop,49,4.72%,989,95.28%,1038,2
Baylor,12,1.13%,1048,98.87%,1060,2
Bee,0,#DIV/0!,0,#DIV/0!,0,0
Bell,145,6.13%,2221,93.87%,2366,2
Bexar,5503,37.71%,9091,62.29%,14594,2
Blanco,187,15.81%,996,84.19%,1183,2
Borden,4,4.04%,95,95.96%,99,2
Bosque,64,5.50%,1100,94.50%,1164,2
Bowie,139,6.00%,2176,94.00%,2315,2
Brazoria,161,8.90%,1647,91.10%,1808,2
Brazos,43,3.06%,1360,96.94%,1403,2
Brewster,48,10.76%,398,89.24%,446,2
Briscoe,22,9.78%,203,90.22%,225,2
Brooks,13,5.35%,230,94.65%,243,2
Brown,118,6.69%,1646,93.31%,1764,2
Burleson,13,1.84%,694,98.16%,707,2
Burnet,58,8.07%,661,91.93%,719,2
Caldwell,119,8.91%,1217,91.09%,1336,2
Calhoun,32,5.59%,540,94.41%,572,2
Callahan,54,6.20%,817,93.80%,871,2
Cameron,435,14.16%,2637,85.84%,3072,2
Camp,40,3.01%,1288,96.99%,1328,2
Carson,104,13.15%,687,86.85%,791,2
Cass,73,6.29%,1088,93.71%,1161,2
Castro,55,9.53%,522,90.47%,577,2
Chambers,18,5.37%,317,94.63%,335,2
Cherokee,65,3.67%,1705,96.33%,1770,2
Childress,100,11.29%,786,88.71%,886,2
Clay,51,5.24%,922,94.76%,973,2
Cochran,25,7.74%,298,92.26%,323,2
Coke,5,1.66%,296,98.34%,301,2
Coleman,64,5.24%,1158,94.76%,1222,2
Collin,188,7.83%,2213,92.17%,2401,2
Collingsworth,70,9.37%,677,90.63%,747,2
Colorado,120,12.88%,812,87.12%,932,2
Comal,317,25.48%,927,74.52%,1244,2
Comanche,82,4.83%,1617,95.17%,1699,2
Concho,37,7.44%,460,92.56%,497,2
Cooke,155,10.51%,1320,89.49%,1475,2
Coryell,30,3.52%,823,96.48%,853,2
Cottle,59,9.19%,583,90.81%,642,2
Crane,11,6.25%,165,93.75%,176,2
Crockett,6,5.36%,106,94.64%,112,2
Crosby,24,3.15%,737,96.85%,761,2
Culberson,13,6.77%,179,93.23%,192,2
Dallam,76,15.38%,418,84.62%,494,2
Dallas,4892,29.70%,11580,70.30%,16472,2
Dawson,96,10.81%,792,89.19%,888,2
Deaf Smith,156,19.12%,660,80.88%,816,2
Delta,9,1.46%,609,98.54%,618,2
Denton,129,5.33%,2291,94.67%,2420,2
DeWitt,373,24.54%,1147,75.46%,1520,2
Dickens,26,4.21%,592,95.79%,618,2
Dimmit,55,12.94%,370,87.06%,425,2
Donley,105,13.83%,654,86.17%,759,2
Duval,7,0.17%,4150,99.83%,4157,2
Eastland,194,9.51%,1847,90.49%,2041,2
Ector,114,15.06%,643,84.94%,757,2
Edwards,20,9.30%,195,90.70%,215,2
Ellis,99,4.25%,2228,95.75%,2327,2
El Paso,502,14.69%,2916,85.31%,3418,2
Erath,140,8.80%,1451,91.20%,1591,2
Falls,0,#DIV/0!,0,#DIV/0!,0,0
Fannin,87,4.38%,1901,95.62%,1988,2
Fayette,198,9.32%,1927,90.68%,2125,2
Fisher,19,2.70%,686,97.30%,705,2
Floyd,45,6.04%,700,93.96%,745,2
Foard,14,4.12%,326,95.88%,340,2
Fort Bend,99,8.56%,1057,91.44%,1156,2
Franklin,21,2.98%,683,97.02%,704,2
Freestone,36,3.12%,1119,96.88%,1155,2
Frio,58,12.06%,423,87.94%,481,2
Gaines,19,4.60%,394,95.40%,413,2
Galveston,582,15.62%,3145,84.38%,3727,2
Garza,18,4.74%,362,95.26%,380,2
Gillespie,1327,50.38%,1307,49.62%,2634,1
Glasscock,9,9.68%,84,90.32%,93,2
Goliad,82,19.25%,344,80.75%,426,2
Gonzales,79,6.00%,1238,94.00%,1317,2
Gray,530,23.32%,1743,76.68%,2273,2
Grayson,288,7.24%,3688,92.76%,3976,2
Gregg,463,21.30%,1711,78.70%,2174,2
Grimes,21,3.13%,651,96.88%,672,2
Guadalupe,1434,30.68%,3240,69.32%,4674,2
Hale,125,9.90%,1138,90.10%,1263,2
Hall,31,3.12%,962,96.88%,993,2
Hamilton,79,7.99%,910,92.01%,989,2
Hansford,27,8.49%,291,91.51%,318,2
Hardeman,38,6.15%,580,93.85%,618,2
Hardin,34,4.39%,741,95.61%,775,2
Harris,4702,10.07%,41990,89.93%,46692,2
Harrison,0,#DIV/0!,0,#DIV/0!,0,0
Hartley,20,9.62%,188,90.38%,208,2
Haskell,29,3.22%,871,96.78%,900,2
Hays,41,4.99%,781,95.01%,822,2
Hemphill,69,14.50%,407,85.50%,476,2
Henderson,135,3.37%,3866,96.63%,4001,2
Hidalgo,624,12.05%,4553,87.95%,5177,2
Hill,82,4.52%,1734,95.48%,1816,2
Hockley,62,6.78%,853,93.22%,915,2
Hood,40,8.06%,456,91.94%,496,2
Hopkins,76,4.81%,1504,95.19%,1580,2
Houston,26,2.39%,1060,97.61%,1086,2
Howard,53,4.85%,1040,95.15%,1093,2
Hudspeth,3,2.70%,108,97.30%,111,2
Hunt,139,6.59%,1969,93.41%,2108,2
Hutchinson,340,19.19%,1432,80.81%,1772,2
Irion,11,6.18%,167,93.82%,178,2
Jack,55,8.80%,570,91.20%,625,2
Jackson,65,9.92%,590,90.08%,655,2
Jasper,16,2.15%,727,97.85%,743,2
Jeff Davis,6,5.13%,111,94.87%,117,2
Jefferson,633,6.55%,9036,93.45%,9669,2
Jim Hogg,2,0.37%,544,99.63%,546,2
Jim Wells,125,3.15%,3841,96.85%,3966,2
Johnson,133,8.58%,1418,91.42%,1551,2
Jones,57,3.78%,1449,96.22%,1506,2
Karnes,72,5.11%,1338,94.89%,1410,2
Kaufman,79,4.71%,1599,95.29%,1678,2
Kendall,610,53.00%,541,47.00%,1151,1
Kenedy,5,7.94%,58,92.06%,63,2
Kent,10,4.67%,204,95.33%,214,2
Kerr,322,35.35%,589,64.65%,911,2
Kimble,36,7.52%,443,92.48%,479,2
King,1,0.85%,117,99.15%,118,2
Kinney,64,14.22%,386,85.78%,450,2
Kleberg,45,8.29%,498,91.71%,543,2
Knox,19,2.68%,689,97.32%,708,2
Lamar,96,5.53%,1639,94.47%,1735,2
Lamb,74,5.65%,1236,94.35%,1310,2
Lampasas,33,6.13%,505,93.87%,538,2
La Salle,0,#DIV/0!,0,#DIV/0!,0,0
Lavaca,153,9.18%,1514,90.82%,1667,2
Lee,40,5.81%,649,94.19%,689,2
Leon,16,1.96%,799,98.04%,815,2
Liberty,59,6.10%,908,93.90%,967,2
Limestone,69,4.31%,1531,95.69%,1600,2
Lipscomb,99,19.41%,411,80.59%,510,2
Live Oak,78,13.66%,493,86.34%,571,2
Llano,48,6.03%,748,93.97%,796,2
Loving,6,7.06%,79,92.94%,85,2
Lubbock,304,9.86%,2780,90.14%,3084,2
Lynn,29,3.27%,858,96.73%,887,2
McCulloch,67,8.03%,767,91.97%,834,2
McLennan,316,9.23%,3109,90.77%,3425,2
McMullen,11,6.55%,157,93.45%,168,2
Madison,7,1.80%,382,98.20%,389,2
Marion,41,10.76%,340,89.24%,381,2
Martin,26,7.34%,328,92.66%,354,2
Mason,0,#DIV/0!,0,#DIV/0!,0,0
Matagorda,100,11.67%,757,88.33%,857,2
Maverick,23,8.75%,240,91.25%,263,2
Medina,578,28.87%,1424,71.13%,2002,2
Menard,39,9.97%,352,90.03%,391,2
Midland,185,25.80%,532,74.20%,717,2
Milam,81,5.93%,1285,94.07%,1366,2
Mills,24,4.96%,460,95.04%,484,2
Mitchell,32,3.86%,796,96.14%,828,2
Montague,168,5.36%,2966,94.64%,3134,2
Montgomery,25,2.34%,1042,97.66%,1067,2
Moore,25,4.80%,496,95.20%,521,2
Morris,16,2.78%,560,97.22%,576,2
Motley,12,4.00%,288,96.00%,300,2
Nacogdoches,62,5.11%,1151,94.89%,1213,2
Navarro,86,3.55%,2337,96.45%,2423,2
Newton,17,4.51%,360,95.49%,377,2
Nolan,85,8.28%,941,91.72%,1026,2
Nueces,667,10.32%,5798,89.68%,6465,2
Ochiltree,56,10.11%,498,89.89%,554,2
Oldham,24,12.18%,173,87.82%,197,2
Orange,101,2.48%,3976,97.52%,4077,2
Palo Pinto,124,10.14%,1099,89.86%,1223,2
Panola,14,1.80%,764,98.20%,778,2
Parker,101,7.07%,1327,92.93%,1428,2
Parmer,0,#DIV/0!,0,#DIV/0!,0,0
Pecos,44,10.78%,364,89.22%,408,2
Polk,22,1.86%,1158,98.14%,1180,2
Potter,832,18.70%,3617,81.30%,4449,2
Presidio,31,9.39%,299,90.61%,330,2
Rains,8,2.08%,376,97.92%,384,2
Randall,121,12.11%,878,87.89%,999,2
Reagan,16,9.36%,155,90.64%,171,2
Real,19,9.69%,177,90.31%,196,2
Red River,26,2.64%,960,97.36%,986,2
Reeves,52,10.16%,460,89.84%,512,2
Refugio,89,8.38%,973,91.62%,1062,2
Roberts,25,13.89%,155,86.11%,180,2
Robertson,26,3.35%,750,96.65%,776,2
Rockwall,12,2.37%,494,97.63%,506,2
Runnels,67,7.22%,861,92.78%,928,2
Rusk,106,4.76%,2120,95.24%,2226,2
Sabine,11,1.88%,574,98.12%,585,2
San Augustine,11,2.12%,509,97.88%,520,2
San Jacinto,9,0.99%,896,99.01%,905,2
San Patricio,103,9.56%,974,90.44%,1077,2
San Saba,28,3.69%,731,96.31%,759,2
Schleicher,15,8.57%,160,91.43%,175,2
Scurry,40,4.33%,883,95.67%,923,2
Shackelford,35,8.20%,392,91.80%,427,2
Shelby,35,2.64%,1292,97.36%,1327,2
Sherman,4,4.94%,77,95.06%,81,2
Smith,388,13.67%,2450,86.33%,2838,2
Somervell,26,10.32%,226,89.68%,252,2
Starr,15,0.76%,1967,99.24%,1982,2
Stephens,83,9.02%,837,90.98%,920,2
Sterling,7,4.09%,164,95.91%,171,2
Stonewall,18,3.47%,500,96.53%,518,2
Sutton,11,2.02%,533,97.98%,544,2
Swisher,59,9.49%,563,90.51%,622,2
Tarrant,2494,18.05%,11320,81.95%,13814,2
Taylor,128,5.08%,2392,94.92%,2520,2
Terrell,30,23.62%,97,76.38%,127,2
Terry,55,8.27%,610,91.73%,665,2
Throckmorton,4,0.64%,620,99.36%,624,2
Titus,94,2.96%,3084,97.04%,3178,2
Tom Green,215,10.37%,1859,89.63%,2074,2
Travis,529,7.04%,6986,92.96%,7515,2
Trinity,15,3.32%,437,96.68%,452,2
Tyler,24,4.25%,541,95.75%,565,2
Upshur,48,4.47%,1027,95.53%,1075,2
Upton,12,4.55%,252,95.45%,264,2
Uvalde,162,21.18%,603,78.82%,765,2
Val Verde,135,19.62%,553,80.38%,688,2
Van Zandt,82,5.67%,1363,94.33%,1445,2
Victoria,69,7.36%,869,92.64%,938,2
Walker,22,3.53%,602,96.47%,624,2
Waller,28,5.69%,464,94.31%,492,2
Ward,76,13.62%,482,86.38%,558,2
Washington,59,4.14%,1367,95.86%,1426,2
Webb,88,3.47%,2447,96.53%,2535,2
Wharton,83,6.87%,1126,93.13%,1209,2
Wheeler,131,12.98%,878,87.02%,1009,2
Wichita,369,10.89%,3019,89.11%,3388,2
Wilbarger,59,6.15%,901,93.85%,960,2
Willacy,78,14.13%,474,85.87%,552,2
Williamson,135,6.09%,2080,93.91%,2215,2
Wilson,260,16.22%,1343,83.78%,1603,2
Winkler,32,10.88%,262,89.12%,294,2
Wise,102,8.10%,1158,91.90%,1260,2
Wood,106,7.18%,1370,92.82%,1476,2
Yoakum,9,3.17%,275,96.83%,284,2
Young,62,5.34%,1099,94.66%,1161,2
Zapata,7,2.23%,307,97.77%,314,2
Zavala,51,10.10%,454,89.90%,505,2
Total,43619,11.46%,336962,88.54%,380581,
