County,Porter,%,Johnson,%,Morris,%,Total,Winner
Anderson,1741,33.51%,3394,65.32%,61,1.17%,5196,2
Andrews,133,14.60%,766,84.08%,12,1.32%,911,2
Angelina,1304,26.23%,3667,73.77%,0,0.00%,4971,2
Aransas,267,39.91%,383,57.25%,19,2.84%,669,2
Archer,267,14.80%,1523,84.42%,14,0.78%,1804,2
Armstrong,133,16.71%,658,82.66%,5,0.63%,796,2
Atascosa,168,37.42%,281,62.58%,0,0.00%,449,2
Austin,1708,60.59%,1111,39.41%,0,0.00%,2819,1
Bailey,268,19.28%,1104,79.42%,18,1.29%,1390,2
Bandera,703,62.60%,394,35.08%,26,2.32%,1123,1
Bastrop,626,17.67%,2908,82.08%,9,0.25%,3543,2
Baylor,181,11.03%,1452,88.48%,8,0.49%,1641,2
Bee,1009,42.22%,1339,56.03%,42,1.76%,2390,2
Bell,1455,16.42%,7310,82.49%,97,1.09%,8862,2
Bexar,28026,45.00%,33255,53.40%,994,1.60%,62275,2
Blanco,438,28.01%,1126,71.99%,0,0.00%,1564,2
Borden,46,20.09%,175,76.42%,8,3.49%,229,2
Bosque,568,24.00%,1799,76.00%,0,0.00%,2367,2
Bowie,2238,23.25%,7269,75.53%,117,1.22%,9624,2
Brazoria,3145,39.61%,4733,59.62%,61,0.77%,7939,2
Brazos,1772,33.15%,3559,66.57%,15,0.28%,5346,2
Brewster,341,25.89%,976,74.11%,0,0.00%,1317,2
Briscoe,149,19.58%,612,80.42%,0,0.00%,761,2
Brooks,256,19.62%,1042,79.85%,7,0.54%,1305,2
Brown,2024,32.41%,4170,66.77%,51,0.82%,6245,2
Burleson,349,14.60%,2037,85.19%,5,0.21%,2391,2
Burnet,265,11.28%,2077,88.38%,8,0.34%,2350,2
Caldwell,750,20.74%,2839,78.51%,27,0.75%,3616,2
Calhoun,427,41.86%,572,56.08%,21,2.06%,1020,2
Callahan,350,16.37%,1748,81.76%,40,1.87%,2138,2
Cameron,4513,38.38%,7201,61.24%,45,0.38%,11759,2
Camp,400,28.80%,989,71.20%,0,0.00%,1389,2
Carson,498,28.36%,1248,71.07%,10,0.57%,1756,2
Cass,896,25.53%,2568,73.16%,46,1.31%,3510,2
Castro,273,20.56%,1046,78.77%,9,0.68%,1328,2
Chambers,484,37.52%,798,61.86%,8,0.62%,1290,2
Cherokee,1637,35.51%,2973,64.49%,0,0.00%,4610,2
Childress,354,13.00%,2309,84.80%,60,2.20%,2723,2
Clay,434,17.10%,2076,81.80%,28,1.10%,2538,2
Cochran,225,19.88%,902,79.68%,5,0.44%,1132,2
