County,Stevenson,%,Johnson,%,Peddy,%,Myers,%,Clark,%,Collier,%,Davis,%,Cortez,%,Saunders,%,Sledge,%,Alford,%,Total,Winner
Anderson,2928,43.48%,1228,18.24%,2084,30.95%,120,1.78%,43,0.64%,76,1.13%,86,1.28%,19,0.28%,22,0.33%,30,0.45%,98,1.46%,6734,1
Andrews,551,48.42%,416,36.56%,57,5.01%,26,2.28%,16,1.41%,12,1.05%,13,1.14%,7,0.62%,8,0.70%,5,0.44%,27,2.37%,1138,1
Angelina,3591,39.16%,2539,27.69%,2591,28.26%,55,0.60%,152,1.66%,34,0.37%,44,0.48%,20,0.22%,66,0.72%,26,0.28%,52,0.57%,9170,1
Aransas,408,40.08%,373,36.64%,147,14.44%,23,2.26%,9,0.88%,15,1.47%,11,1.08%,10,0.98%,3,0.29%,11,1.08%,8,0.79%,1018,1
Archer,701,32.41%,1120,51.78%,215,9.94%,52,2.40%,13,0.60%,20,0.92%,17,0.79%,1,0.05%,6,0.28%,2,0.09%,16,0.74%,2163,2
Armstrong,334,47.51%,266,37.84%,87,12.38%,7,1.00%,1,0.14%,1,0.14%,3,0.43%,2,0.28%,0,0.00%,0,0.00%,2,0.28%,703,1
Atascosa,1316,39.48%,1298,38.94%,335,10.05%,44,1.32%,20,0.60%,6,0.18%,16,0.48%,270,8.10%,4,0.12%,6,0.18%,18,0.54%,3333,1
Austin,1502,49.97%,581,19.33%,756,25.15%,68,2.26%,20,0.67%,8,0.27%,19,0.63%,3,0.10%,4,0.13%,7,0.23%,38,1.26%,3006,1
Bailey,573,47.28%,400,33.00%,131,10.81%,28,2.31%,15,1.24%,16,1.32%,24,1.98%,3,0.25%,4,0.33%,2,0.17%,16,1.32%,1212,1
Bandera,706,69.97%,156,15.46%,119,11.79%,6,0.59%,3,0.30%,3,0.30%,3,0.30%,4,0.40%,4,0.40%,4,0.40%,1,0.10%,1009,1
Bastrop,911,21.82%,2797,66.98%,286,6.85%,24,0.57%,11,0.26%,9,0.22%,8,0.19%,8,0.19%,8,0.19%,88,2.11%,26,0.62%,4176,2
Baylor,889,42.05%,835,39.50%,291,13.77%,9,0.43%,9,0.43%,24,1.14%,12,0.57%,3,0.14%,6,0.28%,30,1.42%,6,0.28%,2114,1
Bee,1247,38.38%,1054,32.44%,667,20.53%,37,1.14%,10,0.31%,18,0.55%,16,0.49%,140,4.31%,12,0.37%,19,0.58%,29,0.89%,3249,1
Bell,4175,40.30%,3791,36.59%,1782,17.20%,170,1.64%,71,0.69%,77,0.74%,85,0.82%,39,0.38%,55,0.53%,30,0.29%,86,0.83%,10361,1
