County,Stevenson,%,Johnson,%,Total,Winner
Anderson,3171,55.30%,2563,44.70%,5734,1
Andrews,539,52.33%,491,47.67%,1030,1
Angelina,4418,54.83%,3640,45.17%,8058,1
Aransas,471,45.64%,561,54.36%,1032,2
Archer,787,39.13%,1224,60.87%,2011,2
Armstrong,256,56.51%,197,43.49%,453,1
Atascosa,1126,51.23%,1072,48.77%,2198,1
Austin,2635,69.29%,1168,30.71%,3803,1
Bailey,412,51.24%,392,48.76%,804,1
Bandera,741,74.77%,250,25.23%,991,1
Bastrop,1185,28.07%,3036,71.93%,4221,2
Baylor,832,42.78%,1113,57.22%,1945,2
Bee,1150,56.04%,902,43.96%,2052,1
Bell,3839,46.90%,4346,53.10%,8185,2
Bexar,15511,49.84%,15610,50.16%,31121,2
Blanco,296,23.83%,946,76.17%,1242,2
Borden,72,56.69%,55,43.31%,127,1
Bosque,1707,52.91%,1519,47.09%,3226,1
Bowie,4021,50.05%,4013,49.95%,8034,1
Brazoria,2373,53.77%,2040,46.23%,4413,1
Brazos,1815,42.64%,2442,57.36%,4257,2
Brewster,380,50.87%,367,49.13%,747,1
Briscoe,269,65.45%,142,34.55%,411,1
Brooks,150,25.51%,438,74.49%,588,2
Brown,3644,62.53%,2184,37.47%,5828,1
Burleson,837,39.43%,1286,60.57%,2123,2
Burnet,530,21.97%,1882,78.03%,2412,2
Caldwell,1000,27.74%,2605,72.26%,3605,2
Calhoun,287,55.51%,230,44.49%,517,1
Callahan,682,45.02%,833,54.98%,1515,2
Cameron,5204,41.70%,7276,58.30%,12480,2
Camp,1172,54.03%,997,45.97%,2169,1
Carson,467,64.33%,259,35.67%,726,1
Cass,2017,46.23%,2346,53.77%,4363,2
Castro,518,63.33%,300,36.67%,818,1
Chambers,552,59.23%,380,40.77%,932,1
Cherokee,2742,57.50%,2027,42.50%,4769,1
Childress,1390,48.87%,1454,51.13%,2844,2
Clay,809,43.64%,1045,56.36%,1854,2
Cochran,704,51.01%,676,48.99%,1380,1
Coke,534,45.33%,644,54.67%,1178,2
Coleman,1353,54.51%,1129,45.49%,2482,1
Collin,3950,55.56%,3159,44.44%,7109,1
Collingsworth,761,50.50%,746,49.50%,1507,1
Colorado,1125,57.60%,828,42.40%,1953,1
Comal,1771,60.73%,1145,39.27%,2916,1
Comanche,1806,52.27%,1649,47.73%,3455,1
Concho,504,41.62%,707,58.38%,1211,2
Cooke,1779,64.36%,985,35.64%,2764,1
Coryell,834,45.75%,989,54.25%,1823,2
Cottle,660,48.46%,702,51.54%,1362,2
Crane,510,53.68%,440,46.32%,950,1
Crockett,144,59.26%,99,40.74%,243,1
Crosby,843,35.84%,1509,64.16%,2352,2
Culberson,173,54.57%,144,45.43%,317,1
Dallam,511,53.79%,439,46.21%,950,1
Dallas,26263,59.81%,17649,40.19%,43912,1
Dawson,1614,45.08%,1966,54.92%,3580,2
Deaf Smith,680,68.34%,315,31.66%,995,1
Delta,1398,52.36%,1272,47.64%,2670,1
Denton,3397,57.73%,2487,42.27%,5884,1
DeWitt,1562,61.42%,981,38.58%,2543,1
Dickens,557,39.96%,837,60.04%,1394,2
Dimmit,646,45.78%,765,54.22%,1411,2
Donley,978,60.30%,644,39.70%,1622,1
Duval,40,0.86%,4622,99.14%,4662,2
Eastland,2645,53.31%,2317,46.69%,4962,1
Ector,1927,52.51%,1743,47.49%,3670,1
Edwards,328,62.84%,194,37.16%,522,1
Ellis,3860,56.20%,3008,43.80%,6868,1
El Paso,3129,32.70%,6439,67.30%,9568,2
Erath,2570,55.21%,2085,44.79%,4655,1
Falls,2170,52.67%,1950,47.33%,4120,1
Fannin,3945,46.85%,4475,53.15%,8420,2
Fayette,1901,48.69%,2003,51.31%,3904,2
Fisher,766,36.23%,1348,63.77%,2114,2
Floyd,1518,53.81%,1303,46.19%,2821,1
Foard,318,59.55%,216,40.45%,534,1
Fort Bend,1170,54.70%,969,45.30%,2139,1
Franklin,1114,51.38%,1054,48.62%,2168,1
