County,Daniel (R),%,Daniel (D),%,Total,Winner
Anderson,451,5.68%,7485,94.32%,7936,2
Andrews,191,13.06%,1271,86.94%,1462,2
Angelina,1444,14.10%,8796,85.90%,10240,2
Aransas,253,20.42%,986,79.58%,1239,2
Archer,175,2.21%,7758,97.79%,7933,2
Armstrong,134,14.46%,793,85.54%,927,2
Atascosa,598,14.46%,3538,85.54%,4136,2
Austin,590,13.55%,3765,86.45%,4355,2
Bailey,409,21.04%,1535,78.96%,1944,2
Bandera,469,27.43%,1241,72.57%,1710,2
Bastrop,356,8.48%,3842,91.52%,4198,2
Baylor,136,7.61%,1651,92.39%,1787,2
Bee,0,0.00%,4231,100.00%,4231,2
Bell,1356,10.94%,11043,89.06%,12399,2
Bexar,47817,45.57%,57114,54.43%,104931,2
Blanco,516,33.99%,1002,66.01%,1518,2
Borden,43,12.91%,290,87.09%,333,2
Bosque,397,11.18%,3155,88.82%,3552,2
Bowie,1336,8.39%,14579,91.61%,15915,2
Brazoria,4314,26.74%,11820,73.26%,16134,2
Brazos,1160,13.57%,7387,86.43%,8547,2
Brewster,333,21.17%,1240,78.83%,1573,2
Briscoe,152,14.00%,934,86.00%,1086,2
Brooks,282,11.77%,2114,88.23%,2396,2
Brown,1246,17.28%,5964,82.72%,7210,2
Burleson,176,5.15%,3242,94.85%,3418,2
Burnet,385,16.22%,1989,83.78%,2374,2
Caldwell,362,8.49%,3903,91.51%,4265,2
Calhoun,0,0.00%,2038,100.00%,2038,2
Callahan,370,14.23%,2231,85.77%,2601,2
Cameron,5748,27.76%,14961,72.24%,20709,2
Camp,202,9.24%,1983,90.76%,2185,2
Carson,595,24.66%,1818,75.34%,2413,2
Cass,594,11.25%,4688,88.75%,5282,2
Castro,0,0.00%,1769,100.00%,1769,2
Chambers,341,13.60%,2166,86.40%,2507,2
Cherokee,802,10.80%,6625,89.20%,7427,2
Childress,379,11.85%,2820,88.15%,3199,2
Clay,272,9.82%,2497,90.18%,2769,2
Cochran,131,8.23%,1460,91.77%,1591,2
Coke,77,6.33%,1139,93.67%,1216,2
Coleman,726,17.87%,3336,82.13%,4062,2
Collin,1824,20.44%,7098,79.56%,8922,2
Collingsworth,497,21.04%,1865,78.96%,2362,2
Colorado,765,14.82%,4397,85.18%,5162,2
Comal,1082,23.30%,3561,76.70%,4643,2
Comanche,509,12.83%,3459,87.17%,3968,2
Concho,151,11.05%,1216,88.95%,1367,2
Cooke,1136,17.53%,5346,82.47%,6482,2
Coryell,283,8.13%,3200,91.87%,3483,2
Cottle,134,11.36%,1046,88.64%,1180,2
Crane,157,12.70%,1079,87.30%,1236,2
Crockett,144,16.31%,739,83.69%,883,2
Crosby,285,13.33%,1853,86.67%,2138,2
Culberson,76,14.50%,448,85.50%,524,2
Dallam,518,21.46%,1896,78.54%,2414,2
Dallas,86163,50.25%,85298,49.75%,171461,1
Dawson,619,15.33%,3420,84.67%,4039,2
Deaf Smith,781,24.21%,2445,75.79%,3226,2
Delta,174,8.59%,1851,91.41%,2025,2
Denton,962,10.24%,8432,89.76%,9394,2
DeWitt,817,14.13%,4965,85.87%,5782,2
Dickens,124,7.28%,1579,92.72%,1703,2
Dimmit,246,17.50%,1160,82.50%,1406,2
Donley,315,16.32%,1615,83.68%,1930,2
Duval,148,3.63%,3928,96.37%,4076,2
Eastland,1098,15.88%,5817,84.12%,6915,2
Ector,2703,19.49%,11168,80.51%,13871,2
Edwards,159,20.62%,612,79.38%,771,2
Ellis,1235,14.03%,7569,85.97%,8804,2
El Paso,6673,20.63%,25667,79.37%,32340,2
Erath,879,17.21%,4229,82.79%,5108,2
Falls,463,9.96%,4185,90.04%,4648,2
Fannin,670,10.51%,5706,89.49%,6376,2
Fayette,1039,15.14%,5825,84.86%,6864,2
Fisher,172,8.93%,1755,91.07%,1927,2
Floyd,469,14.55%,2754,85.45%,3223,2
Foard,110,10.79%,909,89.21%,1019,2
Fort Bend,927,13.30%,6041,86.70%,6968,2
Franklin,148,9.77%,1367,90.23%,1515,2
Freestone,373,9.17%,3695,90.83%,4068,2
Frio,230,12.09%,1672,87.91%,1902,2
Gaines,163,7.30%,2069,92.70%,2232,2
Galveston,9761,31.20%,21524,68.80%,31285,2
Garza,195,13.75%,1223,86.25%,1418,2
Gillespie,2887,69.70%,1255,30.30%,4142,1
Glasscock,73,17.80%,337,82.20%,410,2
Goliad,387,23.63%,1251,76.37%,1638,2
Gonzales,478,10.27%,4175,89.73%,4653,2
Gray,2657,31.76%,5708,68.24%,8365,2
Grayson,2524,16.72%,12570,83.28%,15094,2
Gregg,5541,34.95%,10314,65.05%,15855,2
Grimes,358,12.84%,2430,87.16%,2788,2
Guadalupe,2754,40.43%,4057,59.57%,6811,2
Hale,1621,21.99%,5752,78.01%,7373,2
Hall,244,9.45%,2338,90.55%,2582,2
Hamilton,432,13.65%,2732,86.35%,3164,2
Hansford,485,29.90%,1137,70.10%,1622,2
Hardeman,370,14.71%,2146,85.29%,2516,2
Hardin,564,11.91%,4173,88.09%,4737,2
Harris,71567,29.87%,168064,70.13%,239631,2
Harrison,1384,15.62%,7477,84.38%,8861,2
Hartley,131,16.33%,671,83.67%,802,2
Haskell,291,8.82%,3010,91.18%,3301,2
Hays,467,12.37%,3307,87.63%,3774,2
Hemphill,326,24.31%,1015,75.69%,1341,2
Henderson,671,12.04%,4900,87.96%,5571,2
Hidalgo,7324,30.52%,16673,69.48%,23997,2
Hill,686,11.01%,5544,88.99%,6230,2
Hockley,744,15.00%,4216,85.00%,4960,2
Hood,189,9.87%,1726,90.13%,1915,2
Hopkins,541,10.16%,4783,89.84%,5324,2
Houston,452,9.51%,4301,90.49%,4753,2
Howard,809,11.58%,6176,88.42%,6985,2
Hudspeth,145,26.36%,405,73.64%,550,2
Hunt,1352,13.74%,8486,86.26%,9838,2
Hutchinson,2619,28.71%,6503,71.29%,9122,2
Irion,78,15.35%,430,84.65%,508,2
Jack,245,11.01%,1980,88.99%,2225,2
Jackson,633,17.56%,2971,82.44%,3604,2
Jasper,448,10.22%,3934,89.78%,4382,2
Jeff Davis,69,18.30%,308,81.70%,377,2
Jefferson,17811,35.04%,33016,64.96%,50827,2
Jim Hogg,70,5.24%,1267,94.76%,1337,2
Jim Wells,737,10.07%,6579,89.93%,7316,2
Johnson,1131,16.46%,5739,83.54%,6870,2
Jones,709,14.80%,4082,85.20%,4791,2
Karnes,264,6.33%,3908,93.67%,4172,2
Kaufman,893,14.04%,5467,85.96%,6360,2
Kendall,1426,66.11%,731,33.89%,2157,1
Kenedy,25,20.83%,95,79.17%,120,2
Kent,42,6.31%,624,93.69%,666,2
Kerr,1572,32.35%,3287,67.65%,4859,2
Kimble,392,26.36%,1095,73.64%,1487,2
King,14,8.75%,146,91.25%,160,2
Kinney,100,14.41%,594,85.59%,694,2
Kleberg,616,13.10%,4086,86.90%,4702,2
Knox,196,8.50%,2110,91.50%,2306,2
Lamar,942,10.61%,7934,89.39%,8876,2
Lamb,808,16.01%,4238,83.99%,5046,2
Lampasas,291,12.34%,2067,87.66%,2358,2
La Salle,144,10.98%,1167,89.02%,1311,2
Lavaca,813,12.92%,5480,87.08%,6293,2
Lee,289,11.10%,2314,88.90%,2603,2
Leon,240,8.53%,2575,91.47%,2815,2
Liberty,995,14.06%,6080,85.94%,7075,2
Limestone,1882,30.74%,4241,69.26%,6123,2
Lipscomb,480,32.94%,977,67.06%,1457,2
Live Oak,302,14.93%,1721,85.07%,2023,2
Llano,208,12.95%,1398,87.05%,1606,2
Loving,20,22.99%,67,77.01%,87,2
Lubbock,5567,21.76%,20022,78.24%,25589,2
Lynn,352,13.34%,2287,86.66%,2639,2
Madison,178,10.67%,1491,89.33%,1669,2
Marion,554,31.55%,1202,68.45%,1756,2
Martin,37,3.26%,1099,96.74%,1136,2
Mason,338,21.41%,1241,78.59%,1579,2
Matagorda,878,14.22%,5296,85.78%,6174,2
Maverick,342,19.99%,1369,80.01%,1711,2
McCulloch,466,14.94%,2653,85.06%,3119,2
McLennan,4934,17.96%,22540,82.04%,27474,2
McMullen,57,13.29%,372,86.71%,429,2
Medina,1765,36.18%,3114,63.82%,4879,2
Menard,231,20.10%,918,79.90%,1149,2
Midland,4828,44.96%,5911,55.04%,10739,2
Milam,459,8.44%,4980,91.56%,5439,2
Mills,270,15.07%,1522,84.93%,1792,2
Mitchell,379,13.52%,2425,86.48%,2804,2
Montague,622,13.72%,3911,86.28%,4533,2
Montgomery,248,4.33%,5477,95.67%,5725,2
Moore,749,20.78%,2856,79.22%,3605,2
Morris,145,6.04%,2255,93.96%,2400,2
Motley,169,16.38%,863,83.62%,1032,2
Nacogdoches,631,10.39%,5443,89.61%,6074,2
Navarro,487,6.11%,7478,93.89%,7965,2
Newton,0,0.00%,2234,100.00%,2234,2
Nolan,678,12.19%,4883,87.81%,5561,2
Nueces,9717,26.47%,26989,73.53%,36706,2
Ochiltree,733,34.59%,1386,65.41%,2119,2
Oldham,124,22.96%,416,77.04%,540,2
Orange,1869,17.90%,8570,82.10%,10439,2
Palo Pinto,874,16.91%,4296,83.09%,5170,2
Panola,358,7.53%,4399,92.47%,4757,2
Parker,1144,19.63%,4685,80.37%,5829,2
Parmer,388,18.93%,1662,81.07%,2050,2
Pecos,0,0.00%,2417,100.00%,2417,2
Polk,286,8.06%,3262,91.94%,3548,2
Potter,8271,37.32%,13890,62.68%,22161,2
Presidio,407,29.73%,962,70.27%,1369,2
Rains,88,8.97%,893,91.03%,981,2
Randall,1948,33.32%,3898,66.68%,5846,2
Reagan,143,16.18%,741,83.82%,884,2
Real,137,18.92%,587,81.08%,724,2
Red River,330,6.50%,4749,93.50%,5079,2
Reeves,334,13.52%,2137,86.48%,2471,2
Refugio,418,15.07%,2356,84.93%,2774,2
Roberts,144,33.18%,290,66.82%,434,2
Robertson,287,6.71%,3993,93.29%,4280,2
Rockwall,199,12.48%,1396,87.52%,1595,2
Runnels,559,13.67%,3530,86.33%,4089,2
Rusk,2832,27.31%,7536,72.69%,10368,2
Sabine,209,9.62%,1963,90.38%,2172,2
San Augustine,182,8.92%,1859,91.08%,2041,2
San Jacinto,175,11.89%,1297,88.11%,1472,2
San Patricio,1636,25.35%,4817,74.65%,6453,2
San Saba,193,8.82%,1994,91.18%,2187,2
Schleicher,103,10.64%,865,89.36%,968,2
Scurry,454,9.94%,4114,90.06%,4568,2
Shackelford,215,12.89%,1453,87.11%,1668,2
Shelby,204,3.65%,5382,96.35%,5586,2
Sherman,211,24.06%,666,75.94%,877,2
Smith,3603,19.18%,15183,80.82%,18786,2
Somervell,132,14.78%,761,85.22%,893,2
Starr,136,3.61%,3636,96.39%,3772,2
Stephens,449,13.76%,2815,86.24%,3264,2
Sterling,68,16.71%,339,83.29%,407,2
Stonewall,90,8.97%,913,91.03%,1003,2
Sutton,285,33.41%,568,66.59%,853,2
Swisher,733,26.37%,2047,73.63%,2780,2
Tarrant,22355,23.49%,72827,76.51%,95182,2
Taylor,3394,22.80%,11495,77.20%,14889,2
Terrell,166,25.46%,486,74.54%,652,2
Terry,372,9.82%,3416,90.18%,3788,2
