County,Beckworth,%,Daniel,%,Napier,%,Total,Winner
Anderson,1797,28.65%,4220,67.27%,256,4.08%,6273,2
Andrews,373,24.75%,1024,67.95%,110,7.30%,1507,2
Angelina,3162,29.90%,7132,67.45%,280,2.65%,10574,2
Aransas,188,19.28%,744,76.31%,43,4.41%,975,2
Archer,269,13.25%,1150,56.65%,611,30.10%,2030,2
Armstrong,80,8.99%,737,82.81%,73,8.20%,890,2
Atascosa,431,13.34%,2653,82.11%,147,4.55%,3231,2
Austin,524,14.40%,3052,83.85%,64,1.76%,3640,2
Bailey,239,13.05%,1439,78.55%,154,8.41%,1832,2
Bandera,187,12.32%,1284,84.58%,47,3.10%,1518,2
Bastrop,859,22.03%,2894,74.22%,146,3.74%,3899,2
Baylor,195,9.75%,1393,69.62%,413,20.64%,2001,2
Bee,467,12.89%,3008,83.03%,148,4.09%,3623,2
Bell,2643,21.11%,9420,75.22%,460,3.67%,12523,2
Bexar,5245,15.50%,25469,75.27%,3123,9.23%,33837,2
Blanco,87,19.59%,347,78.15%,10,2.25%,444,2
Borden,31,9.04%,285,83.09%,27,7.87%,343,2
Bosque,762,22.21%,2527,73.65%,142,4.14%,3431,2
Bowie,2776,23.65%,8495,72.38%,465,3.96%,11736,2
Brazoria,2639,21.33%,9330,75.41%,404,3.27%,12373,2
Brazos,1472,23.21%,4746,74.82%,125,1.97%,6343,2
Brewster,167,13.76%,1031,84.93%,16,1.32%,1214,2
Briscoe,63,6.36%,862,87.07%,65,6.57%,990,2
Brooks,221,16.18%,1034,75.70%,111,8.13%,1366,2
Brown,1537,22.70%,5021,74.14%,214,3.16%,6772,2
Burleson,841,24.90%,2369,70.13%,168,4.97%,3378,2
Burnet,280,11.50%,2056,84.44%,99,4.07%,2435,2
Caldwell,613,15.93%,3141,81.63%,94,2.44%,3848,2
Calhoun,142,7.43%,1728,90.42%,41,2.15%,1911,2
Callahan,658,26.15%,1639,65.14%,219,8.70%,2516,2
Cameron,1088,11.41%,7590,79.58%,860,9.02%,9538,2
Camp,1541,60.29%,996,38.97%,19,0.74%,2556,1
Carson,353,20.79%,1239,72.97%,106,6.24%,1698,2
Cass,965,20.46%,3669,77.78%,83,1.76%,4717,2
Castro,252,15.09%,1346,80.60%,72,4.31%,1670,2
Chambers,275,13.59%,1695,83.79%,53,2.62%,2023,2
Cherokee,2597,35.66%,4439,60.96%,246,3.38%,7282,2
Childress,487,14.83%,2230,67.90%,567,17.27%,3284,2
