County,Tower,%,Johnson,%,Total,Winner
Anderson,2840,41.45%,4012,58.55%,6852,2
Andrews,1163,35.70%,2095,64.30%,3258,2
Angelina,4338,37.34%,7279,62.66%,11617,2
Aransas,709,39.90%,1068,60.10%,1777,2
Archer,525,26.07%,1489,73.93%,2014,2
Armstrong,323,39.78%,489,60.22%,812,2
Atascosa,1446,34.97%,2689,65.03%,4135,2
Austin,1515,41.86%,2104,58.14%,3619,2
Bailey,1085,46.61%,1243,53.39%,2328,2
Bandera,824,54.50%,688,45.50%,1512,1
Bastrop,932,20.57%,3599,79.43%,4531,2
Baylor,531,28.26%,1348,71.74%,1879,2
Bee,1952,40.96%,2814,59.04%,4766,2
Bell,3360,22.18%,11787,77.82%,15147,2
Bexar,55543,41.83%,77249,58.17%,132792,2
Blanco,487,32.82%,997,67.18%,1484,2
Borden,122,31.12%,270,68.88%,392,2
Bosque,1303,37.18%,2202,62.82%,3505,2
Bowie,4209,28.30%,10663,71.70%,14872,2
Brazoria,9330,45.92%,10988,54.08%,20318,2
Brazos,3296,32.15%,6957,67.85%,10253,2
Brewster,574,38.19%,929,61.81%,1503,2
Briscoe,352,32.74%,723,67.26%,1075,2
Brooks,525,19.65%,2147,80.35%,2672,2
Brown,2782,37.90%,4559,62.10%,7341,2
Burleson,495,15.72%,2653,84.28%,3148,2
Burnet,891,29.64%,2115,70.36%,3006,2
Caldwell,1051,25.16%,3127,74.84%,4178,2
Calhoun,1379,37.39%,2309,62.61%,3688,2
Callahan,1023,36.71%,1764,63.29%,2787,2
Cameron,9213,39.99%,13828,60.01%,23041,2
Camp,676,29.96%,1580,70.04%,2256,2
Carson,1173,46.88%,1329,53.12%,2502,2
Cass,1689,32.34%,3533,67.66%,5222,2
Castro,607,25.67%,1758,74.33%,2365,2
Chambers,927,33.38%,1850,66.62%,2777,2
Cherokee,2739,35.09%,5067,64.91%,7806,2
Childress,1137,42.08%,1565,57.92%,2702,2
Clay,801,29.70%,1896,70.30%,2697,2
Cochran,483,28.87%,1190,71.13%,1673,2
Coke,441,32.43%,919,67.57%,1360,2
Coleman,1815,45.64%,2162,54.36%,3977,2
Collin,2586,28.41%,6516,71.59%,9102,2
Collingsworth,745,41.43%,1053,58.57%,1798,2
Colorado,1804,39.66%,2745,60.34%,4549,2
Comal,2676,54.17%,2264,45.83%,4940,1
Comanche,1361,36.39%,2379,63.61%,3740,2
Concho,365,33.73%,717,66.27%,1082,2
Cooke,2991,44.36%,3752,55.64%,6743,2
Coryell,1045,25.47%,3058,74.53%,4103,2
Cottle,232,17.16%,1120,82.84%,1352,2
Crane,580,37.98%,947,62.02%,1527,2
Crockett,466,41.61%,654,58.39%,1120,2
Crosby,614,23.25%,2027,76.75%,2641,2
Culberson,207,32.91%,422,67.09%,629,2
Dallam,758,40.51%,1113,59.49%,1871,2
Dallas,128504,56.54%,98761,43.46%,227265,1
Dawson,1590,38.42%,2549,61.58%,4139,2
Deaf Smith,1703,51.43%,1608,48.57%,3311,1
Delta,285,15.60%,1542,84.40%,1827,2
Denton,4598,41.58%,6459,58.42%,11057,2
DeWitt,2258,47.60%,2486,52.40%,4744,2
