County,Blakley,%,Gonzalez,%,Maverick,%,Tower,%,Wilson,%,Wright,%,Total,Winner
Anderson,705,25.20%,75,2.68%,374,13.37%,879,31.42%,432,15.44%,333,11.90%,2798,4
Andrews,406,29.29%,21,1.52%,103,7.43%,389,28.07%,217,15.66%,250,18.04%,1386,1
Angelina,843,17.38%,35,0.72%,1178,24.28%,1461,30.12%,353,7.28%,981,20.22%,4851,4
Aransas,174,24.82%,64,9.13%,88,12.55%,198,28.25%,106,15.12%,71,10.13%,701,4
Archer,200,22.17%,67,7.43%,50,5.54%,204,22.62%,128,14.19%,253,28.05%,902,6
Armstrong,94,27.57%,3,0.88%,6,1.76%,131,38.42%,27,7.92%,80,23.46%,341,4
Atascosa,315,16.13%,416,21.30%,182,9.32%,607,31.08%,216,11.06%,217,11.11%,1953,4
Austin,380,27.58%,45,3.27%,112,8.13%,524,38.03%,184,13.35%,133,9.65%,1378,4
Bailey,188,17.92%,15,1.43%,65,6.20%,435,41.47%,213,20.31%,133,12.68%,1049,4
Bandera,108,19.74%,23,4.20%,44,8.04%,276,50.46%,68,12.43%,28,5.12%,547,4
Bastrop,547,24.85%,114,5.18%,391,17.76%,384,17.45%,350,15.90%,415,18.86%,2201,1
Baylor,163,24.18%,21,3.12%,37,5.49%,153,22.70%,103,15.28%,197,29.23%,674,6
Bee,213,11.70%,382,20.98%,166,9.12%,654,35.91%,224,12.30%,182,9.99%,1821,4
Bell,1085,16.83%,161,2.50%,809,12.55%,1000,15.51%,876,13.59%,2517,39.04%,6448,6
Bexar,5582,8.25%,25991,38.42%,9219,13.63%,20018,29.59%,4747,7.02%,2094,3.10%,67651,2
Blanco,178,28.08%,19,3.00%,31,4.89%,211,33.28%,85,13.41%,110,17.35%,634,4
Borden,54,24.00%,7,3.11%,11,4.89%,47,20.89%,26,11.56%,80,35.56%,225,6
Bosque,498,27.36%,20,1.10%,100,5.49%,382,20.99%,206,11.32%,614,33.74%,1820,6
Bowie,2081,38.39%,85,1.57%,409,7.55%,1118,20.63%,1032,19.04%,695,12.82%,5420,1
Brazoria,937,11.07%,254,3.00%,2018,23.85%,3821,45.16%,929,10.98%,502,5.93%,8461,4
Brazos,1374,31.38%,266,6.08%,385,8.79%,1072,24.49%,819,18.71%,462,10.55%,4378,1
Brewster,114,15.77%,94,13.00%,27,3.73%,238,32.92%,197,27.25%,53,7.33%,723,4
Briscoe,62,15.05%,5,1.21%,4,0.97%,101,24.51%,50,12.14%,190,46.12%,412,6
Brooks,103,7.74%,679,51.01%,27,2.03%,185,13.90%,211,15.85%,126,9.47%,1331,2
Brown,573,18.42%,28,0.90%,235,7.56%,820,26.37%,303,9.74%,1151,37.01%,3110,6
Burleson,415,32.91%,65,5.15%,203,16.10%,114,9.04%,330,26.17%,134,10.63%,1261,1
Burnet,389,27.09%,6,0.42%,121,8.43%,299,20.82%,177,12.33%,444,30.92%,1436,6
Caldwell,499,29.20%,115,6.73%,111,6.50%,393,23.00%,315,18.43%,276,16.15%,1709,1
Calhoun,248,12.08%,372,18.12%,162,7.89%,463,22.55%,520,25.33%,288,14.03%,2053,5
Callahan,310,23.77%,11,0.84%,113,8.67%,257,19.71%,155,11.89%,458,35.12%,1304,6
Cameron,1921,20.06%,2155,22.50%,288,3.01%,3916,40.89%,764,7.98%,533,5.57%,9577,4
Camp,303,34.16%,10,1.13%,223,25.14%,156,17.59%,112,12.63%,83,9.36%,887,1
Carson,106,10.30%,8,0.78%,63,6.12%,295,28.67%,85,8.26%,472,45.87%,1029,6
Cass,844,42.50%,7,0.35%,355,17.88%,386,19.44%,249,12.54%,145,7.30%,1986,1
Castro,125,14.17%,16,1.81%,32,3.63%,195,22.11%,151,17.12%,363,41.16%,882,6
Chambers,204,23.56%,31,3.58%,100,11.55%,283,32.68%,151,17.44%,97,11.20%,866,4
Cherokee,868,28.18%,39,1.27%,305,9.90%,816,26.49%,451,14.64%,601,19.51%,3080,1
Childress,343,29.98%,9,0.79%,105,9.18%,271,23.69%,154,13.46%,262,22.90%,1144,1
Clay,294,22.77%,17,1.32%,140,10.84%,313,24.24%,206,15.96%,321,24.86%,1291,6
Cochran,189,27.47%,8,1.16%,18,2.62%,178,25.87%,157,22.82%,138,20.06%,688,1
Coke,182,31.01%,6,1.02%,29,4.94%,138,23.51%,86,14.65%,146,24.87%,587,1
Coleman,632,32.15%,10,0.51%,44,2.24%,495,25.18%,258,13.12%,527,26.81%,1966,1
Collin,1078,26.33%,27,0.66%,229,5.59%,756,18.47%,428,10.45%,1576,38.50%,4094,6
Collingsworth,157,24.01%,5,0.76%,16,2.45%,192,29.36%,125,19.11%,159,24.31%,654,4
Colorado,309,18.08%,85,4.97%,200,11.70%,749,43.83%,233,13.63%,133,7.78%,1709,4
