County,Bush,%,Yarborough,%,Carswell,%,Total,Winner
Anderson,3457,42.35%,4700,57.58%,6,0.07%,8163,2
Andrews,1784,49.69%,1795,50.00%,11,0.31%,3590,2
Angelina,6158,45.73%,7301,54.21%,8,0.06%,13467,2
Aransas,730,35.35%,1328,64.31%,7,0.34%,2065,2
Archer,614,27.81%,1593,72.15%,1,0.05%,2208,2
Armstrong,415,46.47%,477,53.42%,1,0.11%,893,2
Atascosa,1506,33.33%,3006,66.53%,6,0.13%,4518,2
Austin,1677,42.93%,2228,57.04%,1,0.03%,3906,2
Bailey,1368,53.94%,1168,46.06%,,0.00%,2536,1
Bandera,825,50.40%,809,49.42%,3,0.18%,1637,1
Bastrop,1369,27.25%,3644,72.55%,10,0.20%,5023,2
Baylor,499,28.03%,1278,71.80%,3,0.17%,1780,2
Bee,1804,37.34%,3019,62.49%,8,0.17%,4831,2
Bell,4043,23.13%,13420,76.78%,16,0.09%,17479,2
Bexar,64711,40.39%,95141,59.38%,380,0.24%,160232,2
Blanco,499,33.76%,978,66.17%,1,0.07%,1478,2
Borden,172,41.95%,238,58.05%,,0.00%,410,2
Bosque,1223,32.84%,2496,67.02%,5,0.13%,3724,2
Bowie,6746,39.00%,10408,60.17%,145,0.84%,17299,2
Brazoria,10220,42.34%,13818,57.25%,99,0.41%,24137,2
Brazos,4782,39.81%,7216,60.08%,13,0.11%,12011,2
Brewster,711,37.94%,1162,62.01%,1,0.05%,1874,2
Briscoe,411,31.66%,883,68.03%,4,0.31%,1298,2
Brooks,487,17.99%,2217,81.90%,3,0.11%,2707,2
Brown,2595,35.76%,4654,64.13%,8,0.11%,7257,2
Burleson,665,21.25%,2462,78.66%,3,0.10%,3130,2
Burnet,1095,32.33%,2290,67.61%,2,0.06%,3387,2
Caldwell,1269,27.65%,3316,72.24%,5,0.11%,4590,2
Calhoun,1401,31.83%,2998,68.12%,2,0.05%,4401,2
Callahan,1047,34.49%,1983,65.32%,6,0.20%,3036,2
Cameron,10441,40.94%,14993,58.79%,69,0.27%,25503,2
Camp,778,30.25%,1790,69.60%,4,0.16%,2572,2
Carson,1223,46.75%,1390,53.13%,3,0.11%,2616,2
Cass,2754,44.58%,3416,55.30%,7,0.11%,6177,2
Castro,813,32.72%,1668,67.12%,4,0.16%,2485,2
Chambers,1203,41.21%,1709,58.55%,7,0.24%,2919,2
Cherokee,3293,38.54%,5233,61.25%,18,0.21%,8544,2
Childress,1132,38.70%,1789,61.16%,4,0.14%,2925,2
Clay,821,27.31%,2182,72.59%,3,0.10%,3006,2
Cochran,734,41.63%,1027,58.25%,2,0.11%,1763,2
Coke,474,37.68%,783,62.24%,1,0.08%,1258,2
Coleman,1681,41.18%,2398,58.75%,3,0.07%,4082,2
Collin,3934,36.08%,6958,63.81%,12,0.11%,10904,2
Collingsworth,806,43.17%,1056,56.56%,5,0.27%,1867,2
Colorado,2176,38.98%,3402,60.95%,4,0.07%,5582,2
Comal,2849,48.88%,2970,50.95%,10,0.17%,5829,2
Comanche,1192,31.41%,2595,68.38%,8,0.21%,3795,2
Concho,399,29.42%,956,70.50%,1,0.07%,1356,2
Cooke,3490,48.45%,3708,51.47%,6,0.08%,7204,2
Coryell,1182,26.00%,3359,73.89%,5,0.11%,4546,2
Cottle,287,21.17%,1066,78.61%,3,0.22%,1356,2
Crane,721,46.49%,828,53.38%,2,0.13%,1551,2
Crockett,509,42.45%,688,57.38%,2,0.17%,1199,2
Crosby,934,32.49%,1938,67.41%,3,0.10%,2875,2
Culberson,366,46.62%,419,53.38%,,0.00%,785,2
Dallam,821,46.86%,930,53.08%,1,0.06%,1752,2
Dallas,162421,54.25%,136002,45.43%,968,0.32%,299391,1
Dawson,2270,46.85%,2568,53.00%,7,0.14%,4845,2
Deaf Smith,2037,52.41%,1834,47.18%,16,0.41%,3887,1
Delta,375,19.39%,1557,80.51%,2,0.10%,1934,2
Denton,5373,40.01%,8047,59.93%,8,0.06%,13428,2
DeWitt,2652,47.79%,2891,52.10%,6,0.11%,5549,2
Dickens,445,26.92%,1206,72.96%,2,0.12%,1653,2
Dimmit,725,43.18%,952,56.70%,2,0.12%,1679,2
Donley,813,45.60%,968,54.29%,2,0.11%,1783,2
Duval,396,8.26%,4394,91.66%,4,0.08%,4794,2
Eastland,2409,35.75%,4321,64.12%,9,0.13%,6739,2
Ector,13228,60.40%,8606,39.30%,66,0.30%,21900,1
Edwards,420,59.41%,284,40.17%,3,0.42%,707,1
El Paso,23936,43.07%,31429,56.55%,215,0.39%,55580,2
Ellis,3445,34.19%,6620,65.69%,12,0.12%,10077,2
Erath,1891,34.35%,3604,65.47%,10,0.18%,5505,2
Falls,1411,27.40%,3739,72.60%,,0.00%,5150,2
Fannin,1446,20.12%,5740,79.87%,1,0.01%,7187,2
Fayette,2273,39.60%,3461,60.30%,6,0.10%,5740,2
Fisher,552,21.58%,2002,78.26%,4,0.16%,2558,2
Floyd,1611,43.92%,2056,56.05%,1,0.03%,3668,2
Foard,181,18.56%,794,81.44%,,0.00%,975,2
Fort Bend,4036,41.93%,5564,57.81%,25,0.26%,9625,2
Franklin,479,24.92%,1443,75.08%,,0.00%,1922,2
Freestone,1163,29.86%,2728,70.04%,4,0.10%,3895,2
Frio,727,34.00%,1406,65.76%,5,0.23%,2138,2
Gaines,1589,50.08%,1579,49.76%,5,0.16%,3173,1
Galveston,15136,35.80%,27002,63.86%,146,0.35%,42284,2
Garza,800,44.30%,1001,55.43%,5,0.28%,1806,2
Gillespie,2199,55.70%,1748,44.28%,1,0.03%,3948,1
Glasscock,214,57.99%,155,42.01%,,0.00%,369,1
Goliad,601,39.10%,933,60.70%,3,0.20%,1537,2
Gonzales,1603,35.16%,2953,64.77%,3,0.07%,4559,2
Gray,5820,64.52%,3194,35.41%,7,0.08%,9021,1
Grayson,6502,33.41%,12953,66.55%,9,0.05%,19464,2
Gregg,12272,61.46%,7607,38.10%,88,0.44%,19967,1
Grimes,1127,34.95%,2093,64.90%,5,0.16%,3225,2
Guadalupe,3336,45.76%,3948,54.16%,6,0.08%,7290,2
Hale,4917,51.46%,4619,48.34%,19,0.20%,9555,1
Hall,801,32.60%,1655,67.36%,1,0.04%,2457,2
Hamilton,1301,42.52%,1758,57.45%,1,0.03%,3060,2
Hansford,1365,66.49%,685,33.37%,3,0.15%,2053,1
Hardeman,935,36.88%,1597,63.00%,3,0.12%,2535,2
Hardin,2077,29.11%,5045,70.70%,14,0.20%,7136,2
Harris,179900,47.47%,198112,52.27%,971,0.26%,378983,2
Harrison,5759,48.42%,6126,51.50%,9,0.08%,11894,2
Hartley,499,49.75%,501,49.95%,3,0.30%,1003,2
Haskell,688,20.16%,2722,79.75%,3,0.09%,3413,2
Hays,1620,32.10%,3421,67.80%,5,0.10%,5046,2
Hemphill,633,52.66%,568,47.25%,1,0.08%,1202,1
Henderson,2142,32.08%,4522,67.73%,13,0.19%,6677,2
Hidalgo,12939,39.08%,20097,60.70%,74,0.22%,33110,2
Hill,1944,29.10%,4729,70.79%,7,0.10%,6680,2
Hockley,2472,43.21%,3239,56.62%,10,0.17%,5721,2
Hood,510,25.88%,1458,73.97%,3,0.15%,1971,2
Hopkins,1936,34.46%,3680,65.50%,2,0.04%,5618,2
Houston,1768,33.66%,3480,66.26%,4,0.08%,5252,2
Howard,3636,38.86%,5713,61.06%,7,0.07%,9356,2
Hudspeth,258,39.21%,399,60.64%,1,0.15%,658,2
