County,Bush,%,Bentsen,%,Total,Winner
Anderson,2537,41.66%,3553,58.34%,6090,2
Andrews,1123,45.86%,1326,54.14%,2449,2
Angelina,3616,35.03%,6706,64.97%,10322,2
Aransas,754,44.22%,951,55.78%,1705,2
Archer,435,24.33%,1353,75.67%,1788,2
Armstrong,342,45.54%,409,54.46%,751,2
Atascosa,1119,32.14%,2363,67.86%,3482,2
Austin,1675,50.19%,1662,49.81%,3337,1
Bailey,854,48.14%,920,51.86%,1774,2
Bandera,701,41.53%,987,58.47%,1688,2
Bastrop,1203,33.17%,2424,66.83%,3627,2
Baylor,442,25.29%,1306,74.71%,1748,2
Bee,1724,39.31%,2662,60.69%,4386,2
Bell,4506,32.16%,9504,67.84%,14010,2
Bexar,57449,41.08%,82408,58.92%,139857,2
Blanco,430,39.74%,652,60.26%,1082,2
Borden,124,38.39%,199,61.61%,323,2
Bosque,1015,33.63%,2003,66.37%,3018,2
Bowie,4418,37.72%,7295,62.28%,11713,2
Brazoria,11289,48.41%,12031,51.59%,23320,2
Brazos,6076,54.09%,5158,45.91%,11234,1
Brewster,687,41.06%,986,58.94%,1673,2
Briscoe,217,27.43%,574,72.57%,791,2
Brooks,556,22.41%,1925,77.59%,2481,2
Brown,2049,37.92%,3355,62.08%,5404,2
Burleson,585,23.69%,1884,76.31%,2469,2
Burnet,1406,41.81%,1957,58.19%,3363,2
Caldwell,1113,32.13%,2351,67.87%,3464,2
Calhoun,1375,39.81%,2079,60.19%,3454,2
Callahan,638,29.12%,1553,70.88%,2191,2
Cameron,9408,41.79%,13102,58.21%,22510,2
Camp,598,29.43%,1434,70.57%,2032,2
Carson,924,43.40%,1205,56.60%,2129,2
Cass,1480,30.04%,3447,69.96%,4927,2
Castro,705,35.21%,1297,64.79%,2002,2
Chambers,1029,41.80%,1433,58.20%,2462,2
Cherokee,2042,33.28%,4093,66.72%,6135,2
Childress,729,33.55%,1444,66.45%,2173,2
Clay,732,29.14%,1780,70.86%,2512,2
Cochran,380,36.57%,659,63.43%,1039,2
Coke,227,24.86%,686,75.14%,913,2
Coleman,830,32.33%,1737,67.67%,2567,2
Collin,5426,42.97%,7202,57.03%,12628,2
Collingsworth,476,34.59%,900,65.41%,1376,2
Colorado,1774,48.51%,1883,51.49%,3657,2
Comal,2884,54.29%,2428,45.71%,5312,1
Comanche,917,29.32%,2211,70.68%,3128,2
Concho,220,27.88%,569,72.12%,789,2
Cooke,2442,44.06%,3100,55.94%,5542,2
Coryell,1190,26.06%,3376,73.94%,4566,2
Cottle,225,19.43%,933,80.57%,1158,2
Crane,489,43.47%,636,56.53%,1125,2
Crockett,306,37.64%,507,62.36%,813,2
Crosby,519,25.73%,1498,74.27%,2017,2
Culberson,272,40.54%,399,59.46%,671,2
Dallam,620,44.29%,780,55.71%,1400,2
Dallas,143393,55.05%,117076,44.95%,260469,1
Dawson,1419,43.63%,1833,56.37%,3252,2
Deaf Smith,1549,47.72%,1697,52.28%,3246,2
Delta,253,18.70%,1100,81.30%,1353,2
Denton,6898,48.66%,7279,51.34%,14177,2
DeWitt,1790,47.17%,2005,52.83%,3795,2
Dickens,260,21.59%,944,78.41%,1204,2
Dimmit,535,30.98%,1192,69.02%,1727,2
Donley,552,40.15%,823,59.85%,1375,2
Duval,269,7.26%,3435,92.74%,3704,2
Eastland,1556,33.22%,3128,66.78%,4684,2
Ector,8471,53.63%,7323,46.37%,15794,1
Edwards,198,44.80%,244,55.20%,442,2
El Paso,21948,44.72%,27131,55.28%,49079,2
Ellis,2843,34.26%,5456,65.74%,8299,2
Erath,1675,37.12%,2838,62.88%,4513,2
Falls,919,28.10%,2352,71.90%,3271,2
Fannin,1160,23.17%,3847,76.83%,5007,2
