County,Hutchison,%,Fisher,%,Total,Winner
Anderson,2932,66.91%,1450,33.09%,4382,1
Andrews,832,85.25%,144,14.75%,976,1
Angelina,5929,60.21%,3919,39.79%,9848,1
Aransas,1710,71.70%,675,28.30%,2385,1
Archer,684,69.65%,298,30.35%,982,1
Armstrong,293,78.76%,79,21.24%,372,1
Atascosa,1882,72.08%,729,27.92%,2611,1
Austin,1889,78.03%,532,21.97%,2421,1
Bailey,580,78.80%,156,21.20%,736,1
Bandera,1625,80.01%,406,19.99%,2031,1
Bastrop,2336,64.09%,1309,35.91%,3645,1
Baylor,331,61.64%,206,38.36%,537,1
Bee,1569,66.97%,774,33.03%,2343,1
Bell,11052,70.10%,4713,29.90%,15765,1
Bexar,79295,60.85%,51014,39.15%,130309,1
Blanco,818,75.95%,259,24.05%,1077,1
Borden,136,77.71%,39,22.29%,175,1
Bosque,1393,63.29%,808,36.71%,2201,1
Bowie,5762,68.80%,2613,31.20%,8375,1
Brazoria,13448,73.80%,4775,26.20%,18223,1
Brazos,8904,71.23%,3597,28.77%,12501,1
Brewster,648,67.92%,306,32.08%,954,1
Briscoe,231,67.15%,113,32.85%,344,1
Brooks,185,27.41%,490,72.59%,675,2
Brown,2579,67.34%,1251,32.66%,3830,1
Burleson,982,57.83%,716,42.17%,1698,1
Burnet,2404,71.53%,957,28.47%,3361,1
Caldwell,1458,62.12%,889,37.88%,2347,1
Calhoun,1288,64.69%,703,35.31%,1991,1
Callahan,1052,71.47%,420,28.53%,1472,1
Cameron,9158,61.41%,5756,38.59%,14914,1
Camp,783,63.04%,459,36.96%,1242,1
Carson,810,78.56%,221,21.44%,1031,1
Cass,2084,61.37%,1312,38.63%,3396,1
Castro,602,68.96%,271,31.04%,873,1
Chambers,1395,71.98%,543,28.02%,1938,1
Cherokee,3140,73.35%,1141,26.65%,4281,1
Childress,476,69.79%,206,30.21%,682,1
Clay,858,65.15%,459,34.85%,1317,1
Cochran,350,72.16%,135,27.84%,485,1
Coke,329,58.96%,229,41.04%,558,1
Coleman,837,69.58%,366,30.42%,1203,1
Collin,28680,84.02%,5455,15.98%,34135,1
Collingsworth,358,72.91%,133,27.09%,491,1
Colorado,1656,72.60%,625,27.40%,2281,1
Comal,6719,68.15%,3140,31.85%,9859,1
Comanche,951,62.48%,571,37.52%,1522,1
Concho,289,63.94%,163,36.06%,452,1
Cooke,2995,82.10%,653,17.90%,3648,1
Coryell,2213,73.30%,806,26.70%,3019,1
Cottle,149,51.92%,138,48.08%,287,1
Crane,545,84.89%,97,15.11%,642,1
Crockett,344,71.22%,139,28.78%,483,1
Crosby,443,67.02%,218,32.98%,661,1
Culberson,117,73.13%,43,26.88%,160,1
Dallam,399,81.26%,92,18.74%,491,1
Dallas,126886,68.28%,58955,31.72%,185841,1
Dawson,1246,83.85%,240,16.15%,1486,1
Deaf Smith,1442,84.13%,272,15.87%,1714,1
Delta,372,58.13%,268,41.88%,640,1
Denton,19399,78.25%,5391,21.75%,24790,1
DeWitt,1620,78.37%,447,21.63%,2067,1
Dickens,210,56.76%,160,43.24%,370,1
Dimmit,436,35.83%,781,64.17%,1217,2
Donley,401,74.95%,134,25.05%,535,1
Duval,292,19.21%,1228,80.79%,1520,2
Eastland,1591,69.08%,712,30.92%,2303,1
Ector,7564,80.22%,1865,19.78%,9429,1
Edwards,221,71.52%,88,28.48%,309,1
Ellis,5674,73.06%,2092,26.94%,7766,1
El Paso,27798,53.21%,24442,46.79%,52240,1
Erath,1741,67.82%,826,32.18%,2567,1
Falls,1022,55.66%,814,44.34%,1836,1
Fannin,1500,60.22%,991,39.78%,2491,1
Fayette,2152,70.60%,896,29.40%,3048,1
Fisher,289,46.39%,334,53.61%,623,2
Floyd,754,76.63%,230,23.37%,984,1
Foard,71,40.57%,104,59.43%,175,2
Fort Bend,18805,77.46%,5473,22.54%,24278,1
Franklin,630,67.16%,308,32.84%,938,1
Freestone,1280,66.05%,658,33.95%,1938,1
Frio,658,58.65%,464,41.35%,1122,1
Gaines,875,85.70%,146,14.30%,1021,1
Galveston,15681,63.50%,9014,36.50%,24695,1
Garza,418,70.61%,174,29.39%,592,1
Gillespie,3169,82.87%,655,17.13%,3824,1
Glasscock,195,87.84%,27,12.16%,222,1
Goliad,689,76.30%,214,23.70%,903,1
Gonzales,1343,74.57%,458,25.43%,1801,1
Gray,2752,84.18%,517,15.82%,3269,1
Grayson,8003,71.94%,3122,28.06%,11125,1
Gregg,10208,77.79%,2915,22.21%,13123,1
Grimes,1129,65.95%,583,34.05%,1712,1
Guadalupe,5807,74.68%,1969,25.32%,7776,1
Hale,2480,82.86%,513,17.14%,2993,1
Hall,314,62.30%,190,37.70%,504,1
Hamilton,753,68.08%,353,31.92%,1106,1
Hansford,772,92.57%,62,7.43%,834,1
