County,Hutchinson,%,Krueger,%,Barton,%,Fields,%,Fisher,%,Gutierrez,%,Brown,%,Davis,%,Draheim,%,Floyd,%,Hancock,%,Henson,%,Hopkins,%,Howell,%,Kelly,%,Payne,%,Richardson,%,Sibley,%,Spink,%,Spiro,%,Stewart,%,Vallaster,%,Wright,%,Zaeske,%,Total,Winner
Anderson,1737,30.50%,1728,30.34%,882,15.49%,480,8.43%,590,10.36%,43,0.76%,9,0.16%,2,0.04%,7,0.12%,2,0.04%,2,0.04%,10,0.18%,36,0.63%,24,0.42%,100,1.76%,2,0.04%,20,0.35%,3,0.05%,3,0.05%,2,0.04%,2,0.04%,1,0.02%,9,0.16%,1,0.02%,5695,1
Andrews,312,23.30%,199,14.86%,427,31.89%,232,17.33%,110,8.22%,11,0.82%,1,0.07%,0,0.00%,1,0.07%,0,0.00%,0,0.00%,1,0.07%,17,1.27%,13,0.97%,0,0.00%,5,0.37%,1,0.07%,2,0.15%,0,0.00%,1,0.07%,0,0.00%,1,0.07%,4,0.30%,1,0.07%,1339,3
Angelina,2399,25.08%,3629,37.93%,1054,11.02%,1445,15.10%,736,7.69%,47,0.49%,15,0.16%,3,0.03%,10,0.10%,17,0.18%,1,0.01%,12,0.13%,27,0.28%,13,0.14%,46,0.48%,39,0.41%,20,0.21%,28,0.29%,4,0.04%,2,0.02%,2,0.02%,5,0.05%,7,0.07%,6,0.06%,9567,2
Aransas,1181,46.57%,695,27.41%,73,2.88%,274,10.80%,205,8.08%,34,1.34%,3,0.12%,2,0.08%,5,0.20%,1,0.04%,4,0.16%,3,0.12%,5,0.20%,13,0.51%,11,0.43%,2,0.08%,6,0.24%,2,0.08%,3,0.12%,8,0.32%,0,0.00%,4,0.16%,1,0.04%,1,0.04%,2536,1
Archer,261,24.62%,362,34.15%,119,11.23%,54,5.09%,209,19.72%,7,0.66%,1,0.09%,0,0.00%,1,0.09%,0,0.00%,0,0.00%,0,0.00%,10,0.94%,12,1.13%,7,0.66%,2,0.19%,7,0.66%,1,0.09%,2,0.19%,3,0.28%,0,0.00%,1,0.09%,0,0.00%,1,0.09%,1060,2
Armstrong,165,30.05%,125,22.77%,57,10.38%,152,27.69%,31,5.65%,2,0.36%,0,0.00%,0,0.00%,2,0.36%,0,0.00%,1,0.18%,0,0.00%,3,0.55%,2,0.36%,3,0.55%,0,0.00%,1,0.18%,0,0.00%,0,0.00%,0,0.00%,1,0.18%,0,0.00%,2,0.36%,2,0.36%,549,1
Atascosa,960,23.96%,1101,27.48%,345,8.61%,1108,27.66%,233,5.82%,126,3.15%,5,0.12%,1,0.02%,5,0.12%,2,0.05%,3,0.07%,6,0.15%,26,0.65%,8,0.20%,27,0.67%,10,0.25%,15,0.37%,4,0.10%,2,0.05%,1,0.02%,2,0.05%,7,0.17%,7,0.17%,2,0.05%,4006,4
Austin,673,19.56%,690,20.06%,286,8.31%,1433,41.66%,229,6.66%,15,0.44%,3,0.09%,11,0.32%,1,0.03%,0,0.00%,1,0.03%,9,0.26%,19,0.55%,3,0.09%,4,0.12%,20,0.58%,4,0.12%,2,0.06%,0,0.00%,2,0.06%,2,0.06%,1,0.03%,28,0.81%,4,0.12%,3440,4
Bailey,283,30.66%,194,21.02%,195,21.13%,132,14.30%,34,3.68%,55,5.96%,0,0.00%,0,0.00%,3,0.33%,0,0.00%,1,0.11%,1,0.11%,8,0.87%,1,0.11%,7,0.76%,1,0.11%,7,0.76%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.11%,0,0.00%,0,0.00%,923,1
Bandera,670,28.39%,479,20.30%,200,8.47%,782,33.14%,143,6.06%,8,0.34%,0,0.00%,4,0.17%,19,0.81%,0,0.00%,2,0.08%,1,0.04%,31,1.31%,4,0.17%,2,0.08%,5,0.21%,3,0.13%,0,0.00%,0,0.00%,4,0.17%,0,0.00%,1,0.04%,2,0.08%,0,0.00%,2360,4
Bastrop,1196,26.11%,1694,36.98%,388,8.47%,639,13.95%,372,8.12%,103,2.25%,5,0.11%,7,0.15%,30,0.65%,3,0.07%,6,0.13%,4,0.09%,36,0.79%,10,0.22%,28,0.61%,5,0.11%,18,0.39%,15,0.33%,8,0.17%,3,0.07%,2,0.04%,2,0.04%,6,0.13%,1,0.02%,4581,2
Baylor,239,31.87%,300,40.00%,20,2.67%,19,2.53%,138,18.40%,1,0.13%,1,0.13%,0,0.00%,1,0.13%,1,0.13%,0,0.00%,0,0.00%,3,0.40%,5,0.67%,6,0.80%,4,0.53%,2,0.27%,1,0.13%,1,0.13%,3,0.40%,0,0.00%,3,0.40%,2,0.27%,0,0.00%,750,2
Bee,1034,42.15%,760,30.98%,146,5.95%,320,13.05%,74,3.02%,59,2.41%,1,0.04%,1,0.04%,2,0.08%,3,0.12%,3,0.12%,3,0.12%,7,0.29%,7,0.29%,13,0.53%,1,0.04%,3,0.12%,1,0.04%,0,0.00%,2,0.08%,3,0.12%,6,0.24%,2,0.08%,2,0.08%,2453,1
Bell,4747,28.49%,4680,28.09%,3467,20.81%,1617,9.70%,1203,7.22%,189,1.13%,27,0.16%,31,0.19%,128,0.77%,18,0.11%,23,0.14%,16,0.10%,33,0.20%,22,0.13%,226,1.36%,24,0.14%,50,0.30%,68,0.41%,21,0.13%,10,0.06%,13,0.08%,15,0.09%,31,0.19%,3,0.02%,16662,1
Bexar,35008,25.57%,47810,34.92%,13343,9.74%,20822,15.21%,7583,5.54%,4896,3.58%,225,0.16%,125,0.09%,261,0.19%,164,0.12%,208,0.15%,106,0.08%,1762,1.29%,148,0.11%,1507,1.10%,400,0.29%,327,0.24%,126,0.09%,97,0.07%,1017,0.74%,83,0.06%,97,0.07%,502,0.37%,307,0.22%,136924,2
Blanco,419,33.15%,316,25.00%,132,10.44%,267,21.12%,78,6.17%,11,0.87%,1,0.08%,0,0.00%,7,0.55%,0,0.00%,2,0.16%,2,0.16%,7,0.55%,1,0.08%,10,0.79%,1,0.08%,3,0.24%,1,0.08%,0,0.00%,2,0.16%,1,0.08%,0,0.00%,1,0.08%,2,0.16%,1264,1
Borden,68,31.78%,54,25.23%,30,14.02%,46,21.50%,8,3.74%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,1.40%,0,0.00%,1,0.47%,0,0.00%,0,0.00%,2,0.93%,2,0.93%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,214,1
Bosque,706,24.45%,958,33.17%,532,18.42%,281,9.73%,322,11.15%,18,0.62%,2,0.07%,3,0.10%,3,0.10%,0,0.00%,1,0.03%,1,0.03%,6,0.21%,0,0.00%,16,0.55%,4,0.14%,10,0.35%,14,0.48%,1,0.03%,1,0.03%,3,0.10%,2,0.07%,4,0.14%,0,0.00%,2888,2
Bowie,2583,30.93%,2541,30.43%,694,8.31%,444,5.32%,1432,17.15%,20,0.24%,3,0.04%,4,0.05%,16,0.19%,11,0.13%,11,0.13%,10,0.12%,77,0.92%,246,2.95%,79,0.95%,88,1.05%,30,0.36%,1,0.01%,6,0.07%,6,0.07%,17,0.20%,0,0.00%,16,0.19%,15,0.18%,8350,1
Brazoria,5647,25.55%,5225,23.64%,2679,12.12%,5350,24.20%,1948,8.81%,323,1.46%,24,0.11%,43,0.19%,91,0.41%,7,0.03%,79,0.36%,30,0.14%,69,0.31%,25,0.11%,52,0.24%,214,0.97%,68,0.31%,4,0.02%,26,0.12%,9,0.04%,13,0.06%,13,0.06%,148,0.67%,18,0.08%,22105,1
Brazos,3129,22.80%,3529,25.72%,3616,26.35%,2437,17.76%,634,4.62%,162,1.18%,1,0.01%,19,0.14%,28,0.20%,10,0.07%,3,0.02%,4,0.03%,28,0.20%,0,0.00%,10,0.07%,6,0.04%,10,0.07%,3,0.02%,3,0.02%,5,0.04%,14,0.10%,0,0.00%,9,0.07%,63,0.46%,13723,3
Brewster,407,29.77%,390,28.53%,92,6.73%,185,13.53%,64,4.68%,117,8.56%,3,0.22%,2,0.15%,12,0.88%,3,0.22%,4,0.29%,2,0.15%,13,0.95%,7,0.51%,15,1.10%,9,0.66%,17,1.24%,12,0.88%,1,0.07%,2,0.15%,0,0.00%,3,0.22%,6,0.44%,1,0.07%,1367,1
Briscoe,114,25.85%,161,36.51%,50,11.34%,75,17.01%,13,2.95%,4,0.91%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,7,1.59%,2,0.45%,9,2.04%,2,0.45%,2,0.45%,1,0.23%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.23%,0,0.00%,441,2
Brooks,122,11.54%,632,59.79%,21,1.99%,49,4.64%,39,3.69%,176,16.65%,1,0.09%,2,0.19%,1,0.09%,0,0.00%,0,0.00%,0,0.00%,2,0.19%,4,0.38%,2,0.19%,1,0.09%,2,0.19%,0,0.00%,1,0.09%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,0.19%,1057,2
Brown,1496,33.57%,1386,31.10%,337,7.56%,648,14.54%,430,9.65%,45,1.01%,10,0.22%,4,0.09%,2,0.04%,3,0.07%,2,0.04%,4,0.09%,8,0.18%,5,0.11%,28,0.63%,16,0.36%,16,0.36%,5,0.11%,3,0.07%,0,0.00%,2,0.04%,0,0.00%,7,0.16%,0,0.00%,4457,1
Burleson,368,17.13%,835,38.87%,294,13.69%,419,19.51%,137,6.38%,24,1.12%,3,0.14%,1,0.05%,1,0.05%,4,0.19%,1,0.05%,5,0.23%,6,0.28%,1,0.05%,18,0.84%,5,0.23%,4,0.19%,1,0.05%,0,0.00%,4,0.19%,0,0.00%,2,0.09%,0,0.00%,15,0.70%,2148,2
Burnet,1577,34.64%,1337,29.37%,255,5.60%,746,16.39%,434,9.53%,37,0.81%,2,0.04%,7,0.15%,9,0.20%,5,0.11%,1,0.02%,6,0.13%,41,0.90%,7,0.15%,43,0.94%,4,0.09%,13,0.29%,5,0.11%,2,0.04%,4,0.09%,3,0.07%,9,0.20%,0,0.00%,5,0.11%,4552,1
Caldwell,781,24.83%,1308,41.58%,210,6.68%,417,13.25%,178,5.66%,133,4.23%,4,0.13%,8,0.25%,5,0.16%,0,0.00%,3,0.10%,0,0.00%,11,0.35%,4,0.13%,39,1.24%,9,0.29%,16,0.51%,9,0.29%,1,0.03%,1,0.03%,1,0.03%,0,0.00%,1,0.03%,7,0.22%,3146,2
Calhoun,669,25.82%,822,31.73%,159,6.14%,560,21.61%,163,6.29%,109,4.21%,6,0.23%,1,0.04%,5,0.19%,2,0.08%,1,0.04%,5,0.19%,6,0.23%,5,0.19%,55,2.12%,1,0.04%,8,0.31%,2,0.08%,4,0.15%,5,0.19%,2,0.08%,1,0.04%,0,0.00%,0,0.00%,2591,2
Callahan,622,28.09%,587,26.51%,102,4.61%,553,24.98%,277,12.51%,9,0.41%,2,0.09%,1,0.05%,6,0.27%,0,0.00%,1,0.05%,2,0.09%,5,0.23%,0,0.00%,11,0.50%,9,0.41%,7,0.32%,3,0.14%,0,0.00%,5,0.23%,0,0.00%,0,0.00%,10,0.45%,2,0.09%,2214,1
Cameron,6150,31.05%,6778,34.22%,960,4.85%,238,1.20%,1558,7.87%,2045,10.32%,36,0.18%,10,0.05%,108,0.55%,83,0.42%,90,0.45%,402,2.03%,155,0.78%,54,0.27%,308,1.55%,52,0.26%,92,0.46%,151,0.76%,25,0.13%,140,0.71%,19,0.10%,39,0.20%,286,1.44%,29,0.15%,19808,2
Camp,360,27.48%,431,32.90%,222,16.95%,80,6.11%,191,14.58%,1,0.08%,3,0.23%,1,0.08%,0,0.00%,0,0.00%,0,0.00%,3,0.23%,2,0.15%,3,0.23%,3,0.23%,2,0.15%,0,0.00%,0,0.00%,1,0.08%,3,0.23%,2,0.15%,2,0.15%,0,0.00%,0,0.00%,1310,2
