County,Hutchison,%,Fisher,%,Blondeau,%,Total,Winner
Anderson,6642,60.47%,4288,39.04%,54,0.49%,10984,1
Andrews,2203,79.44%,548,19.76%,22,0.79%,2773,1
Angelina,11686,59.10%,7978,40.35%,110,0.56%,19774,1
Aransas,3757,65.27%,1958,34.02%,41,0.71%,5756,1
Archer,1933,67.92%,903,31.73%,10,0.35%,2846,1
Armstrong,687,78.25%,188,21.41%,3,0.34%,878,1
Atascosa,4366,60.07%,2829,38.92%,73,1.00%,7268,1
Austin,4724,70.48%,1936,28.88%,43,0.64%,6703,1
Bailey,1275,73.11%,463,26.55%,6,0.34%,1744,1
Bandera,3232,76.86%,924,21.97%,49,1.17%,4205,1
Bastrop,6311,56.96%,4636,41.84%,132,1.19%,11079,1
Baylor,967,55.67%,758,43.64%,12,0.69%,1737,1
Bee,3760,55.21%,3025,44.42%,25,0.37%,6810,1
Bell,23466,64.53%,12694,34.91%,207,0.57%,36367,1
Bexar,143122,56.77%,106620,42.29%,2356,0.93%,252098,1
Blanco,1755,71.20%,686,27.83%,24,0.97%,2465,1
Borden,233,73.97%,79,25.08%,3,0.95%,315,1
Bosque,2971,58.12%,2112,41.31%,29,0.57%,5112,1
Bowie,12647,59.48%,8407,39.54%,210,0.99%,21264,1
Brazoria,32021,66.59%,15573,32.38%,496,1.03%,48090,1
Brazos,20772,66.39%,10198,32.59%,320,1.02%,31290,1
Brewster,1489,59.63%,966,38.69%,42,1.68%,2497,1
Briscoe,418,58.63%,294,41.23%,1,0.14%,713,1
Brooks,457,21.35%,1678,78.37%,6,0.28%,2141,2
Brown,5941,64.03%,3286,35.41%,52,0.56%,9279,1
Burleson,2311,54.22%,1926,45.19%,25,0.59%,4262,1
Burnet,5515,64.74%,2946,34.58%,58,0.68%,8519,1
Caldwell,3250,54.84%,2617,44.16%,59,1.00%,5926,1
Calhoun,2802,57.02%,2079,42.31%,33,0.67%,4914,1
Callahan,2438,63.66%,1364,35.61%,28,0.73%,3830,1
Cameron,18100,47.31%,19898,52.01%,258,0.67%,38256,2
Camp,1618,52.41%,1460,47.30%,9,0.29%,3087,1
Carson,1873,76.11%,574,23.32%,14,0.57%,2461,1
Cass,4275,53.66%,3655,45.88%,37,0.46%,7967,1
Castro,1623,64.33%,888,35.20%,12,0.48%,2523,1
Chambers,3571,64.73%,1889,34.24%,57,1.03%,5517,1
Cherokee,6694,64.15%,3693,35.39%,48,0.46%,10435,1
Childress,1173,70.41%,488,29.29%,5,0.30%,1666,1
Clay,2125,62.44%,1259,37.00%,19,0.56%,3403,1
Cochran,763,70.84%,306,28.41%,8,0.74%,1077,1
Coke,876,65.28%,456,33.98%,10,0.75%,1342,1
