County,Hutchison,%,Kelly,%,Ruwart,%,Sandage,%,Total,Winner
Anderson,10304,68.94%,4452,29.79%,111,0.74%,80,0.54%,14947,1
Andrews,3117,79.07%,758,19.23%,44,1.12%,23,0.58%,3942,1
Angelina,16970,63.55%,9353,35.02%,207,0.78%,174,0.65%,26704,1
Aransas,5858,72.33%,2056,25.39%,89,1.10%,96,1.19%,8099,1
Archer,3052,77.46%,837,21.24%,28,0.71%,23,0.58%,3940,1
Armstrong,767,84.66%,124,13.69%,6,0.66%,9,0.99%,906,1
Atascosa,6762,64.11%,3570,33.85%,123,1.17%,92,0.87%,10547,1
Austin,6953,76.36%,2025,22.24%,63,0.69%,65,0.71%,9106,1
Bailey,1623,80.11%,386,19.05%,10,0.49%,7,0.35%,2026,1
Bandera,5876,81.72%,1062,14.77%,140,1.95%,112,1.56%,7190,1
Bastrop,11095,61.46%,5954,32.98%,330,1.83%,674,3.73%,18053,1
Baylor,1206,67.79%,552,31.03%,13,0.73%,8,0.45%,1779,1
Bee,4740,57.99%,3331,40.75%,68,0.83%,35,0.43%,8174,1
Bell,42472,69.61%,17644,28.92%,437,0.72%,465,0.76%,61018,1
Bexar,244639,60.23%,149064,36.70%,5674,1.40%,6831,1.68%,406208,1
Blanco,2875,78.62%,621,16.98%,59,1.61%,102,2.79%,3657,1
Borden,274,79.88%,63,18.37%,5,1.46%,1,0.29%,343,1
Bosque,4890,72.99%,1700,25.37%,57,0.85%,53,0.79%,6700,1
Bowie,19843,66.50%,9664,32.39%,184,0.62%,147,0.49%,29838,1
Brazoria,56312,71.04%,21405,27.00%,817,1.03%,734,0.93%,79268,1
Brazos,34737,75.15%,10040,21.72%,605,1.31%,844,1.83%,46226,1
Brewster,1896,56.21%,1161,34.42%,67,1.99%,249,7.38%,3373,1
Briscoe,535,72.49%,197,26.69%,4,0.54%,2,0.27%,738,1
Brooks,663,28.16%,1637,69.54%,28,1.19%,26,1.10%,2354,2
Brown,9896,77.33%,2729,21.33%,101,0.79%,71,0.55%,12797,1
Burleson,3687,64.02%,1974,34.28%,54,0.94%,44,0.76%,5759,1
Burnet,9757,74.46%,2911,22.21%,235,1.79%,201,1.53%,13104,1
Caldwell,5656,60.97%,3289,35.46%,140,1.51%,191,2.06%,9276,1
Calhoun,3863,59.90%,2491,38.63%,44,0.68%,51,0.79%,6449,1
Callahan,3723,77.37%,1001,20.80%,64,1.33%,24,0.50%,4812,1
Cameron,31806,52.86%,26958,44.80%,839,1.39%,572,0.95%,60175,1
Camp,2177,59.43%,1451,39.61%,18,0.49%,17,0.46%,3663,1
Carson,2205,82.28%,443,16.53%,14,0.52%,18,0.67%,2680,1
Cass,6690,61.69%,4040,37.26%,58,0.53%,56,0.52%,10844,1
Castro,1590,70.57%,639,28.36%,15,0.67%,9,0.40%,2253,1
Chambers,7046,72.66%,2511,25.89%,80,0.82%,60,0.62%,9697,1
Cherokee,9892,68.89%,4317,30.06%,81,0.56%,69,0.48%,14359,1
Childress,1546,75.64%,484,23.68%,9,0.44%,5,0.24%,2044,1
Clay,3202,70.89%,1265,28.01%,31,0.69%,19,0.42%,4517,1
Cochran,802,72.06%,284,25.52%,15,1.35%,12,1.08%,1113,1
Coke,1104,75.67%,320,21.93%,22,1.51%,13,0.89%,1459,1
Coleman,2684,78.23%,707,20.61%,22,0.64%,18,0.52%,3431,1
Collin,138238,79.93%,30655,17.72%,2203,1.27%,1858,1.07%,172954,1
Collingsworth,950,71.16%,369,27.64%,10,0.75%,6,0.45%,1335,1
Colorado,5115,72.13%,1891,26.67%,39,0.55%,46,0.65%,7091,1
Comal,25668,79.14%,5769,17.79%,481,1.48%,516,1.59%,32434,1
Comanche,3309,67.82%,1521,31.17%,24,0.49%,25,0.51%,4879,1
Concho,824,78.18%,212,20.11%,10,0.95%,8,0.76%,1054,1
Cooke,10574,79.46%,2553,19.19%,111,0.83%,69,0.52%,13307,1
Coryell,10982,73.73%,3635,24.40%,168,1.13%,110,0.74%,14895,1
Cottle,479,67.28%,224,31.46%,8,1.12%,1,0.14%,712,1
Crane,1179,76.81%,331,21.56%,10,0.65%,15,0.98%,1535,1
Crockett,936,69.23%,401,29.66%,10,0.74%,5,0.37%,1352,1
Crosby,1296,67.05%,622,32.18%,7,0.36%,8,0.41%,1933,1
Culberson,401,49.88%,377,46.89%,13,1.62%,13,1.62%,804,1
Dallam,1396,83.29%,265,15.81%,7,0.42%,8,0.48%,1676,1
Dallas,357695,59.11%,232222,38.38%,7942,1.31%,7264,1.20%,605123,1
Dawson,3244,73.24%,1120,25.29%,49,1.11%,16,0.36%,4429,1
Deaf Smith,3734,76.25%,1093,22.32%,44,0.90%,26,0.53%,4897,1
Delta,1192,65.10%,622,33.97%,9,0.49%,8,0.44%,1831,1
Denton,109883,75.92%,30541,21.10%,1978,1.37%,2338,1.62%,144740,1
DeWitt,4622,77.12%,1305,21.78%,36,0.60%,30,0.50%,5993,1
Dickens,576,68.41%,257,30.52%,5,0.59%,4,0.48%,842,1
Dimmit,1135,34.16%,2102,63.26%,59,1.78%,27,0.81%,3323,2
Donley,1366,83.04%,267,16.23%,7,0.43%,5,0.30%,1645,1
Duval,1076,21.84%,3800,77.14%,29,0.59%,21,0.43%,4926,2
Eastland,4673,73.83%,1535,24.25%,73,1.15%,48,0.76%,6329,1
Ector,23993,73.31%,8130,24.84%,381,1.16%,222,0.68%,32726,1
Edwards,631,79.57%,155,19.55%,3,0.38%,4,0.50%,793,1
Ellis,27618,74.84%,8635,23.40%,396,1.07%,255,0.69%,36904,1
El Paso,67451,47.51%,70103,49.37%,2316,1.63%,2116,1.49%,141986,2
Erath,8444,76.98%,2367,21.58%,84,0.77%,74,0.67%,10969,1
Falls,3300,61.30%,2017,37.47%,37,0.69%,29,0.54%,5383,1
Fannin,6658,65.15%,3396,33.23%,101,0.99%,64,0.63%,10219,1
Fayette,6992,75.60%,2098,22.68%,74,0.80%,85,0.92%,9249,1
Fisher,990,54.61%,806,44.46%,11,0.61%,6,0.33%,1813,1
Floyd,1819,78.61%,476,20.57%,13,0.56%,6,0.26%,2314,1
Foard,305,56.59%,231,42.86%,2,0.37%,1,0.19%,539,1
Fort Bend,78957,64.68%,41098,33.67%,905,0.74%,1118,0.92%,122078,1
Franklin,2426,72.25%,886,26.38%,29,0.86%,17,0.51%,3358,1
Freestone,4412,67.47%,2054,31.41%,50,0.76%,23,0.35%,6539,1
Frio,1849,47.69%,1942,50.09%,50,1.29%,36,0.93%,3877,2
Gaines,2637,78.51%,663,19.74%,38,1.13%,21,0.63%,3359,1
Galveston,55754,60.61%,34145,37.12%,878,0.95%,1210,1.32%,91987,1
Garza,1227,77.27%,335,21.10%,14,0.88%,12,0.76%,1588,1
Gillespie,8340,85.08%,1172,11.96%,123,1.25%,167,1.70%,9802,1
Glasscock,518,93.00%,33,5.92%,3,0.54%,3,0.54%,557,1
Goliad,2096,64.49%,1100,33.85%,34,1.05%,20,0.62%,3250,1
Gonzales,4279,72.51%,1511,25.61%,64,1.08%,47,0.80%,5901,1
