County,Hutchison,%,Radnofsky,%,Jameson,%,Total,Winner
Anderson,7242,68.40%,3130,29.56%,216,2.04%,10588,1
Andrews,2107,81.54%,446,17.26%,31,1.20%,2584,1
Angelina,14099,65.30%,7115,32.95%,378,1.75%,21592,1
Aransas,4686,70.07%,1835,27.44%,167,2.50%,6688,1
Archer,2204,77.09%,612,21.41%,43,1.50%,2859,1
Armstrong,549,81.70%,107,15.92%,16,2.38%,672,1
Atascosa,4677,61.96%,2701,35.78%,171,2.27%,7549,1
Austin,5940,75.14%,1814,22.95%,151,1.91%,7905,1
Bailey,1181,78.94%,281,18.78%,34,2.27%,1496,1
Bandera,4807,75.64%,1317,20.72%,231,3.63%,6355,1
Bastrop,9275,54.70%,7011,41.35%,670,3.95%,16956,1
Baylor,660,68.32%,289,29.92%,17,1.76%,966,1
Bee,3786,55.59%,2911,42.75%,113,1.66%,6810,1
Bell,28434,66.12%,13713,31.89%,854,1.99%,43001,1
Bexar,150315,55.73%,112981,41.89%,6439,2.39%,269735,1
Blanco,2206,67.88%,938,28.86%,106,3.26%,3250,1
Borden,197,78.80%,52,20.80%,1,0.40%,250,1
Bosque,4041,72.50%,1427,25.60%,106,1.90%,5574,1
Bowie,11654,63.60%,6385,34.85%,285,1.56%,18324,1
Brazoria,38045,66.58%,17461,30.56%,1638,2.87%,57144,1
Brazos,20760,69.70%,8270,27.76%,756,2.54%,29786,1
Brewster,1211,51.82%,1025,43.86%,101,4.32%,2337,1
Briscoe,398,74.12%,128,23.84%,11,2.05%,537,1
Brooks,336,29.92%,773,68.83%,14,1.25%,1123,2
Brown,6587,74.60%,2029,22.98%,214,2.42%,8830,1
Burleson,2805,64.41%,1451,33.32%,99,2.27%,4355,1
Burnet,7795,70.97%,2819,25.67%,369,3.36%,10983,1
Caldwell,4328,57.42%,2969,39.39%,241,3.20%,7538,1
Calhoun,2470,56.50%,1826,41.77%,76,1.74%,4372,1
Callahan,2498,77.75%,661,20.57%,54,1.68%,3213,1
Cameron,19178,49.30%,18885,48.55%,839,2.16%,38902,1
Camp,1804,60.25%,1151,38.44%,39,1.30%,2994,1
Carson,1605,79.22%,384,18.95%,37,1.83%,2026,1
Cass,4215,58.44%,2895,40.14%,103,1.43%,7213,1
Castro,1175,67.96%,533,30.83%,21,1.21%,1729,1
Chambers,5314,70.84%,1957,26.09%,230,3.07%,7501,1
Cherokee,7580,70.21%,3029,28.06%,187,1.73%,10796,1
Childress,853,74.43%,280,24.43%,13,1.13%,1146,1
Clay,2503,71.53%,929,26.55%,67,1.91%,3499,1
Cochran,633,72.68%,216,24.80%,22,2.53%,871,1
Coke,893,80.23%,200,17.97%,20,1.80%,1113,1
Coleman,1659,75.41%,491,22.32%,50,2.27%,2200,1
Collin,97055,70.91%,36670,26.79%,3149,2.30%,136874,1
Collingsworth,784,76.26%,223,21.69%,21,2.04%,1028,1
Colorado,3810,71.04%,1430,26.66%,123,2.29%,5363,1
Comal,20699,74.55%,6265,22.56%,803,2.89%,27767,1
Comanche,2314,66.25%,1106,31.66%,73,2.09%,3493,1
Concho,602,73.96%,197,24.20%,15,1.84%,814,1
Cooke,7302,73.42%,2383,23.96%,261,2.62%,9946,1
Coryell,6648,70.15%,2632,27.77%,197,2.08%,9477,1
Cottle,400,62.50%,218,34.06%,22,3.44%,640,1
Crane,741,72.93%,249,24.51%,26,2.56%,1016,1
Crockett,694,70.03%,276,27.85%,21,2.12%,991,1
Crosby,878,65.09%,452,33.51%,19,1.41%,1349,1
Culberson,218,54.91%,173,43.58%,6,1.51%,397,1
Dallam,667,77.74%,163,19.00%,28,3.26%,858,1
Dallas,213215,53.23%,179781,44.88%,7545,1.88%,400541,1
Dawson,2110,70.43%,825,27.54%,61,2.04%,2996,1
Deaf Smith,2073,77.03%,588,21.85%,30,1.11%,2691,1
Delta,1038,69.66%,435,29.19%,17,1.14%,1490,1
Denton,74977,69.64%,30198,28.05%,2495,2.32%,107670,1
DeWitt,2941,74.66%,930,23.61%,68,1.73%,3939,1
Dickens,416,70.15%,157,26.48%,20,3.37%,593,1
Dimmit,641,37.35%,1051,61.25%,24,1.40%,1716,2
Donley,966,78.54%,244,19.84%,20,1.63%,1230,1
Duval,672,21.92%,2363,77.07%,31,1.01%,3066,2
Eastland,3271,72.88%,1101,24.53%,116,2.58%,4488,1
Ector,12830,74.61%,3977,23.13%,390,2.27%,17197,1
Edwards,548,80.59%,118,17.35%,14,2.06%,680,1
Ellis,21309,73.00%,7175,24.58%,707,2.42%,29191,1
El Paso,43012,47.92%,44927,50.05%,1817,2.02%,89756,2
Erath,5611,74.05%,1825,24.09%,141,1.86%,7577,1
Falls,2117,60.38%,1327,37.85%,62,1.77%,3506,1
Fannin,4640,63.17%,2574,35.04%,131,1.78%,7345,1
Fayette,5474,71.56%,2019,26.39%,157,2.05%,7650,1
Fisher,623,52.27%,555,46.56%,14,1.17%,1192,1
Floyd,1514,75.14%,479,23.77%,22,1.09%,2015,1
Foard,180,49.32%,178,48.77%,7,1.92%,365,1
Fort Bend,57530,59.46%,37594,38.86%,1624,1.68%,96748,1
Franklin,2212,72.15%,805,26.26%,49,1.60%,3066,1
Freestone,3024,69.69%,1242,28.62%,73,1.68%,4339,1
Frio,1076,53.59%,900,44.82%,32,1.59%,2008,1
Gaines,1884,78.86%,455,19.05%,50,2.09%,2389,1
Galveston,36551,57.59%,25173,39.66%,1742,2.74%,63466,1
Garza,895,79.56%,202,17.96%,28,2.49%,1125,1
Gillespie,6564,78.67%,1531,18.35%,249,2.98%,8344,1
Glasscock,294,88.82%,35,10.57%,2,0.60%,331,1
Goliad,1426,62.05%,815,35.47%,57,2.48%,2298,1
Gonzales,2784,69.60%,1138,28.45%,78,1.95%,4000,1
Gray,4425,84.16%,724,13.77%,109,2.07%,5258,1
Grayson,17111,66.69%,8016,31.24%,529,2.06%,25656,1
Gregg,16065,72.74%,5704,25.83%,315,1.43%,22084,1
Grimes,3387,65.01%,1686,32.36%,137,2.63%,5210,1
Guadalupe,17216,70.16%,6661,27.15%,661,2.69%,24538,1
Hale,4618,74.08%,1544,24.77%,72,1.15%,6234,1
Hall,600,67.95%,266,30.12%,17,1.93%,883,1
Hamilton,2017,71.47%,748,26.51%,57,2.02%,2822,1
Hansford,1254,88.68%,131,9.26%,29,2.05%,1414,1
Hardeman,935,66.31%,439,31.13%,36,2.55%,1410,1
Hardin,7079,70.51%,2763,27.52%,198,1.97%,10040,1
Harris,323004,56.47%,236007,41.26%,13020,2.28%,572031,1
Harrison,9309,64.59%,4870,33.79%,233,1.62%,14412,1
Hartley,1000,79.81%,227,18.12%,26,2.08%,1253,1
Haskell,1046,61.75%,627,37.01%,21,1.24%,1694,1
Hays,17172,57.21%,11602,38.65%,1244,4.14%,30018,1
Hemphill,943,80.94%,209,17.94%,13,1.12%,1165,1
Henderson,12267,69.59%,4960,28.14%,400,2.27%,17627,1
Hidalgo,20274,43.69%,25214,54.34%,913,1.97%,46401,2
Hill,6342,70.12%,2550,28.19%,153,1.69%,9045,1
Hockley,3609,78.39%,905,19.66%,90,1.95%,4604,1
Hood,10322,74.38%,3286,23.68%,269,1.94%,13877,1
Hopkins,5566,68.27%,2466,30.25%,121,1.48%,8153,1
Houston,4094,69.71%,1704,29.01%,75,1.28%,5873,1
Howard,4767,71.51%,1748,26.22%,151,2.27%,6666,1
Hudspeth,373,72.99%,118,23.09%,20,3.91%,511,1
Hunt,12152,70.07%,4771,27.51%,420,2.42%,17343,1
Hutchinson,4370,80.93%,918,17.00%,112,2.07%,5400,1
Irion,384,78.05%,100,20.33%,8,1.63%,492,1
Jack,1638,77.67%,429,20.34%,42,1.99%,2109,1
Jackson,2289,70.84%,872,26.99%,70,2.17%,3231,1
Jasper,4699,63.46%,2569,34.69%,137,1.85%,7405,1
Jeff Davis,609,58.90%,378,36.56%,47,4.55%,1034,1
Jefferson,23901,52.51%,21098,46.35%,521,1.14%,45520,1
Jim Hogg,292,34.11%,561,65.54%,3,0.35%,856,2
Jim Wells,2936,40.25%,4258,58.38%,100,1.37%,7294,2
Johnson,21596,72.36%,7570,25.37%,678,2.27%,29844,1
Jones,2552,68.05%,1117,29.79%,81,2.16%,3750,1
Karnes,2036,66.47%,963,31.44%,64,2.09%,3063,1
Kaufman,12970,69.59%,5275,28.30%,392,2.10%,18637,1
Kendall,7901,78.16%,1932,19.11%,276,2.73%,10109,1
Kenedy,83,60.14%,54,39.13%,1,0.72%,138,1
Kent,175,62.50%,96,34.29%,9,3.21%,280,1
Kerr,11718,75.94%,3344,21.67%,369,2.39%,15431,1
Kimble,1065,79.72%,244,18.26%,27,2.02%,1336,1
King,61,76.25%,15,18.75%,4,5.00%,80,1
Kinney,682,64.89%,344,32.73%,25,2.38%,1051,1
Kleberg,2701,54.78%,2152,43.64%,78,1.58%,4931,1
Knox,600,69.12%,251,28.92%,17,1.96%,868,1
Lamar,7404,64.64%,3847,33.59%,203,1.77%,11454,1
Lamb,1975,75.50%,583,22.29%,58,2.22%,2616,1
Lampasas,3678,75.26%,1101,22.53%,108,2.21%,4887,1
La Salle,509,50.60%,478,47.51%,19,1.89%,1006,1
Lavaca,3402,69.26%,1406,28.62%,104,2.12%,4912,1
Lee,2712,65.26%,1349,32.46%,95,2.29%,4156,1
Leon,3180,75.02%,984,23.21%,75,1.77%,4239,1
Liberty,9180,65.62%,4410,31.52%,400,2.86%,13990,1
Limestone,3379,64.24%,1808,34.37%,73,1.39%,5260,1
Lipscomb,605,82.31%,119,16.19%,11,1.50%,735,1
Live Oak,1990,73.13%,667,24.51%,64,2.35%,2721,1
Llano,5292,75.26%,1548,22.01%,192,2.73%,7032,1
Loving,66,77.65%,11,12.94%,8,9.41%,85,1
Lubbock,39100,73.68%,12849,24.21%,1115,2.10%,53064,1
Lynn,991,69.30%,418,29.23%,21,1.47%,1430,1
Madison,1918,68.52%,836,29.87%,45,1.61%,2799,1
Marion,1162,52.60%,995,45.04%,52,2.35%,2209,1
Martin,770,83.24%,143,15.46%,12,1.30%,925,1
Mason,993,74.49%,293,21.98%,47,3.53%,1333,1
Matagorda,4963,64.39%,2588,33.58%,157,2.04%,7708,1
Maverick,1424,38.19%,2243,60.15%,62,1.66%,3729,2
McCulloch,1476,74.06%,478,23.98%,39,1.96%,1993,1
McLennan,34889,66.87%,16540,31.70%,747,1.43%,52176,1
McMullen,324,82.44%,61,15.52%,8,2.04%,393,1
Medina,6955,71.83%,2509,25.91%,219,2.26%,9683,1
Menard,584,70.62%,202,24.43%,41,4.96%,827,1
Midland,20032,81.24%,4148,16.82%,478,1.94%,24658,1
Milam,3181,58.51%,2163,39.78%,93,1.71%,5437,1
Mills,1055,73.01%,363,25.12%,27,1.87%,1445,1
Mitchell,994,70.40%,383,27.12%,35,2.48%,1412,1
Montague,3676,71.56%,1335,25.99%,126,2.45%,5137,1
Montgomery,60593,76.12%,16916,21.25%,2091,2.63%,79600,1
Moore,2389,79.63%,551,18.37%,60,2.00%,3000,1
