County [1],Trump,Trump %,Clinton,Clinton %,Total,
Anderson,13201,77.76%,3369,19.84%,16977,1
Andrews,3927,79.45%,836,16.91%,4943,1
Angelina,21668,72.44%,7538,25.20%,29911,1
Aransas,7740,73.63%,2465,23.45%,10512,1
Archer,3786,88.40%,394,9.20%,4283,1
Armstrong,924,90.50%,70,6.86%,1021,1
Atascosa,8618,63.03%,4651,34.02%,13673,1
Austin,9637,78.52%,2320,18.90%,12274,1
Bailey,1344,74.96%,397,22.14%,1793,1
Bandera,8163,79.89%,1726,16.89%,10218,1
Bastrop,16328,57.38%,10569,37.14%,28454,1
Baylor,1267,84.52%,191,12.74%,1499,1
Bee,4744,55.91%,3444,40.59%,8485,1
Bell,51998,54.74%,37801,39.79%,94994,1
Bexar,240333,40.76%,319550,54.19%,589645,2
Blanco,4212,74.09%,1244,21.88%,5685,1
Borden,330,90.41%,31,8.49%,365,1
Bosque,6339,80.88%,1278,16.31%,7838,1
Bowie,24924,72.03%,8838,25.54%,34602,1
Brazoria,72791,60.07%,43200,35.65%,121181,1
Brazos,38738,57.64%,23121,34.40%,67211,1
Brewster,2077,48.85%,1873,44.05%,4252,1
Briscoe,625,84.92%,91,12.36%,736,1
Brooks,613,23.61%,1937,74.61%,2596,2
Brown,12017,85.68%,1621,11.56%,14026,1
Burleson,5316,76.38%,1491,21.42%,6960,1
Burnet,14638,76.22%,3797,19.77%,19204,1
Caldwell,6691,55.33%,4795,39.65%,12092,1
Calhoun,4638,66.59%,2118,30.41%,6965,1
Callahan,4865,87.20%,569,10.20%,5579,1
Cameron,29472,32.01%,59402,64.51%,92079,2
Camp,3201,70.48%,1260,27.74%,4542,1
Carson,2620,88.39%,249,8.40%,2964,1
Cass,9726,78.79%,2391,19.37%,12344,1
Castro,1414,70.81%,526,26.34%,1997,1
Chambers,13339,79.47%,2948,17.56%,16786,1
Cherokee,12919,76.94%,3469,20.66%,16790,1
Childress,1802,86.47%,253,12.14%,2084,1
Clay,4377,87.23%,536,10.68%,5018,1
Cochran,679,75.36%,190,21.09%,901,1
Coke,1265,88.90%,140,9.84%,1423,1
Coleman,3177,87.21%,388,10.65%,3643,1
Collin,201014,55.62%,140624,38.91%,361419,1
Collingsworth,983,85.03%,145,12.54%,1156,1
Colorado,6325,74.30%,1987,23.34%,8513,1
Comal,45136,72.59%,14238,22.90%,62178,1
Comanche,4333,82.74%,789,15.07%,5237,1
Concho,885,82.87%,148,13.86%,1068,1
Cooke,13181,82.61%,2352,14.74%,15955,1
Coryell,12225,66.98%,5064,27.74%,18253,1
Cottle,506,82.68%,92,15.03%,612,1
Crane,1049,75.79%,299,21.60%,1384,1
Crockett,980,70.25%,372,26.67%,1395,1
Crosby,1181,68.34%,468,27.08%,1728,1
Culberson,280,36.51%,454,59.19%,767,2
Dallam,1261,81.67%,222,14.38%,1544,1
Dallas,262945,34.64%,461080,60.75%,758973,2
Dawson,2636,73.98%,835,23.44%,3563,1
Deaf Smith,2911,69.05%,1185,28.11%,4216,1
Delta,1836,80.49%,400,17.54%,2281,1
Denton,170603,57.13%,110890,37.13%,298645,1
DeWitt,5519,80.64%,1163,16.99%,6844,1
Dickens,755,83.06%,128,14.08%,909,1
Dimmit,974,30.20%,2173,67.38%,3225,2
Donley,1225,83.62%,191,13.04%,1465,1
Duval,1316,31.57%,2783,66.77%,4168,2
Eastland,6011,86.33%,776,11.14%,6963,1
Ector,25020,68.49%,10249,28.06%,36530,1
Edwards,746,69.52%,303,28.24%,1073,1
Ellis,44941,70.58%,16253,25.53%,63673,1
El Paso,55512,25.94%,147843,69.08%,214008,2
Erath,11210,80.69%,2160,15.55%,13893,1
Falls,3441,65.57%,1684,32.09%,5248,1
Fannin,9548,79.28%,2132,17.70%,12044,1
Fayette,8743,78.24%,2144,19.19%,11174,1
Fisher,1265,73.16%,403,23.31%,1729,1
Floyd,1474,75.24%,435,22.21%,1959,1
Foard,383,74.66%,113,22.03%,513,1
Fort Bend,117291,44.76%,134686,51.39%,262066,2
Franklin,3585,81.85%,665,15.18%,4380,1
Freestone,6026,78.42%,1471,19.14%,7684,1
Frio,1856,42.18%,2444,55.55%,4400,2
Gaines,3907,84.57%,597,12.92%,4620,1
Galveston,73757,60.01%,43658,35.52%,122903,1
Garza,1225,82.55%,230,15.50%,1484,1
Gillespie,10446,79.05%,2288,17.31%,13214,1
Glasscock,553,91.56%,34,5.63%,604,1
Goliad,2620,70.66%,973,26.24%,3708,1
Gonzales,4587,72.42%,1571,24.80%,6334,1
Gray,6500,87.78%,701,9.47%,7405,1
Grayson,35325,74.50%,10301,21.72%,47416,1
Gregg,28764,68.90%,11677,27.97%,41749,1
Grimes,7065,74.11%,2194,23.01%,9533,1
Guadalupe,36632,63.35%,18391,31.81%,57822,1
Hale,6366,71.87%,2101,23.72%,8858,1
Hall,893,81.85%,164,15.03%,1091,1
Hamilton,3060,84.53%,479,13.23%,3620,1
Hansford,1730,88.85%,171,8.78%,1947,1
Hardeman,1207,79.78%,249,16.46%,1513,1
Hardin,19606,86.07%,2780,12.20%,22780,1
Harris,545955,41.61%,707914,53.95%,1312112,2
Harrison,18749,70.62%,7151,26.94%,26548,1
Hartley,1730,88.63%,173,8.86%,1952,1
Haskell,1403,79.27%,314,17.74%,1770,1
Hays,33826,46.87%,33224,46.04%,72164,1
Hemphill,1462,86.25%,181,10.68%,1695,1
Henderson,23650,78.72%,5669,18.87%,30045,1
Hidalgo,48642,28.05%,118809,68.50%,173437,2
Hill,10108,77.93%,2547,19.64%,12970,1
Hockley,5809,79.46%,1260,17.23%,7311,1
Hood,21382,81.42%,4008,15.26%,26262,1
Hopkins,10707,79.09%,2510,18.54%,13538,1
Houston,6205,74.28%,1978,23.68%,8353,1
Howard,6637,76.09%,1770,20.29%,8723,1
Hudspeth,503,57.75%,324,37.20%,871,1
Hunt,23910,75.77%,6396,20.27%,31554,1
Hutchinson,7042,86.35%,854,10.47%,8155,1
Irion,660,86.16%,90,11.75%,766,1
Jack,2973,88.75%,314,9.37%,3350,1
Jackson,4266,80.46%,904,17.05%,5302,1
Jasper,10609,79.06%,2590,19.30%,13419,1
Jeff Davis,695,58.35%,422,35.43%,1191,1
Jefferson,42862,48.92%,42443,48.44%,87618,1
Jim Hogg,430,20.29%,1635,77.16%,2119,2
Jim Wells,5420,43.78%,6694,54.08%,12379,2
Johnson,44382,77.04%,10988,19.07%,57606,1
Jones,4819,80.86%,936,15.70%,5960,1
Karnes,2965,70.63%,1145,27.27%,4198,1
Kaufman,29587,71.70%,10278,24.91%,41265,1
Kendall,15700,78.03%,3643,18.11%,20120,1
Kenedy,84,45.16%,99,53.23%,186,2
Kent,360,82.95%,59,13.59%,434,1
Kerr,17727,76.09%,4681,20.09%,23297,1
Kimble,1697,86.94%,206,10.55%,1952,1
King,149,93.71%,5,3.14%,159,1
Kinney,936,65.45%,458,32.03%,1430,1
Kleberg,4367,45.91%,4716,49.58%,9512,2
Knox,1078,78.86%,247,18.07%,1367,1
Lamar,14561,78.24%,3583,19.25%,18611,1
Lamb,3111,77.87%,771,19.30%,3995,1
Lampasas,6385,77.82%,1483,18.07%,8205,1
La Salle,872,42.35%,1129,54.83%,2059,2
Lavaca,7347,84.83%,1170,13.51%,8661,1
Lee,4997,76.47%,1372,20.99%,6535,1
Leon,6391,85.91%,909,12.22%,7439,1
Liberty,18892,77.85%,4862,20.04%,24267,1
Limestone,5796,74.89%,1778,22.97%,7739,1
Lipscomb,1159,87.01%,135,10.14%,1332,1
Live Oak,3464,80.52%,742,17.25%,4302,1
Llano,8299,79.44%,1825,17.47%,10447,1
Loving,58,89.23%,4,6.15%,65,1
Lubbock,65651,66.31%,28023,28.30%,99013,1
Lynn,1546,76.95%,403,20.06%,2009,1
Madison,3351,78.13%,881,20.54%,4289,1
Marion,2983,70.39%,1165,27.49%,4238,1
Martin,1455,82.58%,266,15.10%,1762,1
Mason,1656,80.51%,354,17.21%,2057,1
Matagorda,8366,68.60%,3500,28.70%,12196,1
Maverick,2816,20.72%,10397,76.52%,13588,2
McCulloch,2552,82.24%,482,15.53%,3103,1
McLennan,48260,61.03%,27063,34.22%,79075,1
McMullen,454,90.98%,40,8.02%,499,1
Medina,12085,70.07%,4634,26.87%,17246,1
Menard,682,78.94%,154,17.82%,864,1
Midland,36973,75.13%,10025,20.37%,49212,1
Milam,6364,73.45%,2051,23.67%,8664,1
Mills,1951,86.90%,243,10.82%,2245,1
Mitchell,1780,81.06%,354,16.12%,2196,1
Montague,7526,87.47%,885,10.29%,8604,1
Montgomery,150314,73.46%,45835,22.40%,204632,1
Moore,3977,75.26%,1098,20.78%,5284,1
Morris,3446,69.29%,1425,28.65%,4973,1
Motley,566,92.03%,40,6.50%,615,1
Nacogdoches,14771,65.29%,6846,30.26%,22622,1
Navarro,11994,72.99%,4002,24.35%,16433,1
Newton,4288,77.48%,1156,20.89%,5534,1
Nolan,3552,73.13%,1029,21.19%,4857,1
Nueces,50766,48.62%,49198,47.12%,104405,1
